node_id,N001,N007,N002,N003,N005,N006,N004,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N019,N018,N021,N024,N023,N020,N022,N025,N026,N028,N027,N029,N030,N031,N032,N033,N034,N035,N036,N037,N038,N039,N040,N041,N042,N043,N044,N045,N046,N047,N048,N049,N050,N051
N001,0.0,2.123904255285224,2.621919858337097,3.1447807502504226,4.096686477871942,4.2057040543081445,5.047338885357793,5.262200281162554,7.35605270931734,9.53088325819207,11.473154726028412,14.608412985202968,17.612499527731263,20.814444791049475,22.824598757448747,23.780360809270967,25.86307746549304,26.976089119669027,29.31971951676501,30.35492301830835,31.31786507583042,33.38308521529766,34.434698937619736,35.45871812128425,36.546405380086206,39.60091171429056,40.54491840291815,42.67182739539174,43.685163890945546,46.78520314818686,48.98040729264602,51.17623385392567,53.261259251397945,55.23431081829603,57.35093737793271,60.459196329370975,61.47064948907772,63.548899434235565,66.50359699706277,69.62325382825645,72.75874458655605,75.90546793404525,77.93039002498645,79.95801054147343,83.03959097604945,85.04621335554685,87.18085154600853,90.11917116827438,92.38074011890104,94.40460650324364,95.6899949648003
N007,2.123904255285224,0.0,0.498015603051873,1.0208764949651985,1.972782222586718,2.0817997990229204,2.923434630072569,3.1382960258773296,5.2321484540321155,7.406979002906846,9.349250470743188,12.484508729917744,15.48859527244604,18.69054053576425,20.700694502163522,21.65645655398574,23.739173210207813,24.8521848643838,27.195815261479783,28.231018763023126,29.193960820545193,31.259180960012436,32.31079468233451,33.334813865999024,34.42250112480098,37.477007459005335,38.421014147632924,40.54792314010651,41.56125963566032,44.661298892901634,46.856503037360795,49.05232959864045,51.13735499611272,53.110406563010805,55.227033122647484,58.33529207408575,59.3467452337925,61.42499517895034,64.37969274177755,67.49934957297123,70.63484033127082,73.78156367876002,75.80648576970123,77.8341062861882,80.91568672076423,82.92230910026163,85.0569472907233,87.99526691298915,90.25683586361582,92.28070224795842,93.56609070951508
N002,2.621919858337097,0.498015603051873,0.0,0.5228608919133255,1.474766619534845,1.5837841959710475,2.425419027020696,2.6402804228254566,4.734132850980243,6.908963399854972,8.851234867691314,11.98649312686587,14.990579669394165,18.192524932712377,20.20267889911165,21.15844095093387,23.24115760715594,24.35416926133193,26.69779965842791,27.733003159971254,28.69594521749332,30.761165356960564,31.812779079282638,32.836798262947156,33.92448552174911,36.97899185595347,37.922998544581056,40.049907537054644,41.06324403260845,44.163283289849765,46.35848743430893,48.55431399558858,50.63933939306085,52.61239095995894,54.729017519595615,57.83727647103388,58.84872963074063,60.92697957589847,63.88167713872568,67.00133396991936,70.13682472821895,73.28354807570815,75.30847016664936,77.33609068313633,80.41767111771236,82.42429349720976,84.55893168767143,87.49725130993728,89.75882026056395,91.78268664490655,93.06807510646321
N003,3.1447807502504226,1.0208764949651985,0.5228608919133255,0.0,0.9519057276215195,1.060923304057722,1.9025581351073706,2.117419530912131,4.211271959066917,6.386102507941647,8.328373975777989,11.463632234952545,14.46771877748084,17.669664040799052,19.679818007198325,20.635580059020544,22.718296715242616,23.831308369418604,26.174938766514586,27.21014226805793,28.173084325579996,30.23830446504724,31.289918187369313,32.31393737103383,33.40162462983578,36.45613096404014,37.40013765266772,39.52704664514131,40.54038314069513,43.64042239793643,45.8356265423956,48.03145310367525,50.116478501147526,52.089530068045605,54.20615662768229,57.31441557912055,58.325868738827296,60.404118683985146,63.35881624681235,66.47847307800603,69.61396383630563,72.76068718379483,74.78560927473603,76.81322979122301,79.89481022579903,81.90143260529643,84.0360707957581,86.97439041802396,89.23595936865063,91.25982575299322,92.54521421454989
N005,4.096686477871942,1.972782222586718,1.474766619534845,0.9519057276215195,0.0,0.10901757643620247,0.9506524074858511,1.1655138032906116,3.259366231445398,5.434196780320128,7.37646824815647,10.511726507331026,13.515813049859322,16.717758313177534,18.727912279576806,19.683674331399025,21.766390987621097,22.879402641797085,25.223033038893067,26.25823654043641,27.221178597958477,29.28639873742572,30.338012459747794,31.36203164341231,32.449718902214265,35.50422523641862,36.44823192504621,38.575140917519796,39.588477413073605,42.68851667031492,44.88372081477408,47.07954737605373,49.164572773526004,51.13762434042409,53.25425090006077,56.362509851499034,57.37396301120578,59.452212956363624,62.40691051919083,65.52656735038451,68.6620581086841,71.8087814561733,73.83370354711451,75.86132406360149,78.94290449817751,80.94952687767491,83.08416506813658,86.02248469040244,88.2840536410291,90.3079200253717,91.59330848692836
N006,4.2057040543081445,2.0817997990229204,1.5837841959710475,1.060923304057722,0.10901757643620247,0.0,0.8416348310496486,1.0564962268544091,3.1503486550091955,5.325179203883925,7.267450671720267,10.402708930894823,13.406795473423118,16.608740736741332,18.618894703140604,19.574656754962824,21.657373411184892,22.770385065360884,25.114015462456862,26.149218964000205,27.112161021522276,29.17738116098952,30.228994883311593,31.253014066976107,32.34070132577806,35.39520765998242,36.33921434861001,38.466123341083595,39.4794598366374,42.57949909387872,44.77470323833788,46.97052979961753,49.0555551970898,51.02860676398789,53.145233323624566,56.25349227506283,57.26494543476958,59.34319537992742,62.29789294275463,65.41754977394831,68.5530405322479,71.6997638797371,73.72468597067831,75.75230648716528,78.83388692174131,80.84050930123871,82.97514749170038,85.91346711396623,88.1750360645929,90.1989024489355,91.48429091049216
N004,5.047338885357793,2.923434630072569,2.425419027020696,1.9025581351073706,0.9506524074858511,0.8416348310496486,0.0,0.2148613958047605,2.308713823959547,4.4835443728342765,6.4258158406706185,9.561074099845175,12.56516064237347,15.767105905691682,17.777259872090955,18.733021923913174,20.815738580135246,21.928750234311234,24.272380631407216,25.30758413295056,26.270526190472626,28.33574632993987,29.387360052261943,30.411379235926457,31.499066494728414,34.553572828932765,35.497579517560354,37.62448851003394,38.63782500558775,41.73786426282906,43.933068407288225,46.12889496856788,48.21392036604015,50.186971932938235,52.30359849257491,55.41185744401318,56.423310603719926,58.50156054887777,61.456258111704976,64.57591494289866,67.71140570119826,70.85812904868746,72.88305113962866,74.91067165611564,77.99225209069166,79.99887447018907,82.13351266065074,85.07183228291659,87.33340123354326,89.35726761788585,90.64265607944252
N008,5.262200281162554,3.1382960258773296,2.6402804228254566,2.117419530912131,1.1655138032906116,1.0564962268544091,0.2148613958047605,0.0,2.0938524281547863,4.268682977029516,6.210954444865858,9.346212704040415,12.35029924656871,15.552244509886922,17.562398476286194,18.518160528108414,20.600877184330486,21.713888838506474,24.057519235602456,25.0927227371458,26.055664794667866,28.12088493413511,29.172498656457183,30.196517840121697,31.284205098923653,34.338711433128005,35.28271812175559,37.40962711422918,38.42296360978299,41.5230028670243,43.718207011483464,45.91403357276312,47.99905897023539,49.972110537133474,52.08873709677015,55.19699604820842,56.208449207915166,58.28669915307301,61.241396715900215,64.3610535470939,67.4965443053935,70.6432676528827,72.6681897438239,74.69581026031088,77.7773906948869,79.7840130743843,81.91865126484598,84.85697088711183,87.1185398377385,89.14240622208109,90.42779468363776
N009,7.35605270931734,5.2321484540321155,4.734132850980243,4.211271959066917,3.259366231445398,3.1503486550091955,2.308713823959547,2.0938524281547863,0.0,2.1748305488747297,4.117102016711072,7.252360275885628,10.256446818413924,13.458392081732136,15.468546048131408,16.424308099953628,18.5070247561757,19.620036410351688,21.96366680744767,22.998870308991012,23.96181236651308,26.027032505980323,27.078646228302397,28.10266541196691,29.190352670768867,32.24485900497322,33.18886569360081,35.3157746860744,36.32911118162821,39.42915043886952,41.62435458332868,43.820181144608334,45.905206542080606,47.87825810897869,49.99488466861537,53.103143620053636,54.11459677976038,56.192846724918226,59.14754428774543,62.26720111893911,65.40269187723871,68.54941522472791,70.57433731566911,72.60195783215609,75.68353826673211,77.69016064622951,79.82479883669119,82.76311845895704,85.0246874095837,87.0485537939263,88.33394225548297
N010,9.53088325819207,7.406979002906846,6.908963399854972,6.386102507941647,5.434196780320128,5.325179203883925,4.4835443728342765,4.268682977029516,2.1748305488747297,0.0,1.942271467836342,5.077529727010898,8.081616269539193,11.283561532857405,13.293715499256678,14.249477551078897,16.33219420730097,17.445205861476957,19.78883625857294,20.824039760116282,21.78698181763835,23.852201957105592,24.903815679427666,25.92783486309218,27.015522121894136,30.07002845609849,31.01403514472608,33.14094413719967,34.154280632753476,37.25431988999479,39.44952403445395,41.6453505957336,43.730375993205875,45.70342756010396,47.82005411974064,50.928313071178906,51.93976623088565,54.018016176043496,56.9727137388707,60.09237057006438,63.22786132836398,66.37458467585319,68.39950676679439,70.42712728328135,73.50870771785739,75.51533009735479,77.64996828781645,80.5882879100823,82.84985686070897,84.87372324505156,86.15911170660823
