variable,modality,included_as_predictor,role,missing_rule,notes
current_speed_input,traffic,True,predictor,causal_locf_and_origin_exclusion_if_no_past,
free_flow_speed_input,traffic,True,predictor,causal_locf_and_origin_exclusion_if_no_past,
current_travel_time_input,traffic,True,predictor,causal_locf_and_origin_exclusion_if_no_past,
tti_input,traffic,True,predictor,causal_locf_and_origin_exclusion_if_no_past,
speed_ratio_input,traffic,True,predictor,causal_locf_and_origin_exclusion_if_no_past,
speed_drop_input,traffic,True,predictor,causal_locf_and_origin_exclusion_if_no_past,
travel_time_delay_input,traffic,True,predictor,causal_locf_and_origin_exclusion_if_no_past,
speed_deficit_ratio_input,traffic,True,predictor,causal_locf_and_origin_exclusion_if_no_past,
missing_mask,reliability,True,predictor,training_only_median_if_required,
gap_length_steps,reliability,True,predictor,training_only_median_if_required,
coverage_ratio_6h,reliability,True,predictor,training_only_median_if_required,
coverage_ratio_24h,reliability,True,predictor,training_only_median_if_required,
volatility_tti_3h,reliability,True,predictor,training_only_median_if_required,
volatility_tti_6h,reliability,True,predictor,training_only_median_if_required,
confidence_input,reliability,True,predictor,training_only_median_if_required,
reliability_score,reliability,True,predictor,training_only_median_if_required,
hour_sin,calendar,True,predictor,training_only_median_if_required,
hour_cos,calendar,True,predictor,training_only_median_if_required,
dayofweek_sin,calendar,True,predictor,training_only_median_if_required,
dayofweek_cos,calendar,True,predictor,training_only_median_if_required,
is_weekend,calendar,True,predictor,training_only_median_if_required,
is_public_holiday,calendar,True,predictor,training_only_median_if_required,
is_school_holiday,calendar,True,predictor,training_only_median_if_required,
is_holiday_eve,calendar,True,predictor,training_only_median_if_required,
is_day_after_holiday,calendar,True,predictor,training_only_median_if_required,
precipitation,rainfall,True,predictor,training_only_median_if_required,
rain_flag,rainfall,True,predictor,training_only_median_if_required,
rain_lag_1h,rainfall,True,predictor,training_only_median_if_required,
rain_lag_3h,rainfall,True,predictor,training_only_median_if_required,
rain_lag_6h,rainfall,True,predictor,training_only_median_if_required,
rain_sum_3h,rainfall,True,predictor,training_only_median_if_required,
rain_sum_6h,rainfall,True,predictor,training_only_median_if_required,
rain_sum_12h,rainfall,True,predictor,training_only_median_if_required,
rain_sum_24h,rainfall,True,predictor,training_only_median_if_required,
rain_max_3h,rainfall,True,predictor,training_only_median_if_required,
rain_max_6h,rainfall,True,predictor,training_only_median_if_required,
post_rain_1_3h,rainfall,True,predictor,training_only_median_if_required,
post_rain_4_6h,rainfall,True,predictor,training_only_median_if_required,
post_rain_7_12h,rainfall,True,predictor,training_only_median_if_required,
rain_missing_flag,rainfall,True,predictor,training_only_median_if_required,
temperature_2m,meteorology,True,predictor,training_only_median_if_required,
relative_humidity_2m,meteorology,True,predictor,training_only_median_if_required,
dew_point_2m,meteorology,True,predictor,training_only_median_if_required,
surface_pressure,meteorology,True,predictor,training_only_median_if_required,
wind_speed_10m,meteorology,True,predictor,training_only_median_if_required,
wind_gusts_10m,meteorology,True,predictor,training_only_median_if_required,
wind_u,meteorology,True,predictor,training_only_median_if_required,
wind_v,meteorology,True,predictor,training_only_median_if_required,
wind_calm_flag,meteorology,True,predictor,training_only_median_if_required,
wind_gust_ratio,meteorology,True,predictor,training_only_median_if_required,
wind_gust_ratio_missing_flag,meteorology,True,predictor,training_only_median_if_required,
cloud_cover,meteorology,True,predictor,training_only_median_if_required,
boundary_layer_height,meteorology,True,predictor,training_only_median_if_required,
shortwave_radiation,meteorology,True,predictor,training_only_median_if_required,
weather_missing_flag,meteorology,True,predictor,training_only_median_if_required,
pm2_5,atmospheric_context,True,predictor,training_only_median_if_required,
pm10,atmospheric_context,True,predictor,training_only_median_if_required,
nitrogen_dioxide,atmospheric_context,True,predictor,training_only_median_if_required,
carbon_monoxide,atmospheric_context,True,predictor,training_only_median_if_required,
ozone,atmospheric_context,True,predictor,training_only_median_if_required,
sulphur_dioxide,atmospheric_context,True,predictor,training_only_median_if_required,
aerosol_optical_depth,atmospheric_context,True,predictor,training_only_median_if_required,
dust,atmospheric_context,True,predictor,training_only_median_if_required,
pm2_5_lag_1h,atmospheric_context,True,predictor,training_only_median_if_required,
pm2_5_lag_3h,atmospheric_context,True,predictor,training_only_median_if_required,
