node_id,node_order_verified,corridor_km,latitude,longitude,node_order_final,order_rule,strictly_increasing_corridor_km
N001,1,0.0,1.7873096,109.7447799,1,node_order_verified_then_corridor_km,True
N007,2,2.123904255285224,1.7997398,109.7588702,2,node_order_verified_then_corridor_km,True
N002,3,2.621919858337097,1.770901,109.7486723,3,node_order_verified_then_corridor_km,True
N003,4,3.1447807502504226,1.761542,109.7530299,4,node_order_verified_then_corridor_km,True
N005,5,4.096686477871942,1.8139109,109.7579051,5,node_order_verified_then_corridor_km,True
N006,6,4.2057040543081445,1.7536202,109.7581804,6,node_order_verified_then_corridor_km,True
N004,7,5.047338885357793,1.8194398,109.7540246,7,node_order_verified_then_corridor_km,True
N008,8,5.262200281162554,1.7463695,109.7643438,8,node_order_verified_then_corridor_km,True
N009,9,7.35605270931734,1.7314417,109.7716076,9,node_order_verified_then_corridor_km,True
N010,10,9.53088325819207,1.7152344,109.7793587,10,node_order_verified_then_corridor_km,True
N011,11,11.473154726028412,1.6975445,109.7838185,11,node_order_verified_then_corridor_km,True
N012,12,14.608412985202968,1.6751775,109.7987819,12,node_order_verified_then_corridor_km,True
N013,13,17.612499527731263,1.6561428,109.8166032,13,node_order_verified_then_corridor_km,True
N014,14,20.814444791049475,1.6526017,109.8406921,14,node_order_verified_then_corridor_km,True
N015,15,22.824598757448747,1.6498103,109.8585321,15,node_order_verified_then_corridor_km,True
N016,16,23.780360809270967,1.6494519,109.8677619,16,node_order_verified_then_corridor_km,True
N017,17,25.86307746549304,1.6379685,109.8794674,17,node_order_verified_then_corridor_km,True
N019,18,26.976089119669027,1.632979,109.8876464,18,node_order_verified_then_corridor_km,True
N018,19,29.31971951676501,1.6141425,109.8871575,19,node_order_verified_then_corridor_km,True
N021,20,30.35492301830835,1.6050427,109.8906981,20,node_order_verified_then_corridor_km,True
N024,21,31.31786507583042,1.5969046,109.8931244,21,node_order_verified_then_corridor_km,True
N023,22,33.38308521529766,1.5778976,109.8924009,22,node_order_verified_then_corridor_km,True
N020,23,34.434698937619736,1.5689673,109.890617,23,node_order_verified_then_corridor_km,True
N022,24,35.45871812128425,1.5596337,109.8921453,24,node_order_verified_then_corridor_km,True
N025,25,36.546405380086206,1.5567281,109.9006688,25,node_order_verified_then_corridor_km,True
N026,26,39.60091171429056,1.53629,109.9126218,26,node_order_verified_then_corridor_km,True
N028,27,40.54491840291815,1.5295464,109.9178467,27,node_order_verified_then_corridor_km,True
N027,28,42.67182739539174,1.51123,109.9161086,28,node_order_verified_then_corridor_km,True
N029,29,43.685163890945546,1.5031119,109.9193616,29,node_order_verified_then_corridor_km,True
N030,30,46.78520314818686,1.4914849,109.9426472,30,node_order_verified_then_corridor_km,True
N031,31,48.98040729264602,1.4849095,109.9618145,31,node_order_verified_then_corridor_km,True
N032,32,51.17623385392567,1.4773043,109.9795256,32,node_order_verified_then_corridor_km,True
N033,33,53.261259251397945,1.4776586,109.9979118,33,node_order_verified_then_corridor_km,True
N034,34,55.23431081829603,1.4805996,110.0161518,34,node_order_verified_then_corridor_km,True
N035,35,57.35093737793271,1.4866436,110.033378,35,node_order_verified_then_corridor_km,True
N036,36,60.459196329370975,1.487371,110.0590137,36,node_order_verified_then_corridor_km,True
N037,37,61.47064948907772,1.4848985,110.0672545,37,node_order_verified_then_corridor_km,True
N038,38,63.548899434235565,1.4848171,110.084423,38,node_order_verified_then_corridor_km,True
N039,39,66.50359699706277,1.48132,110.1100909,39,node_order_verified_then_corridor_km,True
N040,40,69.62325382825645,1.4586127,110.1235377,40,node_order_verified_then_corridor_km,True
N041,41,72.75874458655605,1.4516388,110.1477638,41,node_order_verified_then_corridor_km,True
N042,42,75.90546793404525,1.4663591,110.1707118,42,node_order_verified_then_corridor_km,True
N043,43,77.93039002498645,1.4765525,110.1858841,43,node_order_verified_then_corridor_km,True
N044,44,79.95801054147343,1.4826915,110.2031678,44,node_order_verified_then_corridor_km,True
N045,45,83.03959097604945,1.486576,110.2297698,45,node_order_verified_then_corridor_km,True
N046,46,85.04621335554685,1.4974106,110.2443218,46,node_order_verified_then_corridor_km,True
N047,47,87.18085154600853,1.5036311,110.2616483,47,node_order_verified_then_corridor_km,True
N048,48,90.11917116827438,1.5084213,110.2868545,48,node_order_verified_then_corridor_km,True
N049,49,92.38074011890104,1.5115854,110.3058731,49,node_order_verified_then_corridor_km,True
N050,50,94.40460650324364,1.5172023,110.3233483,50,node_order_verified_then_corridor_km,True
N051,51,95.6899949648003,1.5208512,110.3347315,51,node_order_verified_then_corridor_km,True
