split,horizon_hours,scenario,sample_count,unique_hours,unique_dates,unique_nodes,independent_time_events
train,1,dry,37011,1076,59,51,81
train,1,rain,31952,997,57,51,78
train,1,widespread_rain,30860,611,51,51,95
train,1,post_rain_1_3h,12424,746,57,51,140
train,1,elevated_pm2_5,17086,724,56,51,63
train,1,elevated_aod,21001,613,48,51,63
train,1,rain_elevated_atmospheric_pollution,8855,503,46,51,103
validation,1,dry,9177,234,13,51,17
validation,1,rain,5160,164,12,51,21
validation,1,widespread_rain,5176,103,12,51,23
validation,1,post_rain_1_3h,2387,129,12,51,32
validation,1,elevated_pm2_5,4710,158,11,51,13
validation,1,elevated_aod,5076,164,12,51,18
validation,1,rain_elevated_atmospheric_pollution,1604,89,12,51,25
test,1,dry,5492,168,13,51,17
test,1,rain,8149,214,13,51,13
test,1,widespread_rain,8035,160,13,51,14
test,1,post_rain_1_3h,2268,123,13,51,24
test,1,elevated_pm2_5,2574,120,13,51,14
test,1,elevated_aod,3548,106,9,51,11
test,1,rain_elevated_atmospheric_pollution,1917,95,12,51,16
train,3,dry,36927,1074,59,51,81
train,3,rain,31943,997,57,51,80
train,3,widespread_rain,30904,612,51,51,96
train,3,post_rain_1_3h,12433,743,57,51,140
train,3,elevated_pm2_5,17039,723,56,51,63
train,3,elevated_aod,20823,607,48,51,63
train,3,rain_elevated_atmospheric_pollution,8817,502,46,51,104
validation,3,dry,9241,236,13,51,17
validation,3,rain,4994,161,12,51,21
validation,3,widespread_rain,5069,101,12,51,24
validation,3,post_rain_1_3h,2404,131,12,51,31
validation,3,elevated_pm2_5,4734,160,11,51,14
validation,3,elevated_aod,4981,161,12,51,18
validation,3,rain_elevated_atmospheric_pollution,1541,87,12,51,26
test,3,dry,5322,165,13,51,17
test,3,rain,8217,214,13,51,13
test,3,widespread_rain,8127,162,13,51,14
test,3,post_rain_1_3h,2201,121,13,51,24
test,3,elevated_pm2_5,2390,118,13,51,14
test,3,elevated_aod,3517,104,9,51,11
test,3,rain_elevated_atmospheric_pollution,1974,95,12,51,16
train,6,dry,36771,1071,59,51,81
train,6,rain,31946,995,56,51,78
train,6,widespread_rain,30948,613,51,51,96
train,6,post_rain_1_3h,12245,737,57,51,142
train,6,elevated_pm2_5,16737,720,56,51,63
train,6,elevated_aod,20537,602,46,51,61
train,6,rain_elevated_atmospheric_pollution,8791,500,45,51,102
validation,6,dry,9195,233,13,51,16
validation,6,rain,4889,157,12,51,21
validation,6,widespread_rain,4824,96,11,51,21
validation,6,post_rain_1_3h,2490,131,12,51,28
validation,6,elevated_pm2_5,4723,160,11,51,14
validation,6,elevated_aod,5044,159,12,51,18
validation,6,rain_elevated_atmospheric_pollution,1585,84,12,51,22
test,6,dry,5123,159,13,51,17
test,6,rain,8264,213,13,51,13
test,6,widespread_rain,8235,164,13,51,14
test,6,post_rain_1_3h,2050,115,13,51,24
test,6,elevated_pm2_5,2386,117,12,51,13
test,6,elevated_aod,3492,102,9,51,10
test,6,rain_elevated_atmospheric_pollution,2081,95,12,51,15
