experiment,horizon,feature,training_median,train_missing_count,validation_missing_count,test_missing_count,fit_scope
E1_traffic_only,1,current_speed_input,94.0,0,0,0,training_only
E1_traffic_only,1,free_flow_speed_input,94.0,0,0,0,training_only
E1_traffic_only,1,current_travel_time_input,807.0,0,0,0,training_only
E1_traffic_only,1,tti_input,1.0,0,0,0,training_only
E1_traffic_only,1,speed_ratio_input,1.0,0,0,0,training_only
E1_traffic_only,1,speed_drop_input,0.0,0,0,0,training_only
E1_traffic_only,1,travel_time_delay_input,0.0,0,0,0,training_only
E1_traffic_only,1,speed_deficit_ratio_input,0.0,0,0,0,training_only
E1_traffic_only,1,missing_mask,0.0,0,0,0,training_only
E1_traffic_only,1,gap_length_steps,0.0,0,0,0,training_only
E1_traffic_only,1,coverage_ratio_6h,1.0,0,0,0,training_only
E1_traffic_only,1,coverage_ratio_24h,1.0,0,0,0,training_only
E1_traffic_only,1,volatility_tti_3h,0.0,0,0,0,training_only
E1_traffic_only,1,volatility_tti_6h,0.0,0,0,0,training_only
E1_traffic_only,1,confidence_input,1.0,0,0,0,training_only
E1_traffic_only,1,reliability_score,0.9895833333333331,0,0,0,training_only
E1_traffic_only,1,hour_sin,0.0,0,0,0,training_only
E1_traffic_only,1,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E1_traffic_only,1,dayofweek_sin,0.0,0,0,0,training_only
E1_traffic_only,1,dayofweek_cos,-0.2225209339563143,0,0,0,training_only
E1_traffic_only,1,is_weekend,0.0,0,0,0,training_only
E1_traffic_only,1,is_public_holiday,0.0,0,0,0,training_only
E1_traffic_only,1,is_school_holiday,0.0,0,0,0,training_only
E1_traffic_only,1,is_holiday_eve,0.0,0,0,0,training_only
E1_traffic_only,1,is_day_after_holiday,0.0,0,0,0,training_only
E1_traffic_only,3,current_speed_input,94.0,0,0,0,training_only
E1_traffic_only,3,free_flow_speed_input,94.0,0,0,0,training_only
E1_traffic_only,3,current_travel_time_input,807.0,0,0,0,training_only
E1_traffic_only,3,tti_input,1.0,0,0,0,training_only
E1_traffic_only,3,speed_ratio_input,1.0,0,0,0,training_only
E1_traffic_only,3,speed_drop_input,0.0,0,0,0,training_only
E1_traffic_only,3,travel_time_delay_input,0.0,0,0,0,training_only
E1_traffic_only,3,speed_deficit_ratio_input,0.0,0,0,0,training_only
E1_traffic_only,3,missing_mask,0.0,0,0,0,training_only
E1_traffic_only,3,gap_length_steps,0.0,0,0,0,training_only
E1_traffic_only,3,coverage_ratio_6h,1.0,0,0,0,training_only
E1_traffic_only,3,coverage_ratio_24h,1.0,0,0,0,training_only
E1_traffic_only,3,volatility_tti_3h,0.0,0,0,0,training_only
E1_traffic_only,3,volatility_tti_6h,0.0,0,0,0,training_only
E1_traffic_only,3,confidence_input,1.0,0,0,0,training_only
E1_traffic_only,3,reliability_score,0.9895833333333331,0,0,0,training_only
E1_traffic_only,3,hour_sin,0.0,0,0,0,training_only
E1_traffic_only,3,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E1_traffic_only,3,dayofweek_sin,0.0,0,0,0,training_only
E1_traffic_only,3,dayofweek_cos,-0.2225209339563143,0,0,0,training_only
E1_traffic_only,3,is_weekend,0.0,0,0,0,training_only
E1_traffic_only,3,is_public_holiday,0.0,0,0,0,training_only
E1_traffic_only,3,is_school_holiday,0.0,0,0,0,training_only
E1_traffic_only,3,is_holiday_eve,0.0,0,0,0,training_only
E1_traffic_only,3,is_day_after_holiday,0.0,0,0,0,training_only
E1_traffic_only,6,current_speed_input,94.0,0,0,0,training_only
E1_traffic_only,6,free_flow_speed_input,94.0,0,0,0,training_only
E1_traffic_only,6,current_travel_time_input,807.0,0,0,0,training_only
E1_traffic_only,6,tti_input,1.0,0,0,0,training_only
E1_traffic_only,6,speed_ratio_input,1.0,0,0,0,training_only
E1_traffic_only,6,speed_drop_input,0.0,0,0,0,training_only
E1_traffic_only,6,travel_time_delay_input,0.0,0,0,0,training_only
E1_traffic_only,6,speed_deficit_ratio_input,0.0,0,0,0,training_only
E1_traffic_only,6,missing_mask,0.0,0,0,0,training_only
E1_traffic_only,6,gap_length_steps,0.0,0,0,0,training_only
E1_traffic_only,6,coverage_ratio_6h,1.0,0,0,0,training_only
E1_traffic_only,6,coverage_ratio_24h,1.0,0,0,0,training_only
E1_traffic_only,6,volatility_tti_3h,0.0,0,0,0,training_only
E1_traffic_only,6,volatility_tti_6h,0.0,0,0,0,training_only
E1_traffic_only,6,confidence_input,1.0,0,0,0,training_only
E1_traffic_only,6,reliability_score,0.9895833333333331,0,0,0,training_only
E1_traffic_only,6,hour_sin,0.0,0,0,0,training_only
E1_traffic_only,6,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E1_traffic_only,6,dayofweek_sin,0.0,0,0,0,training_only
E1_traffic_only,6,dayofweek_cos,-0.2225209339563143,0,0,0,training_only
E1_traffic_only,6,is_weekend,0.0,0,0,0,training_only
E1_traffic_only,6,is_public_holiday,0.0,0,0,0,training_only
E1_traffic_only,6,is_school_holiday,0.0,0,0,0,training_only
E1_traffic_only,6,is_holiday_eve,0.0,0,0,0,training_only
E1_traffic_only,6,is_day_after_holiday,0.0,0,0,0,training_only
E2_rainfall,1,current_speed_input,94.0,0,0,0,training_only
E2_rainfall,1,free_flow_speed_input,94.0,0,0,0,training_only
E2_rainfall,1,current_travel_time_input,807.0,0,0,0,training_only
E2_rainfall,1,tti_input,1.0,0,0,0,training_only
E2_rainfall,1,speed_ratio_input,1.0,0,0,0,training_only
E2_rainfall,1,speed_drop_input,0.0,0,0,0,training_only
E2_rainfall,1,travel_time_delay_input,0.0,0,0,0,training_only
E2_rainfall,1,speed_deficit_ratio_input,0.0,0,0,0,training_only
E2_rainfall,1,missing_mask,0.0,0,0,0,training_only
E2_rainfall,1,gap_length_steps,0.0,0,0,0,training_only
E2_rainfall,1,coverage_ratio_6h,1.0,0,0,0,training_only
E2_rainfall,1,coverage_ratio_24h,1.0,0,0,0,training_only
E2_rainfall,1,volatility_tti_3h,0.0,0,0,0,training_only
E2_rainfall,1,volatility_tti_6h,0.0,0,0,0,training_only
E2_rainfall,1,confidence_input,1.0,0,0,0,training_only
E2_rainfall,1,reliability_score,0.9895833333333331,0,0,0,training_only
E2_rainfall,1,hour_sin,0.0,0,0,0,training_only
E2_rainfall,1,hour_cos,-1.8369701987210294e-16,0,0,0,training_only
E2_rainfall,1,dayofweek_sin,0.0,0,0,0,training_only
