timestamp_local,split,uq_partition,node_count,causal_input_node_count,timestamp_utc,date,hour,eligible_sample_count_h1,eligible_sample_count_h3,eligible_sample_count_h6
2025-12-08 13:00:00,train,train,51,50,2025-12-08 05:00:00,2025-12-08,13,50,50,50
2025-12-08 14:00:00,train,train,51,51,2025-12-08 06:00:00,2025-12-08,14,42,51,51
2025-12-08 15:00:00,train,train,51,51,2025-12-08 07:00:00,2025-12-08,15,51,51,51
2025-12-08 16:00:00,train,train,51,51,2025-12-08 08:00:00,2025-12-08,16,51,51,51
2025-12-08 17:00:00,train,train,51,51,2025-12-08 09:00:00,2025-12-08,17,51,51,51
2025-12-08 18:00:00,train,train,51,51,2025-12-08 10:00:00,2025-12-08,18,51,51,42
2025-12-08 19:00:00,train,train,51,51,2025-12-08 11:00:00,2025-12-08,19,51,51,0
2025-12-08 20:00:00,train,train,51,51,2025-12-08 12:00:00,2025-12-08,20,51,51,0
2025-12-08 21:00:00,train,train,51,51,2025-12-08 13:00:00,2025-12-08,21,51,42,0
2025-12-08 22:00:00,train,train,51,51,2025-12-08 14:00:00,2025-12-08,22,51,0,0
2025-12-08 23:00:00,train,train,51,51,2025-12-08 15:00:00,2025-12-08,23,42,0,0
2025-12-09 00:00:00,train,train,51,51,2025-12-08 16:00:00,2025-12-09,0,0,0,0
2025-12-09 01:00:00,train,train,51,51,2025-12-08 17:00:00,2025-12-09,1,0,0,0
2025-12-09 02:00:00,train,train,51,51,2025-12-08 18:00:00,2025-12-09,2,0,0,0
2025-12-09 03:00:00,train,train,51,51,2025-12-08 19:00:00,2025-12-09,3,0,0,0
2025-12-09 04:00:00,train,train,51,51,2025-12-08 20:00:00,2025-12-09,4,0,0,51
2025-12-09 05:00:00,train,train,51,51,2025-12-08 21:00:00,2025-12-09,5,0,0,51
2025-12-09 06:00:00,train,train,51,51,2025-12-08 22:00:00,2025-12-09,6,0,0,51
2025-12-09 07:00:00,train,train,51,51,2025-12-08 23:00:00,2025-12-09,7,0,51,51
2025-12-09 08:00:00,train,train,51,51,2025-12-09 00:00:00,2025-12-09,8,0,51,51
2025-12-09 09:00:00,train,train,51,51,2025-12-09 01:00:00,2025-12-09,9,51,51,51
2025-12-09 10:00:00,train,train,51,51,2025-12-09 02:00:00,2025-12-09,10,51,51,51
2025-12-09 11:00:00,train,train,51,51,2025-12-09 03:00:00,2025-12-09,11,51,51,51
2025-12-09 12:00:00,train,train,51,51,2025-12-09 04:00:00,2025-12-09,12,51,51,51
2025-12-09 13:00:00,train,train,51,51,2025-12-09 05:00:00,2025-12-09,13,51,51,50
2025-12-09 14:00:00,train,train,51,51,2025-12-09 06:00:00,2025-12-09,14,51,51,51
2025-12-09 15:00:00,train,train,51,51,2025-12-09 07:00:00,2025-12-09,15,51,51,51
2025-12-09 16:00:00,train,train,51,51,2025-12-09 08:00:00,2025-12-09,16,51,50,51
2025-12-09 17:00:00,train,train,51,51,2025-12-09 09:00:00,2025-12-09,17,51,51,51
2025-12-09 18:00:00,train,train,51,51,2025-12-09 10:00:00,2025-12-09,18,50,51,51
2025-12-09 19:00:00,train,train,51,51,2025-12-09 11:00:00,2025-12-09,19,51,51,48
2025-12-09 20:00:00,train,train,51,51,2025-12-09 12:00:00,2025-12-09,20,51,51,0
2025-12-09 21:00:00,train,train,51,51,2025-12-09 13:00:00,2025-12-09,21,51,51,0
2025-12-09 22:00:00,train,train,51,51,2025-12-09 14:00:00,2025-12-09,22,51,48,0
2025-12-09 23:00:00,train,train,51,51,2025-12-09 15:00:00,2025-12-09,23,51,0,0
