gap_id,node_id,gap_start,gap_end,gap_length_hours,start_split,end_split,carry_forward_count,fallback_count,excluded_count
N001_G0001,N001,2025-12-09 01:00:00,2025-12-09 09:00:00,9,train,train,9,0,0
N001_G0002,N001,2025-12-10 02:00:00,2025-12-10 06:00:00,5,train,train,5,0,0
N001_G0003,N001,2025-12-11 08:00:00,2025-12-11 09:00:00,2,train,train,2,0,0
N001_G0004,N001,2025-12-31 22:00:00,2025-12-31 22:00:00,1,train,train,1,0,0
N001_G0005,N001,2026-01-01 15:00:00,2026-01-01 15:00:00,1,train,train,1,0,0
N001_G0006,N001,2026-01-06 00:00:00,2026-01-06 00:00:00,1,train,train,1,0,0
N001_G0007,N001,2026-01-08 06:00:00,2026-01-08 06:00:00,1,train,train,1,0,0
N001_G0008,N001,2026-01-13 20:00:00,2026-01-13 20:00:00,1,train,train,1,0,0
N001_G0009,N001,2026-01-14 15:00:00,2026-01-14 15:00:00,1,train,train,1,0,0
N001_G0010,N001,2026-01-17 03:00:00,2026-01-17 03:00:00,1,train,train,1,0,0
N001_G0011,N001,2026-01-18 08:00:00,2026-01-18 09:00:00,2,train,train,2,0,0
N001_G0012,N001,2026-01-22 00:00:00,2026-01-22 00:00:00,1,train,train,1,0,0
N001_G0013,N001,2026-01-22 09:00:00,2026-01-22 09:00:00,1,train,train,1,0,0
N001_G0014,N001,2026-01-24 14:00:00,2026-01-24 14:00:00,1,train,train,1,0,0
N001_G0015,N001,2026-01-25 18:00:00,2026-01-25 18:00:00,1,train,train,1,0,0
N001_G0016,N001,2026-01-25 21:00:00,2026-01-25 21:00:00,1,train,train,1,0,0
N001_G0017,N001,2026-01-27 13:00:00,2026-01-27 13:00:00,1,train,train,1,0,0
N001_G0018,N001,2026-01-28 09:00:00,2026-01-28 09:00:00,1,train,train,1,0,0
N001_G0019,N001,2026-01-31 05:00:00,2026-01-31 05:00:00,1,train,train,1,0,0
N001_G0020,N001,2026-02-01 19:00:00,2026-02-01 19:00:00,1,train,train,1,0,0
N001_G0021,N001,2026-02-02 16:00:00,2026-02-02 16:00:00,1,train,train,1,0,0
N001_G0022,N001,2026-02-03 10:00:00,2026-02-03 10:00:00,1,train,train,1,0,0
N001_G0023,N001,2026-02-03 14:00:00,2026-02-03 14:00:00,1,train,train,1,0,0
N001_G0024,N001,2026-02-10 19:00:00,2026-02-10 22:00:00,4,validation,validation,4,0,0
N001_G0025,N001,2026-02-11 08:00:00,2026-02-11 08:00:00,1,validation,validation,1,0,0
N001_G0026,N001,2026-02-11 19:00:00,2026-02-11 22:00:00,4,validation,validation,4,0,0
N001_G0027,N001,2026-02-12 03:00:00,2026-02-12 03:00:00,1,validation,validation,1,0,0
N001_G0028,N001,2026-02-12 21:00:00,2026-02-12 23:00:00,3,validation,validation,3,0,0
N001_G0029,N001,2026-02-13 03:00:00,2026-02-13 03:00:00,1,validation,validation,1,0,0
N001_G0030,N001,2026-02-15 06:00:00,2026-02-15 06:00:00,1,validation,validation,1,0,0
N001_G0031,N001,2026-02-17 00:00:00,2026-02-17 23:00:00,24,test,test,24,0,0
N001_G0032,N001,2026-02-18 18:00:00,2026-02-18 18:00:00,1,test,test,1,0,0
N001_G0033,N001,2026-02-18 21:00:00,2026-02-18 21:00:00,1,test,test,1,0,0
N001_G0034,N001,2026-02-20 13:00:00,2026-02-20 13:00:00,1,test,test,1,0,0
N001_G0035,N001,2026-02-22 18:00:00,2026-02-22 18:00:00,1,test,test,1,0,0
N001_G0036,N001,2026-02-22 21:00:00,2026-02-22 21:00:00,1,test,test,1,0,0
N001_G0037,N001,2026-02-23 16:00:00,2026-02-23 16:00:00,1,test,test,1,0,0
N002_G0001,N002,2025-12-09 00:00:00,2025-12-09 09:00:00,10,train,train,10,0,0
N002_G0002,N002,2025-12-10 02:00:00,2025-12-10 06:00:00,5,train,train,5,0,0
N002_G0003,N002,2025-12-11 08:00:00,2025-12-11 09:00:00,2,train,train,2,0,0
N002_G0004,N002,2026-01-01 17:00:00,2026-01-01 17:00:00,1,train,train,1,0,0
N002_G0005,N002,2026-01-05 08:00:00,2026-01-05 08:00:00,1,train,train,1,0,0
N002_G0006,N002,2026-01-13 14:00:00,2026-01-13 14:00:00,1,train,train,1,0,0
N002_G0007,N002,2026-01-15 22:00:00,2026-01-15 22:00:00,1,train,train,1,0,0
N002_G0008,N002,2026-01-16 01:00:00,2026-01-16 01:00:00,1,train,train,1,0,0
N002_G0009,N002,2026-01-16 18:00:00,2026-01-16 18:00:00,1,train,train,1,0,0
N002_G0010,N002,2026-01-20 00:00:00,2026-01-20 00:00:00,1,train,train,1,0,0
N002_G0011,N002,2026-01-29 10:00:00,2026-01-29 10:00:00,1,train,train,1,0,0
N002_G0012,N002,2026-01-30 16:00:00,2026-01-30 16:00:00,1,train,train,1,0,0
N002_G0013,N002,2026-01-31 03:00:00,2026-01-31 03:00:00,1,train,train,1,0,0
N002_G0014,N002,2026-02-07 07:00:00,2026-02-07 07:00:00,1,validation,validation,1,0,0
N002_G0015,N002,2026-02-10 19:00:00,2026-02-10 22:00:00,4,validation,validation,4,0,0
N002_G0016,N002,2026-02-11 19:00:00,2026-02-11 22:00:00,4,validation,validation,4,0,0
N002_G0017,N002,2026-02-12 09:00:00,2026-02-12 09:00:00,1,validation,validation,1,0,0
N002_G0018,N002,2026-02-12 17:00:00,2026-02-12 17:00:00,1,validation,validation,1,0,0
N002_G0019,N002,2026-02-12 21:00:00,2026-02-12 23:00:00,3,validation,validation,3,0,0
N002_G0020,N002,2026-02-17 00:00:00,2026-02-17 23:00:00,24,test,test,24,0,0
N002_G0021,N002,2026-02-19 00:00:00,2026-02-19 00:00:00,1,test,test,1,0,0
N002_G0022,N002,2026-02-24 10:00:00,2026-02-24 10:00:00,1,test,test,1,0,0
N003_G0001,N003,2025-12-08 15:00:00,2025-12-08 15:00:00,1,train,train,1,0,0
N003_G0002,N003,2025-12-09 01:00:00,2025-12-09 09:00:00,9,train,train,9,0,0
N003_G0003,N003,2025-12-10 02:00:00,2025-12-10 06:00:00,5,train,train,5,0,0
N003_G0004,N003,2025-12-11 08:00:00,2025-12-11 09:00:00,2,train,train,2,0,0
N003_G0005,N003,2026-01-03 14:00:00,2026-01-03 14:00:00,1,train,train,1,0,0
N003_G0006,N003,2026-01-04 01:00:00,2026-01-04 01:00:00,1,train,train,1,0,0
N003_G0007,N003,2026-01-12 14:00:00,2026-01-12 14:00:00,1,train,train,1,0,0
N003_G0008,N003,2026-01-13 00:00:00,2026-01-13 00:00:00,1,train,train,1,0,0
N003_G0009,N003,2026-01-15 10:00:00,2026-01-15 10:00:00,1,train,train,1,0,0
N003_G0010,N003,2026-01-17 20:00:00,2026-01-17 20:00:00,1,train,train,1,0,0
N003_G0011,N003,2026-01-26 06:00:00,2026-01-26 06:00:00,1,train,train,1,0,0
N003_G0012,N003,2026-01-27 18:00:00,2026-01-27 18:00:00,1,train,train,1,0,0
N003_G0013,N003,2026-01-28 18:00:00,2026-01-28 18:00:00,1,train,train,1,0,0
N003_G0014,N003,2026-01-29 15:00:00,2026-01-29 15:00:00,1,train,train,1,0,0
N003_G0015,N003,2026-02-01 16:00:00,2026-02-01 16:00:00,1,train,train,1,0,0
N003_G0016,N003,2026-02-03 16:00:00,2026-02-03 16:00:00,1,train,train,1,0,0
N003_G0017,N003,2026-02-04 16:00:00,2026-02-04 16:00:00,1,validation,validation,1,0,0
N003_G0018,N003,2026-02-06 09:00:00,2026-02-06 09:00:00,1,validation,validation,1,0,0
N003_G0019,N003,2026-02-09 19:00:00,2026-02-09 19:00:00,1,validation,validation,1,0,0
N003_G0020,N003,2026-02-09 23:00:00,2026-02-09 23:00:00,1,validation,validation,1,0,0
N003_G0021,N003,2026-02-10 19:00:00,2026-02-10 22:00:00,4,validation,validation,4,0,0
N003_G0022,N003,2026-02-11 19:00:00,2026-02-11 22:00:00,4,validation,validation,4,0,0
N003_G0023,N003,2026-02-12 05:00:00,2026-02-12 05:00:00,1,validation,validation,1,0,0
N003_G0024,N003,2026-02-12 08:00:00,2026-02-12 08:00:00,1,validation,validation,1,0,0
N003_G0025,N003,2026-02-12 21:00:00,2026-02-12 23:00:00,3,validation,validation,3,0,0
N003_G0026,N003,2026-02-13 20:00:00,2026-02-13 20:00:00,1,validation,validation,1,0,0
N003_G0027,N003,2026-02-17 00:00:00,2026-02-17 23:00:00,24,test,test,24,0,0
N003_G0028,N003,2026-02-20 18:00:00,2026-02-20 18:00:00,1,test,test,1,0,0
N003_G0029,N003,2026-02-24 15:00:00,2026-02-24 15:00:00,1,test,test,1,0,0
N003_G0030,N003,2026-02-25 01:00:00,2026-02-25 01:00:00,1,test,test,1,0,0
N004_G0001,N004,2025-12-09 01:00:00,2025-12-09 09:00:00,9,train,train,9,0,0
N004_G0002,N004,2025-12-10 02:00:00,2025-12-10 06:00:00,5,train,train,5,0,0
N004_G0003,N004,2025-12-11 08:00:00,2025-12-11 09:00:00,2,train,train,2,0,0
N004_G0004,N004,2026-01-02 07:00:00,2026-01-02 07:00:00,1,train,train,1,0,0
N004_G0005,N004,2026-01-02 20:00:00,2026-01-02 20:00:00,1,train,train,1,0,0
N004_G0006,N004,2026-01-03 16:00:00,2026-01-03 16:00:00,1,train,train,1,0,0
N004_G0007,N004,2026-01-06 00:00:00,2026-01-06 00:00:00,1,train,train,1,0,0
N004_G0008,N004,2026-01-09 14:00:00,2026-01-09 14:00:00,1,train,train,1,0,0
N004_G0009,N004,2026-01-12 11:00:00,2026-01-12 11:00:00,1,train,train,1,0,0
N004_G0010,N004,2026-01-12 21:00:00,2026-01-12 21:00:00,1,train,train,1,0,0
N004_G0011,N004,2026-01-13 14:00:00,2026-01-13 14:00:00,1,train,train,1,0,0
N004_G0012,N004,2026-01-14 18:00:00,2026-01-14 18:00:00,1,train,train,1,0,0
N004_G0013,N004,2026-01-15 12:00:00,2026-01-15 12:00:00,1,train,train,1,0,0
N004_G0014,N004,2026-01-16 13:00:00,2026-01-16 13:00:00,1,train,train,1,0,0
N004_G0015,N004,2026-01-18 17:00:00,2026-01-18 17:00:00,1,train,train,1,0,0
N004_G0016,N004,2026-01-20 17:00:00,2026-01-20 17:00:00,1,train,train,1,0,0
N004_G0017,N004,2026-01-20 20:00:00,2026-01-20 20:00:00,1,train,train,1,0,0
N004_G0018,N004,2026-01-21 19:00:00,2026-01-21 19:00:00,1,train,train,1,0,0
N004_G0019,N004,2026-01-23 07:00:00,2026-01-23 07:00:00,1,train,train,1,0,0
N004_G0020,N004,2026-01-24 07:00:00,2026-01-24 07:00:00,1,train,train,1,0,0
N004_G0021,N004,2026-01-24 14:00:00,2026-01-24 14:00:00,1,train,train,1,0,0
N004_G0022,N004,2026-01-26 04:00:00,2026-01-26 04:00:00,1,train,train,1,0,0
N004_G0023,N004,2026-01-27 08:00:00,2026-01-27 08:00:00,1,train,train,1,0,0
N004_G0024,N004,2026-02-06 11:00:00,2026-02-06 11:00:00,1,validation,validation,1,0,0
N004_G0025,N004,2026-02-10 19:00:00,2026-02-10 23:00:00,5,validation,validation,5,0,0
N004_G0026,N004,2026-02-11 19:00:00,2026-02-11 22:00:00,4,validation,validation,4,0,0
N004_G0027,N004,2026-02-12 11:00:00,2026-02-12 11:00:00,1,validation,validation,1,0,0
N004_G0028,N004,2026-02-12 21:00:00,2026-02-12 23:00:00,3,validation,validation,3,0,0
N004_G0029,N004,2026-02-17 00:00:00,2026-02-17 23:00:00,24,test,test,24,0,0
N004_G0030,N004,2026-02-19 17:00:00,2026-02-19 17:00:00,1,test,test,1,0,0
N004_G0031,N004,2026-02-19 20:00:00,2026-02-19 20:00:00,1,test,test,1,0,0
N004_G0032,N004,2026-02-20 08:00:00,2026-02-20 08:00:00,1,test,test,1,0,0
N005_G0001,N005,2025-12-09 00:00:00,2025-12-09 09:00:00,10,train,train,10,0,0
N005_G0002,N005,2025-12-10 02:00:00,2025-12-10 06:00:00,5,train,train,5,0,0
N005_G0003,N005,2025-12-11 08:00:00,2025-12-11 09:00:00,2,train,train,2,0,0
N005_G0004,N005,2025-12-31 23:00:00,2025-12-31 23:00:00,1,train,train,1,0,0
N005_G0005,N005,2026-01-01 18:00:00,2026-01-01 18:00:00,1,train,train,1,0,0
N005_G0006,N005,2026-01-02 05:00:00,2026-01-02 05:00:00,1,train,train,1,0,0
N005_G0007,N005,2026-01-14 18:00:00,2026-01-14 18:00:00,1,train,train,1,0,0
N005_G0008,N005,2026-01-16 06:00:00,2026-01-16 06:00:00,1,train,train,1,0,0
N005_G0009,N005,2026-01-19 14:00:00,2026-01-19 14:00:00,1,train,train,1,0,0
N005_G0010,N005,2026-01-19 21:00:00,2026-01-19 21:00:00,1,train,train,1,0,0
N005_G0011,N005,2026-01-20 02:00:00,2026-01-20 02:00:00,1,train,train,1,0,0
