split,node_id,raw_missing_count,carry_forward_count,fallback_count,excluded_noncausal_count,max_gap_hours,mean_gap_hours,gap_gt_1h,gap_gt_3h,gap_gt_6h,gap_gt_12h,gap_gt_24h
test,N001,30,30,0,0,24,4.285714285714286,1,1,1,1,0
test,N002,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N003,27,27,0,0,24,6.75,1,1,1,1,0
test,N004,27,27,0,0,24,6.75,1,1,1,1,0
test,N005,30,30,0,0,24,4.285714285714286,1,1,1,1,0
test,N006,31,31,0,0,25,5.166666666666667,2,1,1,1,1
test,N007,27,27,0,0,24,6.75,1,1,1,1,0
test,N008,25,25,0,0,24,12.5,1,1,1,1,0
test,N009,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N010,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N011,24,24,0,0,24,24.0,1,1,1,1,0
test,N012,32,32,0,0,24,3.5555555555555554,1,1,1,1,0
test,N013,25,25,0,0,24,12.5,1,1,1,1,0
test,N014,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N015,34,34,0,0,25,3.4,1,1,1,1,1
test,N016,25,25,0,0,24,12.5,1,1,1,1,0
test,N017,31,31,0,0,24,3.875,1,1,1,1,0
test,N018,27,27,0,0,24,6.75,1,1,1,1,0
test,N019,25,25,0,0,24,12.5,1,1,1,1,0
test,N020,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N021,25,25,0,0,24,12.5,1,1,1,1,0
test,N022,28,28,0,0,24,5.6,1,1,1,1,0
test,N023,25,25,0,0,24,12.5,1,1,1,1,0
test,N024,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N025,30,30,0,0,24,4.285714285714286,1,1,1,1,0
test,N026,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N027,29,29,0,0,24,4.833333333333333,1,1,1,1,0
test,N028,27,27,0,0,24,6.75,1,1,1,1,0
test,N029,32,32,0,0,24,3.5555555555555554,1,1,1,1,0
test,N030,25,25,0,0,24,12.5,1,1,1,1,0
test,N031,29,29,0,0,24,4.833333333333333,1,1,1,1,0
test,N032,28,28,0,0,24,5.6,1,1,1,1,0
test,N033,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N034,32,32,0,0,24,3.5555555555555554,1,1,1,1,0
test,N035,28,28,0,0,24,5.6,1,1,1,1,0
test,N036,27,27,0,0,24,6.75,1,1,1,1,0
test,N037,25,25,0,0,24,12.5,1,1,1,1,0
test,N038,27,27,0,0,24,6.75,1,1,1,1,0
test,N039,29,29,0,0,24,4.833333333333333,1,1,1,1,0
test,N040,24,24,0,0,24,24.0,1,1,1,1,0
test,N041,25,25,0,0,24,12.5,1,1,1,1,0
test,N042,30,30,0,0,24,4.285714285714286,1,1,1,1,0
test,N043,33,33,0,0,25,3.6666666666666665,1,1,1,1,1
test,N044,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N045,31,31,0,0,24,3.875,1,1,1,1,0
test,N046,30,30,0,0,24,4.285714285714286,1,1,1,1,0
test,N047,28,28,0,0,24,5.6,1,1,1,1,0
test,N048,25,25,0,0,24,12.5,1,1,1,1,0
test,N049,27,27,0,0,24,6.75,1,1,1,1,0
test,N050,26,26,0,0,24,8.666666666666666,1,1,1,1,0
test,N051,25,25,0,0,24,12.5,1,1,1,1,0
train,N001,37,37,0,0,9,1.608695652173913,4,2,1,0,0
train,N002,27,27,0,0,10,2.076923076923077,3,2,1,0,0
train,N003,29,29,0,0,9,1.8125,3,2,1,0,0
train,N004,36,36,0,0,9,1.565217391304348,3,2,1,0,0
train,N005,32,32,0,0,10,1.7777777777777777,3,2,1,0,0
train,N006,35,35,0,0,9,1.75,5,2,1,0,0
train,N007,33,33,0,0,9,1.65,3,2,1,0,0
train,N008,33,33,0,0,10,1.8333333333333333,4,2,1,0,0
train,N009,29,29,0,0,9,1.8125,3,2,1,0,0
train,N010,31,31,0,0,9,1.7222222222222223,3,2,1,0,0
train,N011,25,25,0,0,9,2.0833333333333335,3,2,1,0,0
train,N012,33,33,0,0,9,1.65,3,2,1,0,0
train,N013,30,30,0,0,9,1.7647058823529411,3,2,1,0,0
train,N014,31,30,0,1,10,1.9375,3,2,1,0,0
train,N015,36,36,0,0,10,1.6363636363636365,3,2,1,0,0
train,N016,32,32,0,0,9,1.6842105263157894,3,2,1,0,0
train,N017,30,30,0,0,9,1.7647058823529411,3,2,1,0,0
train,N018,29,29,0,0,9,1.8125,3,2,1,0,0
train,N019,25,25,0,0,9,2.0833333333333335,3,2,1,0,0
train,N020,36,36,0,0,9,1.565217391304348,3,2,1,0,0
train,N021,36,36,0,0,10,1.7142857142857142,4,2,1,0,0
train,N022,33,33,0,0,9,1.65,3,2,1,0,0
train,N023,39,39,0,0,9,1.56,3,2,1,0,0
train,N024,37,37,0,0,9,1.5416666666666667,3,2,1,0,0
train,N025,30,30,0,0,9,1.7647058823529411,3,2,1,0,0
train,N026,29,29,0,0,9,1.9333333333333333,3,2,1,0,0
train,N027,34,34,0,0,9,1.619047619047619,3,2,1,0,0
train,N028,34,34,0,0,9,1.619047619047619,3,2,1,0,0
train,N029,34,34,0,0,9,1.7,4,2,1,0,0
train,N030,33,33,0,0,9,1.736842105263158,4,2,1,0,0
train,N031,35,35,0,0,9,1.75,5,2,1,0,0
train,N032,26,26,0,0,9,2.0,3,2,1,0,0
train,N033,34,34,0,0,9,1.619047619047619,3,2,1,0,0
train,N034,38,38,0,0,10,1.5833333333333333,3,2,1,0,0
train,N035,28,28,0,0,9,1.8666666666666667,3,2,1,0,0
train,N036,33,33,0,0,9,1.736842105263158,4,2,1,0,0
train,N037,34,34,0,0,10,1.7,3,2,1,0,0
train,N038,31,31,0,0,9,1.9375,4,2,1,0,0
train,N039,36,36,0,0,9,1.7142857142857142,5,2,1,0,0
train,N040,34,34,0,0,9,1.7,4,2,1,0,0
train,N041,33,33,0,0,9,1.8333333333333333,5,2,1,0,0
train,N042,31,31,0,0,9,1.7222222222222223,3,2,1,0,0
train,N043,36,36,0,0,9,1.565217391304348,3,2,1,0,0
train,N044,32,32,0,0,9,1.6842105263157894,3,2,1,0,0
train,N045,36,36,0,0,9,1.565217391304348,3,2,1,0,0
train,N046,30,30,0,0,10,1.875,3,2,1,0,0
train,N047,40,40,0,0,9,1.6,4,2,1,0,0
train,N048,36,36,0,0,9,1.6363636363636365,3,2,1,0,0
train,N049,32,32,0,0,9,1.6842105263157894,3,2,1,0,0
train,N050,37,37,0,0,9,1.608695652173913,4,2,1,0,0
train,N051,32,32,0,0,9,1.6842105263157894,3,2,1,0,0
validation,N001,15,15,0,0,4,2.142857142857143,3,2,0,0,0
validation,N002,14,14,0,0,4,2.3333333333333335,3,2,0,0,0
validation,N003,18,18,0,0,4,1.8,3,2,0,0,0
validation,N004,14,14,0,0,5,2.8,3,2,0,0,0
validation,N005,13,13,0,0,5,3.25,3,2,0,0,0
validation,N006,14,14,0,0,4,2.3333333333333335,3,2,0,0,0
validation,N007,15,15,0,0,5,2.5,3,2,0,0,0
validation,N008,13,13,0,0,4,2.6,3,2,0,0,0
validation,N009,15,15,0,0,4,2.142857142857143,3,2,0,0,0
validation,N010,14,14,0,0,4,2.3333333333333335,3,2,0,0,0
validation,N011,14,14,0,0,4,2.3333333333333335,3,2,0,0,0
validation,N012,16,16,0,0,6,3.2,3,3,0,0,0
validation,N013,13,13,0,0,4,2.6,3,2,0,0,0
validation,N014,16,16,0,0,4,2.0,3,2,0,0,0
validation,N015,14,14,0,0,6,3.5,3,2,0,0,0
validation,N016,15,15,0,0,4,2.142857142857143,3,2,0,0,0
validation,N017,14,14,0,0,5,2.8,3,2,0,0,0
validation,N018,17,17,0,0,5,2.125,3,2,0,0,0
validation,N019,13,13,0,0,4,2.6,3,2,0,0,0
validation,N020,13,13,0,0,4,2.6,3,2,0,0,0
validation,N021,14,14,0,0,5,2.8,3,2,0,0,0
validation,N022,13,13,0,0,4,2.6,3,2,0,0,0
validation,N023,15,15,0,0,4,2.142857142857143,3,2,0,0,0
validation,N024,17,17,0,0,4,1.8888888888888888,3,2,0,0,0
validation,N025,15,15,0,0,4,2.142857142857143,3,2,0,0,0
validation,N026,15,15,0,0,4,2.142857142857143,3,2,0,0,0
validation,N027,18,18,0,0,4,2.0,3,3,0,0,0
validation,N028,17,17,0,0,5,2.125,3,2,0,0,0
validation,N029,15,15,0,0,5,2.5,3,2,0,0,0
validation,N030,12,12,0,0,4,3.0,3,2,0,0,0
validation,N031,15,15,0,0,4,2.5,4,2,0,0,0
validation,N032,14,14,0,0,5,2.8,3,2,0,0,0
validation,N033,17,17,0,0,4,1.8888888888888888,3,2,0,0,0
validation,N034,20,20,0,0,4,1.6666666666666667,3,2,0,0,0
validation,N035,16,16,0,0,4,2.0,3,2,0,0,0
validation,N036,15,15,0,0,5,2.5,3,2,0,0,0
validation,N037,12,12,0,0,4,3.0,3,2,0,0,0
validation,N038,18,18,0,0,5,2.0,3,2,0,0,0
validation,N039,12,12,0,0,4,3.0,3,2,0,0,0
validation,N040,14,14,0,0,4,2.3333333333333335,3,2,0,0,0
validation,N041,17,17,0,0,4,1.8888888888888888,3,2,0,0,0
validation,N042,18,18,0,0,5,2.0,3,2,0,0,0
validation,N043,14,14,0,0,4,2.8,4,2,0,0,0
validation,N044,13,13,0,0,4,2.6,3,2,0,0,0
validation,N045,20,20,0,0,6,2.2222222222222223,4,2,0,0,0
validation,N046,14,14,0,0,4,2.3333333333333335,3,2,0,0,0
validation,N047,14,14,0,0,5,2.8,3,2,0,0,0
validation,N048,14,14,0,0,4,2.3333333333333335,3,2,0,0,0
validation,N049,14,14,0,0,4,2.3333333333333335,3,2,0,0,0
validation,N050,14,14,0,0,5,2.8,3,2,0,0,0
validation,N051,13,13,0,0,4,2.6,3,2,0,0,0
