feature,recomputed_from,sampled_rows,mismatch_count,max_absolute_difference,uses_future_information,status
rain_lag_1h,recomputed_rain_lag_1h,1000,0,0.0,False,PASS
rain_lag_3h,recomputed_rain_lag_3h,1000,0,0.0,False,PASS
rain_lag_6h,recomputed_rain_lag_6h,1000,0,0.0,False,PASS
rain_sum_3h,recomputed_rain_sum_3h,1000,0,0.0,False,PASS
rain_sum_6h,recomputed_rain_sum_6h,1000,0,0.0,False,PASS
rain_sum_12h,recomputed_rain_sum_12h,1000,0,0.0,False,PASS
rain_sum_24h,recomputed_rain_sum_24h,1000,0,0.0,False,PASS
pm2_5_lag_1h,recomputed_pm2_5_lag_1h,1000,0,0.0,False,PASS
pm2_5_lag_3h,recomputed_pm2_5_lag_3h,1000,0,0.0,False,PASS
pm2_5_lag_6h,recomputed_pm2_5_lag_6h,1000,0,0.0,False,PASS
pm2_5_mean_3h,recomputed_pm2_5_mean_3h,1000,0,0.0,False,PASS
pm2_5_mean_6h,recomputed_pm2_5_mean_6h,1000,0,0.0,False,PASS
pm2_5_mean_24h,recomputed_pm2_5_mean_24h,1000,0,0.0,False,PASS
aerosol_optical_depth_lag_3h,recomputed_aod_lag_3h,1000,0,0.0,False,PASS
aerosol_optical_depth_mean_6h,recomputed_aod_mean_6h,1000,0,0.0,False,PASS
aerosol_optical_depth_mean_24h,recomputed_aod_mean_24h,1000,0,0.0,False,PASS
nitrogen_dioxide_mean_3h,recomputed_no2_mean_3h,1000,0,0.0,False,PASS
ozone_mean_8h,recomputed_ozone_mean_8h,1000,0,0.0,False,PASS
