experiment,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
E0_baselines,Persistence,1,42,test,13641,271,1.0957725484446401,3.3019283054877504,1.5332773420380361,0.9578308842962987
E0_baselines,Historical_Average,1,42,test,13641,271,1.963519614940415,3.894800516123178,2.881216601089641,0.9413281674456931
E0_baselines,Seasonal_Historical_Average,1,42,test,13641,271,1.1897261247313478,2.8137883518093068,1.6297435099945499,0.9693773993800037
E0_baselines,Ridge,1,42,test,13641,271,1.2248342680103215,2.753867582013378,1.6541906504127735,0.9706677537253301
E0_baselines,XGBoost_traffic_baseline,1,42,test,13641,271,0.9980668375849405,2.4487234104075286,1.3168401590240015,0.9768079743944938
E0_baselines,Persistence,1,2025,test,13641,271,1.0957725484446401,3.3019283054877504,1.5332773420380361,0.9578308842962987
E0_baselines,Historical_Average,1,2025,test,13641,271,1.963519614940415,3.894800516123178,2.881216601089641,0.9413281674456931
E0_baselines,Seasonal_Historical_Average,1,2025,test,13641,271,1.1897261247313478,2.8137883518093068,1.6297435099945499,0.9693773993800037
E0_baselines,Ridge,1,2025,test,13641,271,1.2248342680103215,2.753867582013378,1.6541906504127735,0.9706677537253301
E0_baselines,XGBoost_traffic_baseline,1,2025,test,13641,271,0.9971901876580413,2.450649351476196,1.316535280623856,0.9767714786108836
E0_baselines,Persistence,1,20260623,test,13641,271,1.0957725484446401,3.3019283054877504,1.5332773420380361,0.9578308842962987
E0_baselines,Historical_Average,1,20260623,test,13641,271,1.963519614940415,3.894800516123178,2.881216601089641,0.9413281674456931
E0_baselines,Seasonal_Historical_Average,1,20260623,test,13641,271,1.1897261247313478,2.8137883518093068,1.6297435099945499,0.9693773993800037
E0_baselines,Ridge,1,20260623,test,13641,271,1.2248342680103215,2.753867582013378,1.6541906504127735,0.9706677537253301
E0_baselines,XGBoost_traffic_baseline,1,20260623,test,13641,271,1.0032477383948815,2.4510366983026204,1.3213369732893305,0.9767641350836638
E0_baselines,Persistence,1,20260715,test,13641,271,1.0957725484446401,3.3019283054877504,1.5332773420380361,0.9578308842962987
E0_baselines,Historical_Average,1,20260715,test,13641,271,1.963519614940415,3.894800516123178,2.881216601089641,0.9413281674456931
E0_baselines,Seasonal_Historical_Average,1,20260715,test,13641,271,1.1897261247313478,2.8137883518093068,1.6297435099945499,0.9693773993800037
E0_baselines,Ridge,1,20260715,test,13641,271,1.2248342680103215,2.753867582013378,1.6541906504127735,0.9706677537253301
E0_baselines,XGBoost_traffic_baseline,1,20260715,test,13641,271,1.0009857405928273,2.4388953990434934,1.318804657164039,0.9769937643337975
E0_baselines,Persistence,1,20260718,test,13641,271,1.0957725484446401,3.3019283054877504,1.5332773420380361,0.9578308842962987
E0_baselines,Historical_Average,1,20260718,test,13641,271,1.963519614940415,3.894800516123178,2.881216601089641,0.9413281674456931
E0_baselines,Seasonal_Historical_Average,1,20260718,test,13641,271,1.1897261247313478,2.8137883518093068,1.6297435099945499,0.9693773993800037
E0_baselines,Ridge,1,20260718,test,13641,271,1.2248342680103215,2.753867582013378,1.6541906504127735,0.9706677537253301
E0_baselines,XGBoost_traffic_baseline,1,20260718,test,13641,271,0.9977285930774394,2.444391283770032,1.3144535149040597,0.9768899615378275
E0_baselines,Persistence,3,42,test,13539,269,1.7023487702193663,4.44246621009701,2.5210106081042296,0.9234560873407127
E0_baselines,Historical_Average,3,42,test,13539,269,1.962860251545619,3.895039395485275,2.875785203476432,0.9411581794935175
E0_baselines,Seasonal_Historical_Average,3,42,test,13539,269,1.1933606730272843,2.8219007225198287,1.6332112530851397,0.9691151246291538
E0_baselines,Ridge,3,42,test,13539,269,1.9627107097252785,3.5668363385505604,2.7098409748921513,0.9506566357233075
E0_baselines,XGBoost_traffic_baseline,3,42,test,13539,269,1.1784762487250193,2.7215645578459395,1.5965616420418562,0.9712723783151035
E0_baselines,Persistence,3,2025,test,13539,269,1.7023487702193663,4.44246621009701,2.5210106081042296,0.9234560873407127
E0_baselines,Historical_Average,3,2025,test,13539,269,1.962860251545619,3.895039395485275,2.875785203476432,0.9411581794935175
E0_baselines,Seasonal_Historical_Average,3,2025,test,13539,269,1.1933606730272843,2.8219007225198287,1.6332112530851397,0.9691151246291538
E0_baselines,Ridge,3,2025,test,13539,269,1.9627107097252785,3.5668363385505604,2.7098409748921513,0.9506566357233075
E0_baselines,XGBoost_traffic_baseline,3,2025,test,13539,269,1.1733298926467683,2.706883404042203,1.5921894195655897,0.9715814777841955
E0_baselines,Persistence,3,20260623,test,13539,269,1.7023487702193663,4.44246621009701,2.5210106081042296,0.9234560873407127
E0_baselines,Historical_Average,3,20260623,test,13539,269,1.962860251545619,3.895039395485275,2.875785203476432,0.9411581794935175
E0_baselines,Seasonal_Historical_Average,3,20260623,test,13539,269,1.1933606730272843,2.8219007225198287,1.6332112530851397,0.9691151246291538
E0_baselines,Ridge,3,20260623,test,13539,269,1.9627107097252785,3.5668363385505604,2.7098409748921513,0.9506566357233075
E0_baselines,XGBoost_traffic_baseline,3,20260623,test,13539,269,1.1734359243629477,2.7128225101428343,1.5919566450556124,0.971456636221307
E0_baselines,Persistence,3,20260715,test,13539,269,1.7023487702193663,4.44246621009701,2.5210106081042296,0.9234560873407127
E0_baselines,Historical_Average,3,20260715,test,13539,269,1.962860251545619,3.895039395485275,2.875785203476432,0.9411581794935175
E0_baselines,Seasonal_Historical_Average,3,20260715,test,13539,269,1.1933606730272843,2.8219007225198287,1.6332112530851397,0.9691151246291538
E0_baselines,Ridge,3,20260715,test,13539,269,1.9627107097252785,3.5668363385505604,2.7098409748921513,0.9506566357233075
E0_baselines,XGBoost_traffic_baseline,3,20260715,test,13539,269,1.1768088351301655,2.710151888245099,1.5968813049304063,0.9715128072466477
E0_baselines,Persistence,3,20260718,test,13539,269,1.7023487702193663,4.44246621009701,2.5210106081042296,0.9234560873407127
E0_baselines,Historical_Average,3,20260718,test,13539,269,1.962860251545619,3.895039395485275,2.875785203476432,0.9411581794935175
E0_baselines,Seasonal_Historical_Average,3,20260718,test,13539,269,1.1933606730272843,2.8219007225198287,1.6332112530851397,0.9691151246291538
E0_baselines,Ridge,3,20260718,test,13539,269,1.9627107097252785,3.5668363385505604,2.7098409748921513,0.9506566357233075
E0_baselines,XGBoost_traffic_baseline,3,20260718,test,13539,269,1.173111668990652,2.7041878200735048,1.5900088624051771,0.9716380493900612
E0_baselines,Persistence,6,42,test,13387,266,2.260598590672543,5.473457738460892,3.459561029886224,0.8836324949002405
E0_baselines,Historical_Average,6,42,test,13387,266,1.971571111362074,3.9070682739421883,2.8879742901320737,0.9407060769264027
E0_baselines,Seasonal_Historical_Average,6,42,test,13387,266,1.1873915649234055,2.8241783082140626,1.6272325458736834,0.9690192154966674
E0_baselines,Ridge,6,42,test,13387,266,2.25735998811221,3.7822465027898473,3.0974776661527876,0.9444341650153365
E0_baselines,XGBoost_traffic_baseline,6,42,test,13387,266,1.2211762180918702,2.7723151869521563,1.6599500733702164,0.9701466279778281
E0_baselines,Persistence,6,2025,test,13387,266,2.260598590672543,5.473457738460892,3.459561029886224,0.8836324949002405
E0_baselines,Historical_Average,6,2025,test,13387,266,1.971571111362074,3.9070682739421883,2.8879742901320737,0.9407060769264027
E0_baselines,Seasonal_Historical_Average,6,2025,test,13387,266,1.1873915649234055,2.8241783082140626,1.6272325458736834,0.9690192154966674
E0_baselines,Ridge,6,2025,test,13387,266,2.25735998811221,3.7822465027898473,3.0974776661527876,0.9444341650153365
E0_baselines,XGBoost_traffic_baseline,6,2025,test,13387,266,1.2105098615797245,2.7304551290892345,1.6407473187710198,0.9710413526125659
E0_baselines,Persistence,6,20260623,test,13387,266,2.260598590672543,5.473457738460892,3.459561029886224,0.8836324949002405
E0_baselines,Historical_Average,6,20260623,test,13387,266,1.971571111362074,3.9070682739421883,2.8879742901320737,0.9407060769264027
E0_baselines,Seasonal_Historical_Average,6,20260623,test,13387,266,1.1873915649234055,2.8241783082140626,1.6272325458736834,0.9690192154966674
E0_baselines,Ridge,6,20260623,test,13387,266,2.25735998811221,3.7822465027898473,3.0974776661527876,0.9444341650153365
E0_baselines,XGBoost_traffic_baseline,6,20260623,test,13387,266,1.2210236967858117,2.7548710861484693,1.6579716315833863,0.9705211357832628
E0_baselines,Persistence,6,20260715,test,13387,266,2.260598590672543,5.473457738460892,3.459561029886224,0.8836324949002405
E0_baselines,Historical_Average,6,20260715,test,13387,266,1.971571111362074,3.9070682739421883,2.8879742901320737,0.9407060769264027
E0_baselines,Seasonal_Historical_Average,6,20260715,test,13387,266,1.1873915649234055,2.8241783082140626,1.6272325458736834,0.9690192154966674
E0_baselines,Ridge,6,20260715,test,13387,266,2.25735998811221,3.7822465027898473,3.0974776661527876,0.9444341650153365
E0_baselines,XGBoost_traffic_baseline,6,20260715,test,13387,266,1.2172144128169637,2.758830850151414,1.6555715183667732,0.9704363309170874
E0_baselines,Persistence,6,20260718,test,13387,266,2.260598590672543,5.473457738460892,3.459561029886224,0.8836324949002405
E0_baselines,Historical_Average,6,20260718,test,13387,266,1.971571111362074,3.9070682739421883,2.8879742901320737,0.9407060769264027
E0_baselines,Seasonal_Historical_Average,6,20260718,test,13387,266,1.1873915649234055,2.8241783082140626,1.6272325458736834,0.9690192154966674
E0_baselines,Ridge,6,20260718,test,13387,266,2.25735998811221,3.7822465027898473,3.0974776661527876,0.9444341650153365
E0_baselines,XGBoost_traffic_baseline,6,20260718,test,13387,266,1.2129746635187961,2.7479716699296626,1.6452745461092342,0.97066860712553
E0_baselines,Formal_TCN_24h_causal,1,2025,test,13641,271,1.4066126259722045,3.3855815628438437,1.8784823391538221,0.9556671371489809
E0_baselines,Formal_TCN_24h_causal,1,20260623,test,13641,271,1.4674482965703566,3.5448875066795043,1.9615350035947159,0.9513968819999028
E0_baselines,Formal_TCN_24h_causal,1,20260715,test,13641,271,1.486256070679194,3.512621993044245,1.9818849361671598,0.9522776251412443
E0_baselines,Formal_TCN_24h_causal,1,20260718,test,13641,271,1.4753956166576339,3.4416810489878684,1.956960111041819,0.9541857631861529
E0_baselines,Formal_TCN_24h_causal,1,42,test,13641,271,1.4043849342144286,2.866290057742226,1.87082526991202,0.9682239807494034
E0_baselines,Formal_TCN_24h_causal,3,2025,test,13539,269,1.7347293446340293,4.068593299370919,2.3349113416405123,0.9357976461692664
E0_baselines,Formal_TCN_24h_causal,3,20260623,test,13539,269,1.6074769303034235,3.3019216959336264,2.145123356131857,0.957714065620381
E0_baselines,Formal_TCN_24h_causal,3,20260715,test,13539,269,1.653596487537657,3.6704793175275534,2.2292841967085613,0.9477473940862042
E0_baselines,Formal_TCN_24h_causal,3,20260718,test,13539,269,1.9086094618248652,5.324970197566614,2.6482615960719444,0.8900242949993404
E0_baselines,Formal_TCN_24h_causal,3,42,test,13539,269,1.540256817642506,3.2332482238057128,2.073314553604808,0.9594547029040027
E0_baselines,Formal_TCN_24h_causal,6,2025,test,13387,266,1.7429645705313912,3.565489171046344,2.310104629549522,0.9506205295233016
E0_baselines,Formal_TCN_24h_causal,6,20260623,test,13387,266,1.5425173107696326,3.1636542914057606,2.0907479957653146,0.9611235836476617
E0_baselines,Formal_TCN_24h_causal,6,20260715,test,13387,266,1.7108807102510266,3.4258471594507127,2.3038225233520437,0.9544126705183201
E0_baselines,Formal_TCN_24h_causal,6,20260718,test,13387,266,1.7846307007221198,3.7953056579513835,2.3712070273684387,0.9440497926060045
E0_baselines,Formal_TCN_24h_causal,6,42,test,13387,266,1.7678320896031565,3.551499489831195,2.3527122157768696,0.951007263453852
