experiment,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
E1_traffic_only,E1_traffic_only_xgboost,1,42,test,13641,271,0.9980668375849405,2.4487234104075286,1.3168401590240015,0.9768079743944938
E1_traffic_only,E1_traffic_only_xgboost,1,2025,test,13641,271,0.9971901876580413,2.450649351476196,1.316535280623856,0.9767714786108836
E1_traffic_only,E1_traffic_only_xgboost,1,20260623,test,13641,271,1.0032477383948815,2.4510366983026204,1.3213369732893305,0.9767641350836638
E1_traffic_only,E1_traffic_only_xgboost,1,20260715,test,13641,271,1.0009857405928273,2.4388953990434934,1.318804657164039,0.9769937643337975
E1_traffic_only,E1_traffic_only_xgboost,1,20260718,test,13641,271,0.9977285930774394,2.444391283770032,1.3144535149040597,0.9768899615378275
E1_traffic_only,E1_traffic_only_xgboost,3,42,test,13539,269,1.1784762487250193,2.7215645578459395,1.5965616420418562,0.9712723783151035
E1_traffic_only,E1_traffic_only_xgboost,3,2025,test,13539,269,1.1733298926467683,2.706883404042203,1.5921894195655897,0.9715814777841955
E1_traffic_only,E1_traffic_only_xgboost,3,20260623,test,13539,269,1.1734359243629477,2.7128225101428343,1.5919566450556124,0.971456636221307
E1_traffic_only,E1_traffic_only_xgboost,3,20260715,test,13539,269,1.1768088351301655,2.710151888245099,1.5968813049304063,0.9715128072466477
E1_traffic_only,E1_traffic_only_xgboost,3,20260718,test,13539,269,1.173111668990652,2.7041878200735048,1.5900088624051771,0.9716380493900612
E1_traffic_only,E1_traffic_only_xgboost,6,42,test,13387,266,1.2211762180918702,2.7723151869521563,1.6599500733702164,0.9701466279778281
E1_traffic_only,E1_traffic_only_xgboost,6,2025,test,13387,266,1.2105098615797245,2.7304551290892345,1.6407473187710198,0.9710413526125659
E1_traffic_only,E1_traffic_only_xgboost,6,20260623,test,13387,266,1.2210236967858117,2.7548710861484693,1.6579716315833863,0.9705211357832628
E1_traffic_only,E1_traffic_only_xgboost,6,20260715,test,13387,266,1.2172144128169637,2.758830850151414,1.6555715183667732,0.9704363309170874
E1_traffic_only,E1_traffic_only_xgboost,6,20260718,test,13387,266,1.2129746635187961,2.7479716699296626,1.6452745461092342,0.97066860712553
