experiment,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
E2_rainfall,E2_rainfall_aware_xgboost,1,42,test,13641,271,1.1450588024691153,2.531709918287181,1.4842810992021755,0.9752093963800659
E2_rainfall,E2_rainfall_aware_xgboost,1,2025,test,13641,271,1.126539935762254,2.514020617829723,1.4602861774598512,0.975554614773879
E2_rainfall,E2_rainfall_aware_xgboost,1,20260623,test,13641,271,1.1549219064400482,2.539752961919341,1.493725080008381,0.9750516305702027
E2_rainfall,E2_rainfall_aware_xgboost,1,20260715,test,13641,271,1.1604604198824109,2.5433990680805585,1.501021154692842,0.9749799466704194
E2_rainfall,E2_rainfall_aware_xgboost,1,20260718,test,13641,271,1.1442653495766761,2.5327079566372155,1.4811289947231039,0.9751898468654991
E2_rainfall,E2_rainfall_aware_xgboost,3,42,test,13539,269,1.3114453121769196,2.766396668670712,1.74013278613474,0.9703181273382386
E2_rainfall,E2_rainfall_aware_xgboost,3,2025,test,13539,269,1.315185841216316,2.765180340097157,1.7453512660595343,0.9703442226364183
E2_rainfall,E2_rainfall_aware_xgboost,3,20260623,test,13539,269,1.3241640555980998,2.78213264944558,1.762376677145219,0.9699794905837585
E2_rainfall,E2_rainfall_aware_xgboost,3,20260715,test,13539,269,1.3347999828776378,2.795709400965134,1.7714103407923703,0.9696857767017404
E2_rainfall,E2_rainfall_aware_xgboost,3,20260718,test,13539,269,1.3108045769644108,2.770452405882892,1.741513827451022,0.9702310320050889
E2_rainfall,E2_rainfall_aware_xgboost,6,42,test,13387,266,1.4314006756502586,2.9152494489122813,1.8868433833120941,0.9669889279305746
E2_rainfall,E2_rainfall_aware_xgboost,6,2025,test,13387,266,1.4048145578099964,2.8848739354373727,1.8475195059229363,0.9676732633920954
E2_rainfall,E2_rainfall_aware_xgboost,6,20260623,test,13387,266,1.3999254641342096,2.87567919617962,1.849295985211497,0.9678790001016329
E2_rainfall,E2_rainfall_aware_xgboost,6,20260715,test,13387,266,1.4415656220695952,2.920555143881393,1.8998041286517102,0.9668686596216147
E2_rainfall,E2_rainfall_aware_xgboost,6,20260718,test,13387,266,1.4155760425812594,2.9049701097471217,1.8690667447436624,0.9672213154224483
