experiment,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
E3_meteorology,E3_meteorology_aware_xgboost,1,42,test,13641,271,1.030439187816035,2.4805143502055884,1.3553041522135605,0.9762018770952744
E3_meteorology,E3_meteorology_aware_xgboost,1,2025,test,13641,271,1.0338904146522065,2.4744534969530747,1.3570974153311819,0.9763180310029292
E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,test,13641,271,1.031717208997655,2.486276218241041,1.3577657068095619,0.9760911896482874
E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,test,13641,271,1.0349874733183164,2.4758692739069423,1.3604796347763601,0.9762909236212572
E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,test,13641,271,1.0267779172773315,2.477755696556065,1.3505797601484884,0.9762547808589697
E3_meteorology,E3_meteorology_aware_xgboost,3,42,test,13539,269,1.2364314612860483,2.7343949283268265,1.6580912553548075,0.9710008765074918
E3_meteorology,E3_meteorology_aware_xgboost,3,2025,test,13539,269,1.2354166925318861,2.729536407115517,1.6527603255619097,0.9711038372646825
E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,test,13539,269,1.2318758529436553,2.731230330727912,1.6536262512534994,0.9710679607835856
E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,test,13539,269,1.2333962991958054,2.7321222339725915,1.6539295827250284,0.9710490617601681
E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,test,13539,269,1.2351037154096847,2.7325189503599394,1.6583362236296428,0.9710406535379111
E3_meteorology,E3_meteorology_aware_xgboost,6,42,test,13387,266,1.3362087636820208,2.8415009435016727,1.7777038854154357,0.9686379968536879
E3_meteorology,E3_meteorology_aware_xgboost,6,2025,test,13387,266,1.3224251230198598,2.8238260875879635,1.762004908209431,0.9690269426226972
E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,test,13387,266,1.3279213709641386,2.8140383160553673,1.7673519969320455,0.9692412843048639
E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,test,13387,266,1.33461914738794,2.825584371259629,1.7759368450426347,0.9689883592438268
E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,test,13387,266,1.3420197178342037,2.839754810461213,1.7867061562228341,0.9686765295904395
