experiment,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
E5_full_fusion,E5_full_fusion_xgboost,1,42,test,13641,271,1.194628900955305,2.5220984551509966,1.5324932214864586,0.975397270729886
E5_full_fusion,E5_full_fusion_xgboost,1,2025,test,13641,271,1.1563395121887399,2.522764701672654,1.4931408369512453,0.9753842707236552
E5_full_fusion,E5_full_fusion_xgboost,1,20260623,test,13641,271,1.1619693847735297,2.5159451293072603,1.4984414794193446,0.9755171740058826
E5_full_fusion,E5_full_fusion_xgboost,1,20260715,test,13641,271,1.1645033523040913,2.5095888983154238,1.5029620241687773,0.9756407235379353
E5_full_fusion,E5_full_fusion_xgboost,1,20260718,test,13641,271,1.1637247967632058,2.506606077970266,1.4984185668460483,0.9756985945024897
E5_full_fusion,E5_full_fusion_xgboost,3,42,test,13539,269,1.4073290782931942,2.83499581438471,1.838524452940657,0.9688278156647007
E5_full_fusion,E5_full_fusion_xgboost,3,2025,test,13539,269,1.421765662269208,2.8241961058458194,1.850543396177472,0.9690648596003125
E5_full_fusion,E5_full_fusion_xgboost,3,20260623,test,13539,269,1.4244715538206165,2.8318090911231018,1.854768061620273,0.9688978554818145
E5_full_fusion,E5_full_fusion_xgboost,3,20260715,test,13539,269,1.3944295520887193,2.817599728379695,1.8242576250043965,0.9692091991203826
E5_full_fusion,E5_full_fusion_xgboost,3,20260718,test,13539,269,1.3932205844477834,2.8285771012829852,1.8201758365999676,0.9689688097363306
E5_full_fusion,E5_full_fusion_xgboost,6,42,test,13387,266,1.4872926561722186,2.870572049903663,1.931181429916549,0.9679929912405044
E5_full_fusion,E5_full_fusion_xgboost,6,2025,test,13387,266,1.4755648972138546,2.8705366070796012,1.9231854461300903,0.9679937816138218
E5_full_fusion,E5_full_fusion_xgboost,6,20260623,test,13387,266,1.5095473863033626,2.904156898636104,1.9577894646213518,0.9672396648432585
E5_full_fusion,E5_full_fusion_xgboost,6,20260715,test,13387,266,1.5238901376670817,2.911441777256099,1.9693790997264033,0.967075104595002
E5_full_fusion,E5_full_fusion_xgboost,6,20260718,test,13387,266,1.5038806275368473,2.885937390156613,1.9512725553714412,0.9676494257078295
