experiment,horizon,seed,train_samples,validation_samples,test_samples,encoded_feature_count,best_iteration,elapsed_seconds,selection_split,test_used_for_selection,checkpoint
E5_full_fusion,1,42,68963,14337,13641,151,240,2.0809340476989746,validation,False,E5_full_fusion_h1_seed42.json
E5_full_fusion,1,2025,68963,14337,13641,151,216,1.6739985942840576,validation,False,E5_full_fusion_h1_seed2025.json
E5_full_fusion,1,20260623,68963,14337,13641,151,253,1.8090662956237793,validation,False,E5_full_fusion_h1_seed20260623.json
E5_full_fusion,1,20260715,68963,14337,13641,151,210,1.6190001964569092,validation,False,E5_full_fusion_h1_seed20260715.json
E5_full_fusion,1,20260718,68963,14337,13641,151,217,1.7079975605010986,validation,False,E5_full_fusion_h1_seed20260718.json
E5_full_fusion,3,42,68870,14235,13539,151,210,1.8659985065460205,validation,False,E5_full_fusion_h3_seed42.json
E5_full_fusion,3,2025,68870,14235,13539,151,200,1.6359190940856934,validation,False,E5_full_fusion_h3_seed2025.json
E5_full_fusion,3,20260623,68870,14235,13539,151,213,1.6639978885650635,validation,False,E5_full_fusion_h3_seed20260623.json
E5_full_fusion,3,20260715,68870,14235,13539,151,217,1.6520752906799316,validation,False,E5_full_fusion_h3_seed20260715.json
E5_full_fusion,3,20260718,68870,14235,13539,151,201,1.6259596347808838,validation,False,E5_full_fusion_h3_seed20260718.json
E5_full_fusion,6,42,68717,14084,13387,151,205,1.8379967212677002,validation,False,E5_full_fusion_h6_seed42.json
E5_full_fusion,6,2025,68717,14084,13387,151,226,1.7529997825622559,validation,False,E5_full_fusion_h6_seed2025.json
E5_full_fusion,6,20260623,68717,14084,13387,151,218,1.6760001182556152,validation,False,E5_full_fusion_h6_seed20260623.json
E5_full_fusion,6,20260715,68717,14084,13387,151,228,1.7039988040924072,validation,False,E5_full_fusion_h6_seed20260715.json
E5_full_fusion,6,20260718,68717,14084,13387,151,268,1.9189980030059814,validation,False,E5_full_fusion_h6_seed20260718.json
