experiment,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
E1_traffic_only,E1_traffic_only_xgboost,1,42,test,13641,271,0.9980668375849404,2.4487234104075286,1.3168401590240015,0.9768079743944938
E1_traffic_only,E1_traffic_only_xgboost,1,2025,test,13641,271,0.9971901876580412,2.450649351476196,1.316535280623856,0.9767714786108836
E1_traffic_only,E1_traffic_only_xgboost,1,20260623,test,13641,271,1.0032477383948817,2.4510366983026204,1.3213369732893303,0.9767641350836638
E1_traffic_only,E1_traffic_only_xgboost,1,20260715,test,13641,271,1.0009857405928273,2.4388953990434934,1.318804657164039,0.9769937643337976
E1_traffic_only,E1_traffic_only_xgboost,1,20260718,test,13641,271,0.9977285930774394,2.444391283770032,1.3144535149040597,0.9768899615378276
E1_traffic_only,E1_traffic_only_xgboost,3,42,test,13539,269,1.178476248725019,2.7215645578459395,1.5965616420418562,0.9712723783151036
E1_traffic_only,E1_traffic_only_xgboost,3,2025,test,13539,269,1.1733298926467683,2.706883404042203,1.5921894195655897,0.9715814777841956
E1_traffic_only,E1_traffic_only_xgboost,3,20260623,test,13539,269,1.1734359243629475,2.7128225101428343,1.5919566450556124,0.971456636221307
E1_traffic_only,E1_traffic_only_xgboost,3,20260715,test,13539,269,1.1768088351301655,2.710151888245099,1.5968813049304065,0.9715128072466476
E1_traffic_only,E1_traffic_only_xgboost,3,20260718,test,13539,269,1.173111668990652,2.7041878200735048,1.5900088624051771,0.9716380493900612
E1_traffic_only,E1_traffic_only_xgboost,6,42,test,13387,266,1.2211762180918702,2.7723151869521563,1.6599500733702164,0.970146627977828
E1_traffic_only,E1_traffic_only_xgboost,6,2025,test,13387,266,1.2105098615797245,2.7304551290892345,1.6407473187710198,0.971041352612566
E1_traffic_only,E1_traffic_only_xgboost,6,20260623,test,13387,266,1.2210236967858117,2.7548710861484693,1.6579716315833863,0.9705211357832628
E1_traffic_only,E1_traffic_only_xgboost,6,20260715,test,13387,266,1.2172144128169635,2.758830850151414,1.6555715183667732,0.9704363309170874
E1_traffic_only,E1_traffic_only_xgboost,6,20260718,test,13387,266,1.212974663518796,2.7479716699296626,1.6452745461092342,0.97066860712553
E2_rainfall,E2_rainfall_aware_xgboost,1,42,test,13641,271,1.1450588024691153,2.531709918287181,1.4842810992021755,0.975209396380066
E2_rainfall,E2_rainfall_aware_xgboost,1,2025,test,13641,271,1.126539935762254,2.514020617829723,1.4602861774598512,0.975554614773879
E2_rainfall,E2_rainfall_aware_xgboost,1,20260623,test,13641,271,1.1549219064400482,2.539752961919341,1.493725080008381,0.9750516305702028
E2_rainfall,E2_rainfall_aware_xgboost,1,20260715,test,13641,271,1.1604604198824109,2.5433990680805585,1.501021154692842,0.9749799466704194
E2_rainfall,E2_rainfall_aware_xgboost,1,20260718,test,13641,271,1.144265349576676,2.5327079566372155,1.481128994723104,0.9751898468654993
E2_rainfall,E2_rainfall_aware_xgboost,3,42,test,13539,269,1.3114453121769196,2.766396668670712,1.74013278613474,0.9703181273382386
E2_rainfall,E2_rainfall_aware_xgboost,3,2025,test,13539,269,1.315185841216316,2.765180340097157,1.7453512660595345,0.9703442226364184
E2_rainfall,E2_rainfall_aware_xgboost,3,20260623,test,13539,269,1.3241640555980998,2.78213264944558,1.762376677145219,0.9699794905837584
