horizon,seed,experiment_count,sample_count,all_counts_identical,all_sample_id_hashes_identical,all_y_true_hashes_identical,duplicate_sample_ids,status
1,42,5,13641,True,True,True,0,PASS
1,2025,5,13641,True,True,True,0,PASS
1,20260623,5,13641,True,True,True,0,PASS
1,20260715,5,13641,True,True,True,0,PASS
1,20260718,5,13641,True,True,True,0,PASS
3,42,5,13539,True,True,True,0,PASS
3,2025,5,13539,True,True,True,0,PASS
3,20260623,5,13539,True,True,True,0,PASS
3,20260715,5,13539,True,True,True,0,PASS
3,20260718,5,13539,True,True,True,0,PASS
6,42,5,13387,True,True,True,0,PASS
6,2025,5,13387,True,True,True,0,PASS
6,20260623,5,13387,True,True,True,0,PASS
6,20260715,5,13387,True,True,True,0,PASS
6,20260718,5,13387,True,True,True,0,PASS
