variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,42,test,13641,271,0.9980668375849405,2.4487234104075286,1.3168401590240015,0.9768079743944938
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,2025,test,13641,271,0.9971901876580413,2.450649351476196,1.316535280623856,0.9767714786108836
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,20260623,test,13641,271,1.0032477383948815,2.4510366983026204,1.3213369732893305,0.9767641350836638
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,20260715,test,13641,271,1.0009857405928273,2.4388953990434934,1.318804657164039,0.9769937643337975
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,20260718,test,13641,271,0.9977285930774394,2.444391283770032,1.3144535149040597,0.9768899615378275
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,42,test,13539,269,1.1784762487250193,2.7215645578459395,1.5965616420418562,0.9712723783151035
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,2025,test,13539,269,1.1733298926467683,2.706883404042203,1.5921894195655897,0.9715814777841955
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,20260623,test,13539,269,1.1734359243629477,2.7128225101428343,1.5919566450556124,0.971456636221307
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,20260715,test,13539,269,1.1768088351301655,2.710151888245099,1.5968813049304063,0.9715128072466477
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,20260718,test,13539,269,1.173111668990652,2.7041878200735048,1.5900088624051771,0.9716380493900612
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,42,test,13387,266,1.2211762180918702,2.7723151869521563,1.6599500733702164,0.9701466279778281
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,2025,test,13387,266,1.2105098615797245,2.7304551290892345,1.6407473187710198,0.9710413526125659
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,20260623,test,13387,266,1.2210236967858117,2.7548710861484693,1.6579716315833863,0.9705211357832628
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,20260715,test,13387,266,1.2172144128169637,2.758830850151414,1.6555715183667732,0.9704363309170874
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,20260718,test,13387,266,1.2129746635187961,2.7479716699296626,1.6452745461092342,0.97066860712553
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,42,test,13641,271,1.0274172118427705,2.4663850430329526,1.3535925511945393,0.9764722188698745
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,2025,test,13641,271,1.0256768486627552,2.463322227409139,1.3522994467136265,0.9765306173037699
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,20260623,test,13641,271,1.0236766007464904,2.460421755659807,1.3481910306062481,0.9765858534433361
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,20260715,test,13641,271,1.0301333768764578,2.4652766725911563,1.3542936747156702,0.9764933604493268
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,20260718,test,13641,271,1.0250683820303288,2.463171941639805,1.351212318844241,0.9765334809215309
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,42,test,13539,269,1.2358359473622185,2.7340432749406998,1.6528016791399505,0.9710083348187533
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,2025,test,13539,269,1.22241625996323,2.7201731352866028,1.6385008558750813,0.9713017452780862
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,20260623,test,13539,269,1.2405709515148093,2.729905620628885,1.657659596951911,0.971096019398392
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,20260715,test,13539,269,1.2260434484741263,2.7123598293066293,1.6414009175921587,0.9714663717208972
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,20260718,test,13539,269,1.2263246907562602,2.71829465144895,1.643876881314537,0.971341368192368
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,42,test,13387,266,1.3827699096805828,2.8584787999990557,1.8352090308212954,0.9682621037520708
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,2025,test,13387,266,1.393805425563231,2.880408994098546,1.845721162195977,0.9677732506290663
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,20260623,test,13387,266,1.4004626779168499,2.88436344076625,1.8539835235976485,0.9676847031756187
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,20260715,test,13387,266,1.4052972430118553,2.9011259510571956,1.8646709658447687,0.9673080103542193
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,20260718,test,13387,266,1.3965404764963176,2.8942388280041547,1.8503145315381337,0.9674630443014827
P2_aod_only,P2_aod_only_xgboost,1,42,test,13641,271,1.0250016985717234,2.45758420690261,1.3437736375624862,0.9766398283125938
P2_aod_only,P2_aod_only_xgboost,1,2025,test,13641,271,1.008901195639381,2.4501089024714746,1.328439497728116,0.976781722791261
P2_aod_only,P2_aod_only_xgboost,1,20260623,test,13641,271,1.0159542670724293,2.4569661522540094,1.3337194847655367,0.9766515764733961
P2_aod_only,P2_aod_only_xgboost,1,20260715,test,13641,271,1.0180647455614467,2.4548141639301884,1.3381029481312252,0.9766924590312852
P2_aod_only,P2_aod_only_xgboost,1,20260718,test,13641,271,1.0114643204775273,2.451820606564667,1.331215153381739,0.9767492697825537
