variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,42,test,13641,271,0.9980668375849405,2.4487234104075286,1.3168401590240015,0.9768079743944938,0.9980668375849404,1.1102230246251565e-16,1.1123734231182397e-14
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,2025,test,13641,271,0.9971901876580413,2.450649351476196,1.316535280623856,0.9767714786108836,0.9971901876580412,1.1102230246251565e-16,1.1133513329413913e-14
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,20260623,test,13641,271,1.0032477383948815,2.4510366983026204,1.3213369732893305,0.9767641350836638,1.0032477383948817,-2.220446049250313e-16,-2.213257966375139e-14
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,20260715,test,13641,271,1.0009857405928273,2.4388953990434934,1.318804657164039,0.9769937643337975,1.0009857405928273,0.0,0.0
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,1,20260718,test,13641,271,0.9977285930774394,2.444391283770032,1.3144535149040597,0.9768899615378275,0.9977285930774394,0.0,0.0
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,42,test,13539,269,1.1784762487250193,2.7215645578459395,1.5965616420418562,0.9712723783151035,1.178476248725019,2.220446049250313e-16,1.8841669924638616e-14
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,2025,test,13539,269,1.1733298926467683,2.706883404042203,1.5921894195655897,0.9715814777841955,1.1733298926467683,0.0,0.0
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,20260623,test,13539,269,1.1734359243629477,2.7128225101428343,1.5919566450556124,0.971456636221307,1.1734359243629475,2.220446049250313e-16,1.8922601593740895e-14
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,20260715,test,13539,269,1.1768088351301655,2.710151888245099,1.5968813049304063,0.9715128072466477,1.1768088351301655,0.0,0.0
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,3,20260718,test,13539,269,1.173111668990652,2.7041878200735048,1.5900088624051771,0.9716380493900612,1.173111668990652,0.0,0.0
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,42,test,13387,266,1.2211762180918702,2.7723151869521563,1.6599500733702164,0.9701466279778281,1.2211762180918702,0.0,0.0
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,2025,test,13387,266,1.2105098615797245,2.7304551290892345,1.6407473187710198,0.9710413526125659,1.2105098615797245,0.0,0.0
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,20260623,test,13387,266,1.2210236967858117,2.7548710861484693,1.6579716315833863,0.9705211357832628,1.2210236967858117,0.0,0.0
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,20260715,test,13387,266,1.2172144128169637,2.758830850151414,1.6555715183667732,0.9704363309170874,1.2172144128169635,2.220446049250313e-16,1.824202889704206e-14
P0_traffic_only,P0_traffic_only_xgboost_frozen_anchor,6,20260718,test,13387,266,1.2129746635187961,2.7479716699296626,1.6452745461092342,0.97066860712553,1.212974663518796,2.220446049250313e-16,1.8305790846520065e-14
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,42,test,13641,271,1.0274172118427705,2.4663850430329526,1.3535925511945393,0.9764722188698745,0.9980668375849404,0.029350374257830047,2.9407223196444683
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,2025,test,13641,271,1.0256768486627552,2.463322227409139,1.3522994467136265,0.9765306173037699,0.9971901876580412,0.028486661004713976,2.856692871358526
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,20260623,test,13641,271,1.0236766007464904,2.460421755659807,1.3481910306062481,0.9765858534433361,1.0032477383948817,0.02042886235160868,2.03627295330795
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,20260715,test,13641,271,1.0301333768764578,2.4652766725911563,1.3542936747156702,0.9764933604493268,1.0009857405928273,0.029147636283630485,2.911893256977666
P1_pm2_5_only,P1_pm2_5_only_xgboost,1,20260718,test,13641,271,1.0250683820303288,2.463171941639805,1.351212318844241,0.9765334809215309,0.9977285930774394,0.027339788952889355,2.740203011378201
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,42,test,13539,269,1.2358359473622185,2.7340432749406998,1.6528016791399505,0.9710083348187533,1.178476248725019,0.05735969863719936,4.867276595455887
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,2025,test,13539,269,1.22241625996323,2.7201731352866028,1.6385008558750813,0.9713017452780862,1.1733298926467683,0.049086367316461654,4.183509482208269
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,20260623,test,13539,269,1.2405709515148093,2.729905620628885,1.657659596951911,0.971096019398392,1.1734359243629475,0.06713502715186181,5.721235029369762
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,20260715,test,13539,269,1.2260434484741263,2.7123598293066293,1.6414009175921587,0.9714663717208972,1.1768088351301655,0.04923461334396073,4.183739267942778
P1_pm2_5_only,P1_pm2_5_only_xgboost,3,20260718,test,13539,269,1.2263246907562602,2.71829465144895,1.643876881314537,0.971341368192368,1.173111668990652,0.05321302176560816,4.536057663751036
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,42,test,13387,266,1.3827699096805828,2.8584787999990557,1.8352090308212954,0.9682621037520708,1.2211762180918702,0.16159369158871262,13.232626806408687
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,2025,test,13387,266,1.393805425563231,2.880408994098546,1.845721162195977,0.9677732506290663,1.2105098615797245,0.18329556398350655,15.142013278958707
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,20260623,test,13387,266,1.4004626779168499,2.88436344076625,1.8539835235976485,0.9676847031756187,1.2210236967858117,0.17943898113103818,14.695782039561417
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,20260715,test,13387,266,1.4052972430118553,2.9011259510571956,1.8646709658447687,0.9673080103542193,1.2172144128169635,0.1880828301948918,15.451906271764992
P1_pm2_5_only,P1_pm2_5_only_xgboost,6,20260718,test,13387,266,1.3965404764963176,2.8942388280041547,1.8503145315381337,0.9674630443014827,1.212974663518796,0.18356581297752173,15.13352409563147
P2_aod_only,P2_aod_only_xgboost,1,42,test,13641,271,1.0250016985717234,2.45758420690261,1.3437736375624862,0.9766398283125938,0.9980668375849404,0.026934860986782994,2.6987031301388873
P2_aod_only,P2_aod_only_xgboost,1,2025,test,13641,271,1.008901195639381,2.4501089024714746,1.328439497728116,0.976781722791261,0.9971901876580412,0.011711007981339727,1.1744006435566425
P2_aod_only,P2_aod_only_xgboost,1,20260623,test,13641,271,1.0159542670724293,2.4569661522540094,1.3337194847655367,0.9766515764733961,1.0032477383948817,0.012706528677547624,1.2665394788606332
P2_aod_only,P2_aod_only_xgboost,1,20260715,test,13641,271,1.0180647455614467,2.4548141639301884,1.3381029481312252,0.9766924590312852,1.0009857405928273,0.01707900496861936,1.706218607919872
P2_aod_only,P2_aod_only_xgboost,1,20260718,test,13641,271,1.0114643204775273,2.451820606564667,1.331215153381739,0.9767492697825537,0.9977285930774394,0.013735727400087883,1.3766997854317053
P2_aod_only,P2_aod_only_xgboost,3,42,test,13539,269,1.273138375083532,2.72575446289492,1.6844503483018385,0.9711838566889844,1.178476248725019,0.09466212635851279,8.032586694973848
P2_aod_only,P2_aod_only_xgboost,3,2025,test,13539,269,1.2630222947652037,2.7230963269920263,1.6740229868980887,0.9712400318710355,1.1733298926467683,0.08969240211843532,7.6442612329691375
P2_aod_only,P2_aod_only_xgboost,3,20260623,test,13539,269,1.282917621643636,2.737636492410821,1.6963243709813485,0.9709320801276068,1.1734359243629475,0.10948169728068846,9.33001069829403
P2_aod_only,P2_aod_only_xgboost,3,20260715,test,13539,269,1.289694625550571,2.7584531603109936,1.710673048549054,0.9704883413182078,1.1768088351301655,0.11288579042040547,9.592534237552636
P2_aod_only,P2_aod_only_xgboost,3,20260718,test,13539,269,1.2936423361640412,2.735373894767537,1.7062314197161403,0.9709801082926655,1.173111668990652,0.12053066717338923,10.274441074914385
P2_aod_only,P2_aod_only_xgboost,6,42,test,13387,266,1.3730361205571406,2.854682674459262,1.8242692688615554,0.9683463450889189,1.2211762180918702,0.15185990246527048,12.435543717233276
P2_aod_only,P2_aod_only_xgboost,6,2025,test,13387,266,1.3859561998528735,2.852939952496653,1.8334278127564891,0.9683849810340183,1.2105098615797245,0.17544633827314904,14.493590167385356
P2_aod_only,P2_aod_only_xgboost,6,20260623,test,13387,266,1.3726445152537468,2.8630200991895736,1.8255672615655982,0.9681611789006574,1.2210236967858117,0.15162081846793507,12.417516455008812
P2_aod_only,P2_aod_only_xgboost,6,20260715,test,13387,266,1.3978640478376416,2.8716545783972065,1.8503304929951498,0.9679688462049065,1.2172144128169635,0.1806496350206781,14.841233649427958
P2_aod_only,P2_aod_only_xgboost,6,20260718,test,13387,266,1.3639594233673333,2.843741041573893,1.8080755702106754,0.9685885288742276,1.212974663518796,0.15098475984853743,12.447478450253534
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,42,test,13641,271,1.0468343551617472,2.465890506413325,1.3704802191274192,0.976481653068216,0.9980668375849404,0.04876751757680675,4.886197571177832
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,2025,test,13641,271,1.0308200195504897,2.4578024953797644,1.353321454488662,0.9766356783162247,0.9971901876580412,0.0336298318924485,3.3724591666340107
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,20260623,test,13641,271,1.0466054833931875,2.465215284533235,1.3712165525143674,0.9764945311162948,1.0032477383948817,0.0433577449983058,4.321738623370816
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,20260715,test,13641,271,1.0364488180392772,2.4616134297251464,1.3589108072489582,0.9765631672610612,1.0009857405928273,0.03546307744644994,3.5428154476453546
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,1,20260718,test,13641,271,1.0469203403565093,2.47080732325195,1.3687659979546827,0.9763877716177224,0.9977285930774394,0.04919174727906983,4.930373612661593
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,42,test,13539,269,1.291035837457613,2.746722734340008,1.7051569581600576,0.9707388065075189,1.178476248725019,0.11255958873259386,9.551281907834026
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,2025,test,13539,269,1.2938280728412912,2.741061020831951,1.7063842704672136,0.9708593121190638,1.1733298926467683,0.12049818019452285,10.269761381661048
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,20260623,test,13539,269,1.2917749672152985,2.745192370093846,1.7062933162617742,0.9707714037615977,1.1734359243629475,0.11833904285235097,10.084832106754925
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,20260715,test,13539,269,1.2949217002548012,2.7512103703037245,1.7106314614286844,0.9706431136633545,1.1768088351301655,0.1181128651246357,10.03670788310927
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,3,20260718,test,13539,269,1.2762710224353255,2.7307786263639993,1.6887273679572847,0.9710775298393612,1.173111668990652,0.10315935344467353,8.793651633644739
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,42,test,13387,266,1.5306253849594798,3.020614409460464,1.9888801788525863,0.9645595877943125,1.2211762180918702,0.3094491668676096,25.340254934798402
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,2025,test,13387,266,1.520411227131201,3.0022504973007926,1.978463703193446,0.9649891999031139,1.2105098615797245,0.3099013655514764,25.60089557197434
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,20260623,test,13387,266,1.5589283664751148,3.050522327211561,2.015171795613662,0.9638543032336125,1.2210236967858117,0.3379046696893031,27.673883035914358
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,20260715,test,13387,266,1.5083136593890927,2.975271641451245,1.9637856203714963,0.9656156015715681,1.2172144128169635,0.29109924657212916,23.915198793813715
P3_pm2_5_plus_aod,P3_pm2_5_plus_aod_xgboost,6,20260718,test,13387,266,1.545359430740306,3.056318706856979,2.007377334030919,0.9637168099060568,1.212974663518796,0.3323847672215101,27.402449302384756
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,42,test,13641,271,1.0662235756573857,2.483166591801851,1.3929158036141844,0.9761509585303247,0.9980668375849404,0.06815673807244527,6.828875131986818
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,2025,test,13641,271,1.0529188376072172,2.4714160685351314,1.3779595723692522,0.9763761352564451,0.9971901876580412,0.055728649949175924,5.588567821757039
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,20260623,test,13641,271,1.0707413246213138,2.4873388701954138,1.3954052088784248,0.9760707476930686,1.0032477383948817,0.06749358622643209,6.727509431959107
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,20260715,test,13641,271,1.0508651621538683,2.466133966229542,1.3746375480811055,0.9764770088595114,1.0009857405928273,0.04987942156104097,4.983030180979422
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,1,20260718,test,13641,271,1.0682973023445304,2.4849843814474455,1.3939683573227417,0.9761160286075486,0.9977285930774394,0.07056870926709091,7.07293644350971
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,42,test,13539,269,1.245481502462426,2.7556724661405214,1.6609337985702688,0.9705478105425965,1.178476248725019,0.06700525373740684,5.685753430321495
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,2025,test,13539,269,1.2954065320762804,2.800336133765131,1.7193837775323688,0.9695853572027,1.1733298926467683,0.12207663942951208,10.404289551861211
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,20260623,test,13539,269,1.267363507128315,2.7719339919078867,1.6848350448140819,0.9701991837190785,1.1734359243629475,0.09392758276536739,8.00449183591854
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,20260715,test,13539,269,1.2798807551537552,2.780865968488614,1.7014222847411105,0.9700068205179053,1.1768088351301655,0.10307192002358967,8.758595019571636
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,3,20260718,test,13539,269,1.2671502881198384,2.7721161614965797,1.6881166103765204,0.9701952666122146,1.173111668990652,0.09403861912918643,8.016169441916597
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,42,test,13387,266,1.3178650901777145,2.8893335383662375,1.7714197824744864,0.9675732411094752,1.2211762180918702,0.09668887208584431,7.917683840660114
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,2025,test,13387,266,1.3161606407721191,2.868124550769038,1.7654398969367164,0.9680475474258838,1.2105098615797245,0.10565077919239463,8.72779169717127
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,20260623,test,13387,266,1.324094068318682,2.866069462282708,1.7813179540211235,0.9680933206068044,1.2210236967858117,0.10307037153287024,8.441308043749665
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,20260715,test,13387,266,1.3149855279384635,2.861550679313905,1.7657757868702106,0.9681938525033773,1.2172144128169635,0.09777111512149994,8.032365875066425
P4_gaseous_pollutants,P4_gaseous_pollutants_xgboost,6,20260718,test,13387,266,1.32058280129282,2.874066198560061,1.7722894946957872,0.9679150239847962,1.212974663518796,0.10760813777402412,8.871425019040116
P5_particulate_context,P5_particulate_context_xgboost,1,42,test,13641,271,1.0496821520373556,2.459892198605945,1.372301580631326,0.9765959312213492,0.9980668375849404,0.051615314452415184,5.171528850443592
P5_particulate_context,P5_particulate_context_xgboost,1,2025,test,13641,271,1.0406647855129783,2.467384111179268,1.3652005723538942,0.9764531540303829,0.9971901876580412,0.043474597854937014,4.359709751761559
P5_particulate_context,P5_particulate_context_xgboost,1,20260623,test,13641,271,1.037803046102034,2.4526076359358293,1.361329283214228,0.9767343405136627,1.0032477383948817,0.034555307707152316,3.444344441028905
P5_particulate_context,P5_particulate_context_xgboost,1,20260715,test,13641,271,1.0501257711924656,2.471176728681294,1.374363388590147,0.9763807106564554,1.0009857405928273,0.04914003059963834,4.909163897832898
P5_particulate_context,P5_particulate_context_xgboost,1,20260718,test,13641,271,1.0404301476537419,2.4536207450829797,1.3614765067414933,0.9767151156524906,0.9977285930774394,0.042701554576302425,4.279876799420152
P5_particulate_context,P5_particulate_context_xgboost,3,42,test,13539,269,1.2614858813513228,2.706473309973874,1.6707500019503247,0.9715900879700354,1.178476248725019,0.08300963262630368,7.0438104048436205
P5_particulate_context,P5_particulate_context_xgboost,3,2025,test,13539,269,1.287376509974332,2.7260723661354276,1.6993848276503885,0.9711771346751944,1.1733298926467683,0.1140466173275636,9.719910661297487
P5_particulate_context,P5_particulate_context_xgboost,3,20260623,test,13539,269,1.2535086764599475,2.7045754498725922,1.6647769124889376,0.9716299177617076,1.1734359243629475,0.08007275209699993,6.823785639635246
P5_particulate_context,P5_particulate_context_xgboost,3,20260715,test,13539,269,1.2645765177634256,2.706034482092186,1.6749797849207837,0.97159929999571,1.1768088351301655,0.08776768263326007,7.458108744021469
P5_particulate_context,P5_particulate_context_xgboost,3,20260718,test,13539,269,1.2620007220682736,2.7076727718059344,1.6699285346902877,0.9715649008336351,1.173111668990652,0.08888905307762163,7.577203042750566
P5_particulate_context,P5_particulate_context_xgboost,6,42,test,13387,266,1.5210321088387067,3.006733490492973,1.9772529443415197,0.9648845648230449,1.2211762180918702,0.2998558907468365,24.55467821141912
P5_particulate_context,P5_particulate_context_xgboost,6,2025,test,13387,266,1.5361476090534913,3.0264194428073115,1.9925419044871484,0.9644232377436588,1.2105098615797245,0.32563774747376684,26.90087522697313
P5_particulate_context,P5_particulate_context_xgboost,6,20260623,test,13387,266,1.5450936997133597,3.0208008367558725,2.01021734080665,0.9645552130127691,1.2210236967858117,0.32407000292754806,26.540844684719943
P5_particulate_context,P5_particulate_context_xgboost,6,20260715,test,13387,266,1.528586184921791,2.99616073238192,1.9817262577639172,0.9651310876685175,1.2172144128169635,0.31137177210482747,25.58068396382433
P5_particulate_context,P5_particulate_context_xgboost,6,20260718,test,13387,266,1.545896126854061,3.0350988018076537,2.006850975885696,0.9642188865147249,1.212974663518796,0.33292146333526507,27.446695578081727
P6_full_atmospheric_context,P6_full_atmospheric_context_xgboost_frozen_anchor,1,42,test,13641,271,1.1853499332253943,2.5103155095385117,1.5182337594227706,0.9756266158201244,0.9980668375849404,0.18728309564045387,18.764584553638688
