variant,model,horizon,split,seed_count,sample_count_per_seed,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,1,test,5,13641,0.999443819461626,0.002586709153030285,2.4467392285999745,0.005116952003715677,1.3175941170010574,0.0025993917229505327,0.9768454627921332,9.678161089017043e-05
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,3,test,5,13539,1.1750325139711104,0.002457248924373387,2.711122036069916,0.006688206278005866,1.5935195747997284,0.0030451833453151726,0.9714922697914631,0.00014076004146941528
M0_traffic_only,M0_traffic_only_xgboost_frozen_anchor,6,test,5,13387,1.2165797705586334,0.004772818161615394,2.752888784454187,0.015362858515354273,1.6519030176401261,0.008417650069807887,0.9705628108832547,0.000328305207901891
M1_temperature,M1_temperature_xgboost,1,test,5,13641,1.0058082861744542,0.004256806358023337,2.478379218730032,0.0032756711045460493,1.3271231069417395,0.00450792810885521,0.9762427952823112,6.28172793006891e-05
M1_temperature,M1_temperature_xgboost,3,test,5,13539,1.1769190621436498,0.003971535333057013,2.7140169541625894,0.005867885421029838,1.5975154266227574,0.006224852681819719,0.9714313888130972,0.00012349077775051834
M1_temperature,M1_temperature_xgboost,6,test,5,13387,1.260527338784178,0.006150950924013412,2.789265220214248,0.01548554608491792,1.7000528292205206,0.008262054591692014,0.969779717705026,0.00033602429446782207
M2_humidity_dew_point,M2_humidity_dew_point_xgboost,1,test,5,13641,1.0364549639534775,0.003529243887270906,2.466551927483544,0.003471726364046748,1.35919096605384,0.004375772923061223,0.9764689975200801,6.626880389738344e-05
M2_humidity_dew_point,M2_humidity_dew_point_xgboost,3,test,5,13539,1.2064681721623522,0.002744593663074346,2.7115258401720195,0.0064927700390342066,1.626704564959752,0.0026624359456522036,0.9714837851090318,0.00013670489585000648
M2_humidity_dew_point,M2_humidity_dew_point_xgboost,6,test,5,13387,1.2960685661781155,0.005217256187075911,2.81013263164197,0.012046567217555398,1.741659034346069,0.00699989450709084,0.9693261559124485,0.00026315753567668777
M3_wind,M3_wind_xgboost,1,test,5,13641,1.0214820359416963,0.005250361073239869,2.460455865587526,0.007599653756754952,1.346201326148996,0.007201143671240032,0.9765850255322096,0.00014458535080501557
M3_wind,M3_wind_xgboost,3,test,5,13539,1.232042910687184,0.004614151337990889,2.749492417549869,0.007917164819837745,1.6574519642827212,0.007530437852947969,0.9706795706787217,0.00016898311534545028
M3_wind,M3_wind_xgboost,6,test,5,13387,1.2951662086727507,0.006628116911418617,2.7985519134485153,0.00863048844146376,1.738117722511061,0.009114055898719836,0.9695786681071812,0.0001875941901891315
M4_pressure,M4_pressure_xgboost,1,test,5,13641,0.9917878121637347,0.00401500785741895,2.4640439283624476,0.006793160056084438,1.3119858764480623,0.0045335522909794364,0.9765167204422056,0.0001293237906912504
M4_pressure,M4_pressure_xgboost,3,test,5,13539,1.1696405804426981,0.003048877928153283,2.71173352392815,0.006042212078085098,1.5897730471511662,0.004205236961289961,0.9714794342036221,0.00012704136401430524
M4_pressure,M4_pressure_xgboost,6,test,5,13387,1.2243633361734338,0.004721102608859212,2.7644209913487114,0.00705918239252438,1.6609283105320671,0.006882531401464783,0.9703162466278579,0.00015161825446698062
M5_cloud_boundary_layer_radiation,M5_cloud_boundary_layer_radiation_xgboost,1,test,5,13641,1.0199223503032813,0.004372229180003389,2.4554061692494384,0.0048704888156835425,1.3415035520695684,0.005348799859364786,0.9766811425385391,9.254235801011557e-05
M5_cloud_boundary_layer_radiation,M5_cloud_boundary_layer_radiation_xgboost,3,test,5,13539,1.2000637967915762,0.00550387158887889,2.7142068089220652,0.008332869450589957,1.6167963637752116,0.008685169059708083,0.9714272831322803,0.00017544647278257156
M5_cloud_boundary_layer_radiation,M5_cloud_boundary_layer_radiation_xgboost,6,test,5,13387,1.2643285862712825,0.004047824228588985,2.810473465723169,0.006051504899104206,1.702229796493159,0.0050592041257201655,0.9693190520110644,0.0001321416615804448
M6_temperature_humidity,M6_temperature_humidity_xgboost,1,test,5,13641,1.0352713816594081,0.002653662697097006,2.4825508186313288,0.005351489986996638,1.35968021860261,0.0032359693984374337,0.9761626965734699,0.00010275842176419678
M6_temperature_humidity,M6_temperature_humidity_xgboost,3,test,5,13539,1.2041573473773066,0.002447407288632837,2.7164405122660997,0.0034695987980060427,1.6248996322932563,0.0019288786868047337,0.9713804134101464,7.306226125233311e-05
M6_temperature_humidity,M6_temperature_humidity_xgboost,6,test,5,13387,1.2898897975686923,0.01000027335612418,2.801022903837603,0.016127437760139897,1.7317316544279044,0.013164068472978085,0.9695243468117754,0.0003519758584304621
M7_wind_boundary_layer,M7_wind_boundary_layer_xgboost,1,test,5,13641,1.030629519171354,0.005301676896301422,2.4713024229690435,0.007714873823608614,1.35657799389079,0.006611264491700898,0.9763781236806051,0.00014744035689343943
M7_wind_boundary_layer,M7_wind_boundary_layer_xgboost,3,test,5,13539,1.2406465968009854,0.0039838545877528995,2.754043358442794,0.007409258159756044,1.6651375137045719,0.005562016925556474,0.9705824532033656,0.0001582505613165594
M7_wind_boundary_layer,M7_wind_boundary_layer_xgboost,6,test,5,13387,1.30069362894656,0.00700545697050696,2.81190793961999,0.0055713253399493085,1.7414278707165824,0.008675683514768351,0.9692877421854975,0.00012169436864071789
M8_full_meteorology,M8_full_meteorology_xgboost_frozen_anchor,1,test,5,13641,1.031562440412309,0.003214328304951188,2.4789738071725425,0.0046704819077214394,1.3562453338558307,0.0036725818357711834,0.9762313604453435,8.961751158423466e-05
M8_full_meteorology,M8_full_meteorology_xgboost_frozen_anchor,3,test,5,13539,1.234444804273416,0.0018044674138611154,2.731960570100557,0.0017800168127573108,1.6553487277049777,0.0026517594661009296,0.9710524779707679,3.772165586118539e-05
M8_full_meteorology,M8_full_meteorology_xgboost_frozen_anchor,6,test,5,13387,1.3326388245776326,0.007603311285880032,2.8289409057731687,0.011556491159181491,1.7739407583644762,0.009578324042437377,0.9689142225231031,0.00025395375267103565
