group,variant,horizon,seed,source,best_iteration,elapsed_seconds,test_used_for_selection
meteorology_ablation,M8_full_meteorology,1,42,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,1,2025,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,1,20260623,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,1,20260715,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,1,20260718,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,3,42,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,3,2025,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,3,20260623,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,3,20260715,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,3,20260718,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,6,42,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,6,2025,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,6,20260623,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,6,20260715,frozen_E3_meteorology,frozen,0,False
meteorology_ablation,M8_full_meteorology,6,20260718,frozen_E3_meteorology,frozen,0,False
