variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,42,test,13641,271,1.0663202153632267,2.4929447100871087,1.3964859630964392,0.9759627650439905
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,2025,test,13641,271,1.0708975848303808,2.501388507047804,1.4017307337515597,0.9757996573259284
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,20260623,test,13641,271,1.0691275890320417,2.494546789808991,1.3979533246130986,0.9759318602745928
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,20260715,test,13641,271,1.0739174292414568,2.505872527800543,1.4052890868164156,0.9757128158768646
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,20260718,test,13641,271,1.0772649346985426,2.504711664601369,1.4057576978562465,0.9757353130848347
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,42,test,13539,269,1.2205423218122065,2.725762959009695,1.6429610087423547,0.9711836770501755
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,2025,test,13539,269,1.2182345348737305,2.7296745768361994,1.6425718066858603,0.971100911730679
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,20260623,test,13539,269,1.2316549694150407,2.7415014900940733,1.6561577009262667,0.9708499459586721
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,20260715,test,13539,269,1.22297469937244,2.7330515591755513,1.6476267574066368,0.9710293632181112
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,20260718,test,13539,269,1.2190439688906107,2.725979876953118,1.641460487621747,0.9711790904252007
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,42,test,13387,266,1.2847605258190031,2.8144235088956404,1.7312744704478862,0.9692328630634834
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,2025,test,13387,266,1.2679894008281707,2.760480283702204,1.7035637303181737,0.9704009696445202
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,20260623,test,13387,266,1.2817472083881845,2.793075957537374,1.7253269933725033,0.9696978336629161
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,20260715,test,13387,266,1.279809948657216,2.8025361683656786,1.7267517227440958,0.9694922178066652
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,20260718,test,13387,266,1.279608795826352,2.78950947391145,1.7225186140079434,0.9697751700353845
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,42,test,13641,271,1.0671483835947846,2.495769193884454,1.3969103922185124,0.975908266248775
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,2025,test,13641,271,1.0678993038105435,2.4967964811363506,1.3979101913150762,0.9758884292986816
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,20260623,test,13641,271,1.0633622301419225,2.49583825291049,1.391943124406025,0.9759069329726926
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,20260715,test,13641,271,1.0806568071272,2.500630824613958,1.4131511089025546,0.9758143159024978
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,20260718,test,13641,271,1.0649946606841147,2.4833605091414905,1.3910008741216806,0.9761472335098049
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,42,test,13539,269,1.2345535634272318,2.74565756887249,1.6629317446873664,0.9707614967987932
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,2025,test,13539,269,1.2120150965748773,2.7307641554898776,1.636143302594673,0.9710778363690169
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,20260623,test,13539,269,1.225860893669704,2.7329688545889077,1.6477496798568962,0.9710311165463857
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,20260715,test,13539,269,1.2289634445186295,2.731713521246214,1.654395781102276,0.9710577229625843
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,20260718,test,13539,269,1.2306178460484034,2.7440976371189527,1.65934251658111,0.9707947107825899
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,42,test,13387,266,1.2914015065572617,2.811457660975575,1.7401949864073136,0.9692976738985959
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,2025,test,13387,266,1.2778487947552846,2.7715806792806967,1.7184152138149584,0.9701624448128626
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,20260623,test,13387,266,1.2706369192719396,2.7691872862454585,1.7111518160126404,0.9702139548865406
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,20260715,test,13387,266,1.2760689552827458,2.7925964964561185,1.7208000949947277,0.9697082361458086
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,20260718,test,13387,266,1.2859944937105139,2.7955746238159227,1.729013269121613,0.9696435931987102
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,42,test,13641,271,1.1050484331146502,2.513111318467248,1.4372016172913873,0.9755722949417945
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,2025,test,13641,271,1.0942617260850167,2.5029084818721157,1.4255460286475665,0.9757702375957127
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,20260623,test,13641,271,1.1008155118969618,2.5002880806472496,1.4322802037499316,0.9758209453730553
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,20260715,test,13641,271,1.1202413328668692,2.5262228549461496,1.4552526033687834,0.975316739012526
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,20260718,test,13641,271,1.0947140031664544,2.504466253873755,1.4265641110947886,0.9757400677420913
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,3,42,test,13539,269,1.2617709947570988,2.7516075976458394,1.6834492796844132,0.9706346357949169
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,3,2025,test,13539,269,1.258014054639678,2.746924612104606,1.6797044644191128,0.9707345050894397
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,3,20260623,test,13539,269,1.2578629554173566,2.749913530968018,1.678322295468623,0.9706707830793865
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,3,20260715,test,13539,269,1.2590097902737842,2.7476330904745407,1.679234998699576,0.970719407009311
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,3,20260718,test,13539,269,1.2641189013561278,2.764167496984594,1.6892771076386333,0.970365943569721
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,6,42,test,13387,266,1.335368733833381,2.8410749067465995,1.7799036006578082,0.9686474005911204
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,6,2025,test,13387,266,1.3261675387014653,2.80987376701613,1.7658074267602,0.969332257759756
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,6,20260623,test,13387,266,1.322623733289124,2.817065837584182,1.7657383622352787,0.9691750643340241
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,6,20260715,test,13387,266,1.3299447362230181,2.8235017603523422,1.7749840305106388,0.9690340569625252
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,6,20260718,test,13387,266,1.3253569622177048,2.8258158627090717,1.7712090157043465,0.9689832776587111
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,1,42,test,13641,271,1.129329185205258,2.52532774400271,1.4644115753352795,0.975334227843871
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,1,2025,test,13641,271,1.1079162816528503,2.50619051659858,1.4399834145455224,0.9757066515229966
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,1,20260623,test,13641,271,1.1288796729240775,2.529110285761683,1.4642858454430328,0.9752602816503674
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,1,20260715,test,13641,271,1.165862672166927,2.54912287078383,1.5090205217229957,0.9748672069951757
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,1,20260718,test,13641,271,1.1541993967375122,2.5544161915965526,1.495318694453637,0.9747627208096455
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,3,42,test,13539,269,1.3032696285220096,2.754936394415521,1.7291511813240474,0.9705635424765042
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,3,2025,test,13539,269,1.3179850680045573,2.7685007262781074,1.750940523746735,0.9702729594701591
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,3,20260623,test,13539,269,1.3136141094178928,2.773606174149877,1.747696155364394,0.9701632179083911
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,3,20260715,test,13539,269,1.3265507810456332,2.788369379871108,1.7627156935874535,0.9698447452603474
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,3,20260718,test,13539,269,1.3035830440756506,2.7734719438186435,1.7357959009807296,0.970166105776372
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,42,test,13387,266,1.418282137776492,2.897780846200279,1.8700473645761682,0.967383357021835
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,2025,test,13387,266,1.4121886608435044,2.9127990846425877,1.8664824862944402,0.9670443984197433
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,20260623,test,13387,266,1.394729109373924,2.86735407547617,1.8455087162804042,0.9680647121397086
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,20260715,test,13387,266,1.4145510578086653,2.9023578304444704,1.871748642930292,0.9672802410404087
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,20260718,test,13387,266,1.3998262610135925,2.8868352038074425,1.8529243590765787,0.9676292940825073
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,42,test,13641,271,1.127455334336784,2.519863232431647,1.462876093563961,0.9754408599962624
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,2025,test,13641,271,1.1151346312978414,2.5105933689043725,1.4487302701636815,0.975621219886543
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,20260623,test,13641,271,1.1208956524904146,2.5197988275886116,1.455895765140069,0.9754421153876844
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,20260715,test,13641,271,1.148099785428084,2.534964460016302,1.4856966262888103,0.975145618210036
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,20260718,test,13641,271,1.138789674842666,2.538103601256518,1.4774205957956659,0.9750840238764463
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,42,test,13539,269,1.3157110787748152,2.76891620938039,1.7453442812725448,0.9702640362217749
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,2025,test,13539,269,1.3108426354844023,2.763516883105218,1.7387817106407473,0.970379892116175
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,20260623,test,13539,269,1.3112382489592362,2.771317462938181,1.7443782046497838,0.9702124387412819
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,20260715,test,13539,269,1.321723988065751,2.7812554114055117,1.75490173022557,0.9699984192146159
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,20260718,test,13539,269,1.3091099538910402,2.7746313333793613,1.7435738739101294,0.9701411577431266
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,42,test,13387,266,1.4191810045408295,2.911425635896328,1.87207844453735,0.9670754696726163
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,2025,test,13387,266,1.41162733176455,2.909234328979142,1.8643744282729486,0.967125012823492
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,20260623,test,13387,266,1.3974493648553463,2.8582560889279134,1.8464211843778517,0.9682670491135769
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,20260715,test,13387,266,1.4361584968554546,2.9279627696123636,1.8982859256235414,0.9667003794133214
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,20260718,test,13387,266,1.4015204863162283,2.8908986926371507,1.855759110986159,0.9675381003921208
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,42,test,13641,271,1.1450588024691153,2.531709918287181,1.4842810992021755,0.9752093963800659
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,2025,test,13641,271,1.126539935762254,2.514020617829723,1.4602861774598512,0.975554614773879
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,20260623,test,13641,271,1.1549219064400482,2.539752961919341,1.493725080008381,0.9750516305702027
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,20260715,test,13641,271,1.1604604198824109,2.5433990680805585,1.501021154692842,0.9749799466704194
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,20260718,test,13641,271,1.1442653495766761,2.5327079566372155,1.4811289947231039,0.9751898468654991
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,42,test,13539,269,1.3114453121769196,2.766396668670712,1.74013278613474,0.9703181273382386
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,2025,test,13539,269,1.315185841216316,2.765180340097157,1.7453512660595343,0.9703442226364183
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,20260623,test,13539,269,1.3241640555980998,2.78213264944558,1.762376677145219,0.9699794905837585
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,20260715,test,13539,269,1.3347999828776378,2.795709400965134,1.7714103407923703,0.9696857767017404
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,20260718,test,13539,269,1.3108045769644108,2.770452405882892,1.741513827451022,0.9702310320050889
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,6,42,test,13387,266,1.4314006756502586,2.9152494489122813,1.8868433833120941,0.9669889279305746
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,6,2025,test,13387,266,1.4048145578099964,2.8848739354373727,1.8475195059229363,0.9676732633920954
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,6,20260623,test,13387,266,1.3999254641342096,2.87567919617962,1.849295985211497,0.9678790001016329
