variant,model,horizon,split,seed_count,sample_count_per_seed,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,test,5,13641,1.0715055506331297,0.0042396842125651925,2.499892839869163,0.005875191881543353,1.401443361226752,0.004190520272551947,0.9758284823212422,0.00011358803214927625
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,test,5,13539,1.2224900988728056,0.00543160109871799,2.7311940924137277,0.006493974326721839,1.6461555522765732,0.006068348109437623,0.9710685976765678,0.00013769896903445024
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,test,5,13387,1.278783175903785,0.006378786943930134,2.792005078482469,0.02009152424768579,1.7218871061781205,0.010721063744112849,0.9697198108425938,0.00043486827881512104
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,test,5,13641,1.068812277071713,0.006858792902787046,2.494479052337349,0.006525884472419466,1.3981831381927698,0.008891811102464309,0.9759330355864904,0.0001257574065110871
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,test,5,13539,1.2264021688477693,0.008632180030501927,2.7370403474632883,0.007218111933866455,1.6521126049644643,0.01058999567134624,0.9709445766918741,0.0001533194414961839
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,test,5,13387,1.280390133915549,0.00826007508371571,2.788079349354754,0.017693539598975284,1.7239150760702504,0.011111699377210607,0.9698051805885036,0.00038334250434607375
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,test,5,13641,1.1030162014259903,0.010621269787924138,2.5093993979613036,0.010562801051640933,1.4353689128304914,0.012065173704966622,0.975644056933036,0.00020537524179861769
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,3,test,5,13539,1.2601553392888092,0.0027144324067024665,2.7520492656355193,0.007024468682347393,1.6819976291820715,0.004513781826212783,0.9706250549085549,0.0001501692427864472
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,6,test,5,13387,1.3278923408529386,0.004931280049346839,2.823466426881665,0.01163300913231655,1.7715284871736547,0.006091827449590332,0.9690344114612273,0.00025538591052718653
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,1,test,5,13641,1.1372374417373252,0.022908704591204244,2.532833521748671,0.019437100085701025,1.4746040103000935,0.02748877182157607,0.9751862177644114,0.0003805789279124612
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,3,test,5,13539,1.3130005262131486,0.00990215742818483,2.7717769237066516,0.011998601463605315,1.745259891000672,0.013152639002664265,0.9702021141783547,0.000257959075466576
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,test,5,13387,1.4079154453632357,0.010112793814314404,2.89342540811419,0.01730059630592397,1.8613423138315768,0.011533166741991887,0.9674804005408406,0.00038831960133284016
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,test,5,13641,1.130075015679158,0.013371388607637633,2.5246646980394902,0.011526299138410214,1.4661238701904373,0.015234896607081364,0.9753467674713944,0.00022514660700812634
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,test,5,13539,1.313725181035049,0.005092124442196762,2.7719274600417325,0.006604906113787287,1.745395960139755,0.005883588542088372,0.9701991888073949,0.00014204793865859
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,test,5,13387,1.4131873368664816,0.015409664371205441,2.8995555032105793,0.02656188289661006,1.8673838187595702,0.01975222786146835,0.9673412022830254,0.0005966504152331161
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,test,5,13641,1.1462492828261008,0.012951664112037228,2.532318104550804,0.01132899766447719,1.4840885012172707,0.01545092872165679,0.9751970870520132,0.00022154996342797542
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,test,5,13539,1.3192799537666766,0.010182106027980533,2.7759742930122946,0.012904760603185891,1.752156979516577,0.013958060288510703,0.9701117298530489,0.00027830250229963734
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,6,test,5,13387,1.4186564724490638,0.017601009723209514,2.900265566831558,0.019363033865613204,1.8705059495683798,0.022943438762214968,0.9673262332936732,0.0004359292850427005
