variant,model,horizon,seed,split,sample_count,unique_hours,MAE,RMSE,sMAPE,R2,traffic_only_MAE,delta_MAE_vs_traffic_only,relative_change_vs_traffic_only_percent
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,42,test,13641,271,1.0663202153632267,2.4929447100871087,1.3964859630964392,0.9759627650439905,0.9980668375849404,0.06825337777828633,6.838557820780979
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,2025,test,13641,271,1.0708975848303808,2.501388507047804,1.4017307337515597,0.9757996573259284,0.9971901876580412,0.07370739717233954,7.391508468955718
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,20260623,test,13641,271,1.0691275890320417,2.494546789808991,1.3979533246130986,0.9759318602745928,1.0032477383948817,0.06587985063716006,6.56665827550857
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,20260715,test,13641,271,1.0739174292414568,2.505872527800543,1.4052890868164156,0.9757128158768646,1.0009857405928273,0.07293168864862953,7.285986771943047
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,20260718,test,13641,271,1.0772649346985426,2.504711664601369,1.4057576978562465,0.9757353130848347,0.9977285930774394,0.07953634162110312,7.971741230325735
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,42,test,13539,269,1.2205423218122065,2.725762959009695,1.6429610087423547,0.9711836770501755,1.178476248725019,0.04206607308718735,3.569530835491864
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,2025,test,13539,269,1.2182345348737305,2.7296745768361994,1.6425718066858603,0.971100911730679,1.1733298926467683,0.04490464222696211,3.8271114124321284
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,20260623,test,13539,269,1.2316549694150407,2.7415014900940733,1.6561577009262667,0.9708499459586721,1.1734359243629475,0.05821904505209319,4.961416626451079
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,20260715,test,13539,269,1.22297469937244,2.7330515591755513,1.6476267574066368,0.9710293632181112,1.1768088351301655,0.046165864242274424,3.92297056787206
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,20260718,test,13539,269,1.2190439688906107,2.725979876953118,1.641460487621747,0.9711790904252007,1.173111668990652,0.04593229989995873,3.9154243465567937
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,42,test,13387,266,1.2847605258190031,2.8144235088956404,1.7312744704478862,0.9692328630634834,1.2211762180918702,0.06358430772713297,5.20680854942341
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,2025,test,13387,266,1.2679894008281707,2.760480283702204,1.7035637303181737,0.9704009696445202,1.2105098615797245,0.057479539248446176,4.74837430679292
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,20260623,test,13387,266,1.2817472083881845,2.793075957537374,1.7253269933725033,0.9696978336629161,1.2210236967858117,0.06072351160237277,4.9731640558835695
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,20260715,test,13387,266,1.279809948657216,2.8025361683656786,1.7267517227440958,0.9694922178066652,1.2172144128169635,0.06259553584025257,5.14252338627749
