horizon,driver,experiment,event_count,spearman_rho,p_value,interpretation
1,maximum_rainfall,E1_traffic_only,4,-0.2,0.8,descriptive_only
1,maximum_rainfall,E2_rainfall,4,-0.2,0.8,descriptive_only
1,maximum_rainfall,E3_meteorology,4,-0.2,0.8,descriptive_only
1,maximum_rainfall,E4_atmospheric,4,-0.6,0.4,descriptive_only
1,maximum_rainfall,E5_full_fusion,4,-0.2,0.8,descriptive_only
1,cumulative_rainfall,E1_traffic_only,4,0.4,0.5999999999999999,descriptive_only
1,cumulative_rainfall,E2_rainfall,4,0.4,0.5999999999999999,descriptive_only
1,cumulative_rainfall,E3_meteorology,4,0.4,0.5999999999999999,descriptive_only
1,cumulative_rainfall,E4_atmospheric,4,-0.8,0.19999999999999987,descriptive_only
1,cumulative_rainfall,E5_full_fusion,4,0.4,0.5999999999999999,descriptive_only
1,duration_hours,E1_traffic_only,4,0.10540925533894598,0.894590744661054,descriptive_only
1,duration_hours,E2_rainfall,4,0.10540925533894598,0.894590744661054,descriptive_only
1,duration_hours,E3_meteorology,4,0.10540925533894598,0.894590744661054,descriptive_only
1,duration_hours,E4_atmospheric,4,-0.7378647873726218,0.2621352126273781,descriptive_only
1,duration_hours,E5_full_fusion,4,0.10540925533894598,0.894590744661054,descriptive_only
1,affected_grid_fraction,E1_traffic_only,4,0.7745966692414834,0.22540333075851657,descriptive_only
1,affected_grid_fraction,E2_rainfall,4,0.7745966692414834,0.22540333075851657,descriptive_only
1,affected_grid_fraction,E3_meteorology,4,0.7745966692414834,0.22540333075851657,descriptive_only
1,affected_grid_fraction,E4_atmospheric,4,-0.7745966692414834,0.22540333075851657,descriptive_only
1,affected_grid_fraction,E5_full_fusion,4,0.7745966692414834,0.22540333075851657,descriptive_only
3,maximum_rainfall,E1_traffic_only,4,0.2,0.8,descriptive_only
3,maximum_rainfall,E2_rainfall,4,0.4,0.5999999999999999,descriptive_only
3,maximum_rainfall,E3_meteorology,4,0.2,0.8,descriptive_only
3,maximum_rainfall,E4_atmospheric,4,-0.6,0.4,descriptive_only
3,maximum_rainfall,E5_full_fusion,4,0.0,1.0,descriptive_only
3,cumulative_rainfall,E1_traffic_only,4,0.4,0.5999999999999999,descriptive_only
3,cumulative_rainfall,E2_rainfall,4,0.8,0.19999999999999987,descriptive_only
3,cumulative_rainfall,E3_meteorology,4,0.4,0.5999999999999999,descriptive_only
3,cumulative_rainfall,E4_atmospheric,4,-0.8,0.19999999999999987,descriptive_only
3,cumulative_rainfall,E5_full_fusion,4,-0.4,0.5999999999999999,descriptive_only
3,duration_hours,E1_traffic_only,4,0.31622776601683794,0.683772233983162,descriptive_only
3,duration_hours,E2_rainfall,4,0.6324555320336759,0.3675444679663241,descriptive_only
3,duration_hours,E3_meteorology,4,0.31622776601683794,0.683772233983162,descriptive_only
3,duration_hours,E4_atmospheric,4,-0.7378647873726218,0.2621352126273781,descriptive_only
3,duration_hours,E5_full_fusion,4,-0.21081851067789195,0.7891814893221081,descriptive_only
3,affected_grid_fraction,E1_traffic_only,4,0.2581988897471611,0.7418011102528389,descriptive_only
3,affected_grid_fraction,E2_rainfall,4,0.7745966692414834,0.22540333075851657,descriptive_only
3,affected_grid_fraction,E3_meteorology,4,0.2581988897471611,0.7418011102528389,descriptive_only
3,affected_grid_fraction,E4_atmospheric,4,-0.7745966692414834,0.22540333075851657,descriptive_only
3,affected_grid_fraction,E5_full_fusion,4,-0.7745966692414834,0.22540333075851657,descriptive_only
6,maximum_rainfall,E1_traffic_only,4,0.0,1.0,descriptive_only
6,maximum_rainfall,E2_rainfall,4,0.0,1.0,descriptive_only
6,maximum_rainfall,E3_meteorology,4,0.0,1.0,descriptive_only
6,maximum_rainfall,E4_atmospheric,4,-0.6,0.4,descriptive_only
6,maximum_rainfall,E5_full_fusion,4,-0.6,0.4,descriptive_only
6,cumulative_rainfall,E1_traffic_only,4,-0.4,0.5999999999999999,descriptive_only
6,cumulative_rainfall,E2_rainfall,4,-0.4,0.5999999999999999,descriptive_only
6,cumulative_rainfall,E3_meteorology,4,-0.4,0.5999999999999999,descriptive_only
6,cumulative_rainfall,E4_atmospheric,4,-0.8,0.19999999999999987,descriptive_only
6,cumulative_rainfall,E5_full_fusion,4,-0.8,0.19999999999999987,descriptive_only
6,duration_hours,E1_traffic_only,4,-0.21081851067789195,0.7891814893221081,descriptive_only
6,duration_hours,E2_rainfall,4,-0.21081851067789195,0.7891814893221081,descriptive_only
6,duration_hours,E3_meteorology,4,-0.21081851067789195,0.7891814893221081,descriptive_only
6,duration_hours,E4_atmospheric,4,-0.7378647873726218,0.2621352126273781,descriptive_only
6,duration_hours,E5_full_fusion,4,-0.7378647873726218,0.2621352126273781,descriptive_only
6,affected_grid_fraction,E1_traffic_only,4,-0.7745966692414834,0.22540333075851657,descriptive_only
6,affected_grid_fraction,E2_rainfall,4,-0.7745966692414834,0.22540333075851657,descriptive_only
6,affected_grid_fraction,E3_meteorology,4,-0.7745966692414834,0.22540333075851657,descriptive_only
6,affected_grid_fraction,E4_atmospheric,4,-0.7745966692414834,0.22540333075851657,descriptive_only
6,affected_grid_fraction,E5_full_fusion,4,-0.7745966692414834,0.22540333075851657,descriptive_only
