scenario,experiment,model,horizon,seed,sample_count,unique_hours,unique_dates,independent_events,MAE,RMSE,sMAPE,R2
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,42,5492,168,13,17,1.2107455814136525,2.8351617430857208,1.5748417756404132,0.9696531973899029
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,2025,5492,168,13,17,1.2124054620959974,2.845786424665882,1.574067182549554,0.9694253237917881
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,5492,168,13,17,1.2129716208676282,2.838273623089591,1.5743516546141252,0.9695865433904802
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,5492,168,13,17,1.205795444924729,2.8228715942013753,1.567326462858416,0.9699157279746335
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,5492,168,13,17,1.20658568020844,2.821502786731155,1.5683822017779212,0.9699448965648042
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,42,5492,168,13,17,1.2197853770467892,2.875816763554934,1.581081562981315,0.9687766367420984
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,5492,168,13,17,1.2239625087551886,2.8710052625937745,1.584813991096911,0.968881028349391
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,5492,168,13,17,1.2168264426082975,2.877806205119297,1.5798805857849787,0.968733422206876
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,5492,168,13,17,1.2266037307279902,2.874733535815265,1.5898300396574405,0.9688001539868705
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,5492,168,13,17,1.2091763066446704,2.874485101026934,1.5672877876094753,0.9688055463421041
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,5492,168,13,17,1.3923053277004804,2.908352088462142,1.7637303226866563,0.9680661542664091
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,5492,168,13,17,1.4493675834839135,2.9277704024834166,1.819699209223491,0.9676383026488278
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,5492,168,13,17,1.3960240868116705,2.9003128117342354,1.7662412466623898,0.9682424535554568
