scenario,experiment,model,horizon,seed_count,sample_count_mean,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std
S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,5,5492.0,1.2097007579020895,0.0033189156352189577,2.832719234354745,0.01037247872532337,1.5717938554880857,0.003626194544499869,0.9697051378223218,0.00022186189753685317
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,5,5492.0,1.2192708731565873,0.0067809009868620125,2.874769373622041,0.0024784066607446255,1.580578793426024,0.008380238106656909,0.968799357525468,5.378838052301324e-05
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,5492.0,1.4031395429892286,0.026281732621796974,2.9003727847770087,0.019623114094261044,1.774262164858267,0.025639087494653552,0.9682399771595085,0.00042996833701640396
S1_dry,E5_full_fusion,E5_full_fusion_xgboost,1,5,5492.0,1.296861675018881,0.014040242657698617,2.877155950921172,0.008120119888031997,1.6646138999505857,0.016067110357800656,0.9687473511325357,0.00017636480761240434
S2_rain,E1_traffic_only,E1_traffic_only_xgboost,1,5,8149.0,0.857741634418673,0.004622392933270381,2.147822788172994,0.004977663658500898,1.146276781896043,0.004377932807226829,0.9818437226521954,8.41343026734164e-05
S2_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,5,8149.0,0.9050567694549428,0.0016744257488898193,2.1719140342965035,0.007022270219690771,1.205056309440626,0.0019876139924306707,0.9814340598725568,0.00012020380384727798
S2_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,5,8149.0,1.040363273026095,0.010083218950104177,2.2076109561392405,0.0052168619667255865,1.3454705090765424,0.010592465613011592,0.9808188309868061,9.066780308391732e-05
S2_rain,E5_full_fusion,E5_full_fusion_xgboost,1,5,8149.0,1.08154431431592,0.01876250147206174,2.2388609346091735,0.007854226669216284,1.3975812826432237,0.0196239237939118,0.9802718408286669,0.00013834014198737873
S3_widespread_rain,E1_traffic_only,E1_traffic_only_xgboost,1,5,8035.0,0.9110067192288115,0.005149328545536801,2.2744533959142763,0.006611330622263631,1.241947353614377,0.005469807705216331,0.980845723562412,0.00011132879852313524
S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,1,5,8035.0,0.9677415318246748,0.00356063020008784,2.332170285207451,0.007164323059385857,1.311403230114347,0.004825356911126532,0.9798612493672554,0.00012392609057790307
