scenario,reliability_group,horizon,sample_count,unique_hours,unique_dates,independent_events
S1_dry,High,1,2669,149,12,17
S1_dry,High,3,2565,145,12,17
S1_dry,High,6,2442,139,12,17
S1_dry,Medium,1,731,137,12,24
S1_dry,Medium,3,717,133,12,25
S1_dry,Medium,6,686,129,12,24
S1_dry,Low,1,2092,159,13,21
S1_dry,Low,3,2040,156,13,21
S1_dry,Low,6,1995,151,12,20
S2_rain,High,1,3650,189,12,14
S2_rain,High,3,3639,188,12,13
S2_rain,High,6,3558,184,12,13
S2_rain,Medium,1,1814,177,12,16
S2_rain,Medium,3,1809,176,12,15
S2_rain,Medium,6,1795,172,12,15
S2_rain,Low,1,2685,193,13,20
S2_rain,Low,3,2769,193,13,19
S2_rain,Low,6,2911,194,13,19
S7_elevated_aod,High,1,1564,76,7,10
S7_elevated_aod,High,3,1509,73,7,11
S7_elevated_aod,High,6,1393,69,7,10
S7_elevated_aod,Medium,1,591,77,7,11
S7_elevated_aod,Medium,3,571,75,7,11
S7_elevated_aod,Medium,6,547,71,7,10
S7_elevated_aod,Low,1,1393,100,9,11
S7_elevated_aod,Low,3,1437,98,9,11
S7_elevated_aod,Low,6,1552,96,9,10
S8_rain_elevated_atmospheric_pollution,High,1,736,56,10,17
S8_rain_elevated_atmospheric_pollution,High,3,725,55,10,17
S8_rain_elevated_atmospheric_pollution,High,6,689,52,10,16
S8_rain_elevated_atmospheric_pollution,Medium,1,388,63,10,17
S8_rain_elevated_atmospheric_pollution,Medium,3,382,63,10,17
S8_rain_elevated_atmospheric_pollution,Medium,6,377,60,10,16
S8_rain_elevated_atmospheric_pollution,Low,1,793,80,12,19
S8_rain_elevated_atmospheric_pollution,Low,3,867,79,12,18
S8_rain_elevated_atmospheric_pollution,Low,6,1015,82,12,18
