test_set,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,1,42,13593,0.9836058215210497,2.4334718355643874,1.2998661180896602,0.9771232131302273
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,1,2025,13593,0.9872575066387163,2.4433941856197428,1.3048783024391273,0.9769362750634634
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,13593,0.9896759446861902,2.43759979569774,1.3058765278308193,0.9770455343516301
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,13593,0.9871166599408105,2.424707216086183,1.3027538380872141,0.9772877067131859
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,13593,0.9806714017346946,2.423472425515922,1.2946396196252419,0.9773108334514623
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,3,42,13389,1.174759809804716,2.7276757739915443,1.5933647952824606,0.9712553204976369
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,3,2025,13389,1.1711757160080116,2.7141750501809976,1.5913248704801244,0.971539161847119
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,3,20260623,13389,1.1724471661836005,2.7204949994949867,1.5919394632879078,0.9714064655649233
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,3,20260715,13389,1.1735668553804346,2.7164647915423883,1.5945692244137875,0.9714911211381022
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,3,20260718,13389,1.1707237234345191,2.7111573909700533,1.5881821982012423,0.971602413011587
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,6,42,13088,1.1850187839291983,2.7254073269708203,1.615429687016304,0.9713740980433869
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,6,2025,13088,1.1896709341291691,2.7241992115190317,1.6183159417195705,0.971399470932855
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,6,20260623,13088,1.192893944781489,2.7296469984622003,1.6248477265032195,0.9712849672796255
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,6,20260715,13088,1.1868754708485187,2.7345418667340873,1.6205504978929057,0.9711818899753955
Test-B_excluding_20260217,E1_traffic_only,E1_traffic_only_xgboost,6,20260718,13088,1.182970916787686,2.7196196376628894,1.6105889608733297,0.9714955491805399
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,1,42,13593,1.0245076831353734,2.477650072370167,1.3482339544053237,0.9762850443676655
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,13593,1.0278717106123385,2.4718509426461033,1.350216286757671,0.9763959277893844
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,13593,1.021478793300611,2.478263853739572,1.3459263813812714,0.9762732932321525
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,13593,1.0303914151163296,2.4742053363868446,1.3550975155338678,0.9763509414634
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,13593,1.0200830122128863,2.4745395693444983,1.3428581914188846,0.9763445516714552
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,3,42,13389,1.233999731058287,2.7395149339809257,1.6554328036393335,0.9710052530908354
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,3,2025,13389,1.2333925800920378,2.735760126582306,1.6513478169185976,0.9710846796198946
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,13389,1.2296425656640546,2.736430102501712,1.6516915121405025,0.9710705154098839
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,13389,1.2313182139897045,2.7385310691316636,1.652029434074622,0.9710260756017036
Test-B_excluding_20260217,E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,13389,1.2309153619385829,2.737047058986938,1.6537443950361794,0.9710574690359602
