test_set,stratum_type,stratum,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,42,5492,1.2107455814136525,2.8351617430857208,1.5748417756404132,0.9696531973899029
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,2025,5492,1.2124054620959974,2.845786424665882,1.574067182549554,0.9694253237917881
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,5492,1.2129716208676282,2.838273623089591,1.5743516546141252,0.9695865433904802
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,5492,1.205795444924729,2.8228715942013753,1.567326462858416,0.9699157279746335
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,5492,1.20658568020844,2.821502786731155,1.5683822017779212,0.9699448965648042
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,42,5322,1.1748320361030709,2.705379437992251,1.6224739306577787,0.9721570331030476
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,2025,5322,1.1793008244516974,2.7062817281600466,1.6329632544233696,0.9721384577976387
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,20260623,5322,1.172475420973227,2.714581943373307,1.6230140048691086,0.9719672920033016
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,20260715,5322,1.1753141497096276,2.686230245540956,1.6250574469098076,0.9725497938251383
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,3,20260718,5322,1.1767196164518823,2.6850308529807116,1.625405886594972,0.9725743011978677
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,6,42,5123,1.0930095945387193,2.639702460428837,1.5611890343442858,0.9745827079394846
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,6,2025,5123,1.0858154128094069,2.626365175734591,1.5489142075464004,0.9748389044317217
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,6,20260623,5123,1.0886089916429056,2.633169768899573,1.5525812681747657,0.9747083568490867
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,6,20260715,5123,1.0950556592552219,2.645769114568603,1.5645739253977677,0.9744657439150373
Test-A_all,scenario,S1_dry,E1_traffic_only,E1_traffic_only_xgboost,6,20260718,5123,1.0855013839718701,2.6293026356608102,1.550252984021215,0.9747825900678263
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,42,5492,1.2197853770467892,2.875816763554934,1.581081562981315,0.9687766367420984
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,2025,5492,1.2239625087551886,2.8710052625937745,1.584813991096911,0.968881028349391
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,20260623,5492,1.2168264426082975,2.877806205119297,1.5798805857849787,0.968733422206876
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,20260715,5492,1.2266037307279902,2.874733535815265,1.5898300396574405,0.9688001539868705
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,1,20260718,5492,1.2091763066446704,2.874485101026934,1.5672877876094753,0.9688055463421041
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,42,5322,1.219193557926576,2.675856886242217,1.6653347051266643,0.9727613922491652
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,2025,5322,1.220659145645281,2.6714876039829156,1.6628878947859285,0.9728502729368386
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,5322,1.2192090528226056,2.679185685992281,1.6663119930511874,0.9726935797517066
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,5322,1.2082665666697034,2.675295192729923,1.6488295193292886,0.9727728264507015
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,5322,1.2116532308183543,2.683781342462648,1.6596080639271154,0.972599820998067
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,6,42,5123,1.1884089384340217,2.7141557819005593,1.6610957615087467,0.9731286883094679
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,6,2025,5123,1.185988554097283,2.7138819233837044,1.6565732133712356,0.9731341106705246
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,5123,1.1793296988206334,2.6875472557934486,1.6481138154729371,0.9736529774333557
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,5123,1.1902732623252492,2.704836696323872,1.6641554143392374,0.9733128974485654
Test-A_all,scenario,S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,5123,1.2000525493970557,2.720920028595105,1.675516036506653,0.9729945834951704
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,5492,1.3923053277004804,2.908352088462142,1.7637303226866563,0.9680661542664091
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,5492,1.4493675834839135,2.9277704024834166,1.819699209223491,0.9676383026488278
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,5492,1.3960240868116705,2.9003128117342354,1.7662412466623898,0.9682424535554568
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,5492,1.3943875254227946,2.8898669557999934,1.7645809428478147,0.9684707995190994
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,5492,1.3836131915272831,2.8755616654052565,1.757059102870983,0.9687821758077494
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,42,5322,1.370123421182672,2.727429195789934,1.8022382754122312,0.9717013243479947
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,2025,5322,1.4225254463579038,2.7591011469957913,1.8526223866686446,0.9710402782495622
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260623,5322,1.3800201918238701,2.751777762371254,1.8096809966251504,0.9711938077559263
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260715,5322,1.396534715671819,2.7302689309253743,1.8239791670929386,0.971642365839728
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,5322,1.384076113905746,2.7183521544138824,1.8065044609788856,0.9718893701561244
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,6,42,5123,1.3316141339888514,2.808054245616914,1.8237959069217584,0.9712372563115376
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,6,2025,5123,1.3922286134464565,2.8467726782622265,1.9059676030131183,0.9704386064690925
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260623,5123,1.3151274487551703,2.80307173196049,1.8127597452014712,0.9713392369770706
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260715,5123,1.3648023452078701,2.7925388344577082,1.8395359600749586,0.9715542251973099
Test-A_all,scenario,S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,6,20260718,5123,1.3259504550186982,2.7866247431733937,1.815873326760257,0.9716745836077073
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,1,42,5492,1.315603939333307,2.881260524302558,1.6837764036233938,0.968658316690753
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,1,2025,5492,1.2828160351009792,2.8869113588463615,1.649826553951862,0.9685352592030477
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,1,20260623,5492,1.3056785162573563,2.879696541762906,1.674232549962168,0.9686923327342939
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,1,20260715,5492,1.2960596721303728,2.8666333926479646,1.6689375357920089,0.9689757300303313
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,1,20260718,5492,1.2841502122723902,2.871277937046072,1.6462964564234972,0.9688751170042531
