model,horizon,seed,nominal_coverage,finite_sample_quantile_level,conformal_correction,calibration_samples,calibration_start,calibration_end,calibration_partition,test_used_for_calibration,calibration_quantile_crossing_rows_before_sort,test_quantile_crossing_rows_before_sort,quantile_crossing_rule,nonconformity_rule,status
UQ_T1_traffic_only,1,42,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,1204,2236,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,1,2025,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,1240,2471,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,1,20260623,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,1046,1716,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,1,20260715,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,830,1714,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,1,20260718,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,1244,2193,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,3,42,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,922,1563,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,3,2025,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,1470,2558,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,3,20260623,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,444,853,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,3,20260715,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,348,1007,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,3,20260718,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,556,1101,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,6,42,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,1477,2478,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,6,2025,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,838,1424,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,6,20260623,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,950,2161,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,6,20260715,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,962,1754,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T1_traffic_only,6,20260718,0.9,0.900241837968561,0.0,6616,2026-02-10 11:00:00,2026-02-16 09:00:00,calibration,False,1003,1879,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,1,42,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,1158,2241,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,1,2025,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,1269,2237,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,1,20260623,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,1032,1591,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,1,20260715,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,890,1802,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,1,20260718,0.9,0.9002184996358339,0.0,6865,2026-02-10 11:00:00,2026-02-16 14:00:00,calibration,False,1178,1855,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,3,42,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,579,1145,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,3,2025,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,881,1298,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
UQ_T2_best_environmental_M4_pressure,3,20260623,0.9,0.9002069781194559,0.0,6764,2026-02-10 11:00:00,2026-02-16 12:00:00,calibration,False,871,1538,row-wise monotone sorting before conformal calibration,"max(q05-y, y-q95, 0)",PASS
