model,horizon,seed,feature_count,encoded_feature_count,train_samples,tuning_samples,calibration_samples,test_samples,best_iteration,best_tuning_quantile_loss,elapsed_seconds,test_used_for_model_selection,checkpoint,checkpoint_sha256
UQ_T1_traffic_only,1,42,25,77,68963,7472,6865,13641,689,0.3267032951007781,9.12700080871582,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h1_seed42.json,6ef80fabe91201b1265a054a9353012f01091b101cc4381872ec2d7bf44dd308
UQ_T1_traffic_only,1,2025,25,77,68963,7472,6865,13641,699,0.3234705235592595,8.980066537857056,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h1_seed2025.json,e589e399d6e684ecef906dd222784c8c6289df0d5402d22b3165571b29b9568e
UQ_T1_traffic_only,1,20260623,25,77,68963,7472,6865,13641,699,0.33224167248840153,8.998008728027344,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h1_seed20260623.json,1ea5be77dfe2b9724fe2a6c8a40d5e9dcfff71eb0ee31ffac7c0fb12a47d4d5b
UQ_T1_traffic_only,1,20260715,25,77,68963,7472,6865,13641,699,0.32807394331430134,8.898093461990356,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h1_seed20260715.json,1b29fd9bac83734088d562b0aa565745530b9dd2faae0f460fc2527e7796a67e
UQ_T1_traffic_only,1,20260718,25,77,68963,7472,6865,13641,699,0.3268284650949236,9.019994735717773,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h1_seed20260718.json,1643ea471ef7295d825f656585b578b50e299676913d67372a0faf210da8c239
UQ_T1_traffic_only,3,42,25,77,68870,7471,6764,13539,697,0.3409548547736006,8.906999588012695,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h3_seed42.json,08a774a68f8fed060a2130de946341dd866512361eb102b1f97a2eddff1a269b
UQ_T1_traffic_only,3,2025,25,77,68870,7471,6764,13539,699,0.32633068336753834,9.052000999450684,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h3_seed2025.json,5c4e1aaa6d944242e61fcb7b7f15e43cc6cd76b3cd881dc23488593772251c1d
UQ_T1_traffic_only,3,20260623,25,77,68870,7471,6764,13539,699,0.33348298383965697,9.048001050949097,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h3_seed20260623.json,9aba524144550431a0131a4c310e3ef3fb985fccdc79a4d1ed5db36e57295979
UQ_T1_traffic_only,3,20260715,25,77,68870,7471,6764,13539,699,0.33923643312059104,9.01300048828125,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h3_seed20260715.json,e110a6420c0d98859c16909e225ff5291d1bd5f6d17996854db835b0e9b28f44
UQ_T1_traffic_only,3,20260718,25,77,68870,7471,6764,13539,699,0.35110219977286544,8.892943859100342,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h3_seed20260718.json,3505ece2c7c131f5dc21d3dde36b1b38310a8fcd844acdc545aad2bbd166d860
UQ_T1_traffic_only,6,42,25,77,68717,7468,6616,13387,699,0.3368932779989823,9.100995063781738,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h6_seed42.json,44239fd2ad45dee278c58c3d14fc174cb4766bb7deaa8f72119ebcf9cd78e003
UQ_T1_traffic_only,6,2025,25,77,68717,7468,6616,13387,699,0.3389075306465031,9.114931106567383,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h6_seed2025.json,5e3a5be27e1bfbcfd522231211aa3fbd60213e7793e449e6373745991d678e3c
UQ_T1_traffic_only,6,20260623,25,77,68717,7468,6616,13387,699,0.3330471461714164,8.998994588851929,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h6_seed20260623.json,4da535e2597a55aec67a16981987de27dd248224c545eebe288cf2a5ad051739
UQ_T1_traffic_only,6,20260715,25,77,68717,7468,6616,13387,698,0.3370674254998427,9.108962297439575,False,09_E7_UQ\best_checkpoint\UQ_T1_traffic_only_h6_seed20260715.json,4bb6f56dd75bd33258703695870bd33ccdc60e97bb2d6836cbdcfd99f250242a
