model,horizon,scenario,feature_group,seed_count,repetitions,sample_count,delta_MAE_mean,delta_MAE_std,delta_MAE_median,rank_within_horizon_scenario
E5_full_fusion_xgboost,1,Elevated_AOD,Atmospheric,5,50,3548,0.09370674634185867,0.008792413701197137,0.09512205206330915,4.0
E5_full_fusion_xgboost,1,Elevated_AOD,Calendar,5,50,3548,0.6500131931297765,0.02529770975773116,0.6458245794560757,2.0
E5_full_fusion_xgboost,1,Elevated_AOD,Meteorology,5,50,3548,0.05986024235120084,0.008634394607098507,0.05736600323217955,6.0
E5_full_fusion_xgboost,1,Elevated_AOD,Rainfall,5,50,3548,0.004749706563623408,0.005338212713706126,0.003847257197687415,7.0
E5_full_fusion_xgboost,1,Elevated_AOD,Reliability,5,50,3548,0.08992449319689662,0.009594809979200366,0.08744141920219461,5.0
E5_full_fusion_xgboost,1,Elevated_AOD,Road,5,50,3548,0.21684253714847096,0.035719318237006074,0.21932506364165094,3.0
E5_full_fusion_xgboost,1,Elevated_AOD,Traffic,5,50,3548,14.7058660774532,0.16760911376125906,14.68288588991563,1.0
E5_full_fusion_xgboost,1,Overall_test,Atmospheric,5,50,13641,0.09056102529171113,0.007411458659844377,0.09164426985500784,4.0
E5_full_fusion_xgboost,1,Overall_test,Calendar,5,50,13641,0.5074446001278673,0.012547563816444887,0.5079534709848296,2.0
E5_full_fusion_xgboost,1,Overall_test,Meteorology,5,50,13641,0.050229791947031914,0.006404120249357837,0.049326146689776196,6.0
E5_full_fusion_xgboost,1,Overall_test,Rainfall,5,50,13641,0.010440554239980476,0.004664920166400868,0.009760129395530504,7.0
E5_full_fusion_xgboost,1,Overall_test,Reliability,5,50,13641,0.0862094580264856,0.003403276006799202,0.08564250973916643,5.0
E5_full_fusion_xgboost,1,Overall_test,Road,5,50,13641,0.20228816563347332,0.02671017875875674,0.19886655972255207,3.0
E5_full_fusion_xgboost,1,Overall_test,Traffic,5,50,13641,13.199810958573707,0.09002399670314137,13.18243140968308,1.0
E5_full_fusion_xgboost,1,Rain,Atmospheric,5,50,8149,0.0766572014894516,0.008980865115156335,0.07687070422676368,5.0
E5_full_fusion_xgboost,1,Rain,Calendar,5,50,8149,0.45399894418254944,0.01535926882548176,0.45328371534270684,2.0
E5_full_fusion_xgboost,1,Rain,Meteorology,5,50,8149,0.04218196124806603,0.006757848497678547,0.039966790394368124,6.0
E5_full_fusion_xgboost,1,Rain,Rainfall,5,50,8149,0.005560943225275925,0.005601893211561117,0.006162085653877658,7.0
E5_full_fusion_xgboost,1,Rain,Reliability,5,50,8149,0.08510435781565878,0.004758406484189321,0.08532362686040507,4.0
E5_full_fusion_xgboost,1,Rain,Road,5,50,8149,0.1821632983247142,0.02544420319524633,0.18373576526374236,3.0
E5_full_fusion_xgboost,1,Rain,Traffic,5,50,8149,12.980457135931271,0.0799240313282977,12.98381970806171,1.0
E5_full_fusion_xgboost,1,Rain_elevated_pollution,Atmospheric,5,50,1917,0.08097524118332253,0.010450568953475809,0.08070394396263714,5.0
E5_full_fusion_xgboost,1,Rain_elevated_pollution,Calendar,5,50,1917,0.7596937338932349,0.03646324855553651,0.7609827306618421,2.0
E5_full_fusion_xgboost,1,Rain_elevated_pollution,Meteorology,5,50,1917,0.06655032776600586,0.0114220995654513,0.06444505052428906,6.0
E5_full_fusion_xgboost,1,Rain_elevated_pollution,Rainfall,5,50,1917,0.0014366759086478886,0.00555492387671393,0.0002494464437144961,7.0
E5_full_fusion_xgboost,1,Rain_elevated_pollution,Reliability,5,50,1917,0.09704397434956963,0.009003402886239888,0.09618405478246472,4.0
E5_full_fusion_xgboost,1,Rain_elevated_pollution,Road,5,50,1917,0.21473066621746228,0.03705379559401486,0.21540086129668912,3.0
E5_full_fusion_xgboost,1,Rain_elevated_pollution,Traffic,5,50,1917,16.088837568924834,0.2624234192069304,16.079400801787145,1.0
E5_full_fusion_xgboost,3,Elevated_AOD,Atmospheric,5,50,3517,0.24435890623947173,0.02153818777843426,0.23892427436684704,4.0
E5_full_fusion_xgboost,3,Elevated_AOD,Calendar,5,50,3517,1.0005550532698486,0.04475672879338898,1.0035989465786712,2.0
E5_full_fusion_xgboost,3,Elevated_AOD,Meteorology,5,50,3517,0.06033169044434615,0.01276238506796096,0.06240117023617364,6.0
E5_full_fusion_xgboost,3,Elevated_AOD,Rainfall,5,50,3517,-0.011067354640647863,0.006243164173311741,-0.01132829199921015,7.0
E5_full_fusion_xgboost,3,Elevated_AOD,Reliability,5,50,3517,0.14009578872520145,0.009366349063065795,0.13864043044790875,5.0
E5_full_fusion_xgboost,3,Elevated_AOD,Road,5,50,3517,0.35086996918982805,0.028176623469399965,0.3599655042541119,3.0
E5_full_fusion_xgboost,3,Elevated_AOD,Traffic,5,50,3517,14.43245492229619,0.16164502539284398,14.437808350320903,1.0
E5_full_fusion_xgboost,3,Overall_test,Atmospheric,5,50,13539,0.22747210069325732,0.016130522143344,0.22391383286155497,4.0
E5_full_fusion_xgboost,3,Overall_test,Calendar,5,50,13539,0.7896564608531955,0.027661747491081454,0.7886816760774443,2.0
E5_full_fusion_xgboost,3,Overall_test,Meteorology,5,50,13539,0.05496099280987011,0.010371132296314757,0.05218267701185586,6.0
E5_full_fusion_xgboost,3,Overall_test,Rainfall,5,50,13539,0.006471899120735483,0.00404241156458261,0.007207718475925717,7.0
E5_full_fusion_xgboost,3,Overall_test,Reliability,5,50,13539,0.09143237772102257,0.004203609871473153,0.09089133292711726,5.0
E5_full_fusion_xgboost,3,Overall_test,Road,5,50,13539,0.3016338196867698,0.024076567537622273,0.3142328270453072,3.0
E5_full_fusion_xgboost,3,Overall_test,Traffic,5,50,13539,13.066875023526643,0.09852457274831883,13.058795275646965,1.0
E5_full_fusion_xgboost,3,Rain,Atmospheric,5,50,8217,0.2592525522814604,0.016674607417060713,0.2552149341167441,4.0
E5_full_fusion_xgboost,3,Rain,Calendar,5,50,8217,0.6767136168947064,0.02227381476015172,0.6755184256219511,2.0
E5_full_fusion_xgboost,3,Rain,Meteorology,5,50,8217,0.0631586472547385,0.009359931981539107,0.061375336919583745,6.0
E5_full_fusion_xgboost,3,Rain,Rainfall,5,50,8217,0.011466711204553101,0.004703233077393758,0.012004762231483834,7.0
E5_full_fusion_xgboost,3,Rain,Reliability,5,50,8217,0.06951346760864667,0.005232643746079779,0.06813426182374593,5.0
