model,horizon,seed,scenario,feature_group,repetition,sample_count,encoded_columns_permuted,baseline_MAE,permuted_MAE,delta_MAE,importance_convention
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,1,13641,60,1.194628900955305,14.338759986126677,13.144131085171372,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,2,13641,60,1.194628900955305,14.347774732951542,13.153145831996238,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,3,13641,60,1.194628900955305,14.233506284788831,13.038877383833526,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,4,13641,60,1.194628900955305,14.47378363103032,13.279154730075016,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,5,13641,60,1.194628900955305,14.324113738132215,13.12948483717691,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,6,13641,60,1.194628900955305,14.23619624587345,13.041567344918144,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,7,13641,60,1.194628900955305,14.322031545861593,13.127402644906288,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,8,13641,60,1.194628900955305,14.44616705997451,13.251538159019205,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,9,13641,60,1.194628900955305,14.430227148815138,13.235598247859834,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Traffic,10,13641,60,1.194628900955305,14.302050894116492,13.107421993161188,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,1,13641,8,1.194628900955305,1.2765147441253164,0.08188584317001135,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,2,13641,8,1.194628900955305,1.2766532379665692,0.0820243370112641,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,3,13641,8,1.194628900955305,1.2785724780369785,0.08394357708167344,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,4,13641,8,1.194628900955305,1.2781945097630836,0.08356560880777852,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,5,13641,8,1.194628900955305,1.2788801543125294,0.08425125335722439,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,6,13641,8,1.194628900955305,1.2801510372012253,0.0855221362459202,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,7,13641,8,1.194628900955305,1.2881524840422667,0.09352358308696163,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,8,13641,8,1.194628900955305,1.2817494195918022,0.08712051863649717,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,9,13641,8,1.194628900955305,1.275546318583482,0.08091741762817706,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Reliability,10,13641,8,1.194628900955305,1.2793895189262767,0.08476061797097167,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,1,13641,9,1.194628900955305,1.6925374568949183,0.49790855593961325,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,2,13641,9,1.194628900955305,1.6728097492120417,0.4781808482567367,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,3,13641,9,1.194628900955305,1.713222780831937,0.5185938798766319,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,4,13641,9,1.194628900955305,1.6946175021667083,0.4999886012114032,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,5,13641,9,1.194628900955305,1.6697718015675018,0.4751429006121968,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,6,13641,9,1.194628900955305,1.6849376034061394,0.49030870245083435,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,7,13641,9,1.194628900955305,1.6802766808922147,0.48564777993690966,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,8,13641,9,1.194628900955305,1.6804185911727212,0.48578969021741614,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,9,13641,9,1.194628900955305,1.6967245008479208,0.5020955998926158,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Calendar,10,13641,9,1.194628900955305,1.6960803206585733,0.5014514197032682,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,1,13641,15,1.194628900955305,1.200407726809015,0.0057788258537099235,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,2,13641,15,1.194628900955305,1.1979425444513363,0.003313643496031249,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,3,13641,15,1.194628900955305,1.200120130962656,0.005491230007350856,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,4,13641,15,1.194628900955305,1.200380702294076,0.0057518013387709566,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,5,13641,15,1.194628900955305,1.1996768609777682,0.005047960022463105,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,6,13641,15,1.194628900955305,1.201424207562235,0.006795306606929952,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,7,13641,15,1.194628900955305,1.1986348044239286,0.004005903468623506,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,8,13641,15,1.194628900955305,1.1972640098942966,0.0026351089389915483,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,9,13641,15,1.194628900955305,1.2013878247111178,0.0067589237558127735,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Rainfall,10,13641,15,1.194628900955305,1.1982167475716947,0.003587846616389667,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,1,13641,15,1.194628900955305,1.2450395820922866,0.05041068113698155,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,2,13641,15,1.194628900955305,1.2501178067406844,0.05548890578537935,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,3,13641,15,1.194628900955305,1.2438436371663202,0.04921473621101513,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,4,13641,15,1.194628900955305,1.2440664581238423,0.04943755716853726,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,5,13641,15,1.194628900955305,1.2434053874285553,0.04877648647325028,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,6,13641,15,1.194628900955305,1.2471228322019627,0.05249393124665769,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,7,13641,15,1.194628900955305,1.2416469332264324,0.04701803227112733,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,8,13641,15,1.194628900955305,1.2454613336908429,0.050832432735537836,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,9,13641,15,1.194628900955305,1.2458569621962892,0.05122806124098411,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Meteorology,10,13641,15,1.194628900955305,1.2423662732336884,0.04773737227838337,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,1,13641,28,1.194628900955305,1.2829645766729054,0.08833567571760037,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,2,13641,28,1.194628900955305,1.2858485573079117,0.09121965635260665,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,3,13641,28,1.194628900955305,1.282546162950769,0.08791726199546401,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,4,13641,28,1.194628900955305,1.2870097162180378,0.09238081526273278,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,5,13641,28,1.194628900955305,1.2871039555627013,0.09247505460739625,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,6,13641,28,1.194628900955305,1.2839340712584097,0.0893051703031047,positive delta means the group was useful
E5_full_fusion_xgboost,1,42,Overall_test,Atmospheric,7,13641,28,1.194628900955305,1.2825710905054706,0.08794218955016553,positive delta means the group was useful
