node_id,node_order_verified,corridor_km,latitude,longitude,node_id_unique,corridor_km_present,corridor_km_strictly_increasing,node_order_verified_unique,latitude_present,longitude_present,row_status,requested_latitude,requested_longitude,returned_grid_latitude,returned_grid_longitude,weather_grid_id,distance_to_grid_km,requested_latitude_aq,requested_longitude_aq,returned_grid_latitude_aq,returned_grid_longitude_aq,aq_grid_id,distance_to_aq_grid_km
N001,1,0.0,1.7873096,109.7447799,True,True,True,True,True,True,PASS,1.7873096,109.7447799,1.7926185,109.72994,om_1.7926_109.7299,1.7517802489009104,1.7873096,109.7447799,1.800003,109.70001,cams_1.8000_109.7000,5.172068792118923
N007,2,2.123904255285224,1.7997398,109.7588702,True,True,True,True,True,True,PASS,1.7997398,109.7588702,1.7926185,109.72994,om_1.7926_109.7299,3.3113870889860704,1.7997398,109.7588702,1.800003,109.80002,cams_1.8000_109.8000,4.573491467130388
N002,3,2.621919858337097,1.770901,109.7486723,True,True,True,True,True,True,PASS,1.770901,109.7486723,1.7926185,109.72994,om_1.7926_109.7299,3.1884297542603472,1.770901,109.7486723,1.800003,109.70001,cams_1.8000_109.7000,6.3025613001440215
N003,4,3.1447807502504226,1.761542,109.7530299,True,True,True,True,True,True,PASS,1.761542,109.7530299,1.7926185,109.72994,om_1.7926_109.7299,4.30424020320629,1.761542,109.7530299,1.800003,109.80002,cams_1.8000_109.8000,6.750178517647822
N005,5,4.096686477871942,1.8139109,109.7579051,True,True,True,True,True,True,PASS,1.8139109,109.7579051,1.7926185,109.72994,om_1.7926_109.7299,3.907108911057576,1.8139109,109.7579051,1.800003,109.80002,cams_1.8000_109.8000,4.929506243557199
N006,6,4.2057040543081445,1.7536202,109.7581804,True,True,True,True,True,True,PASS,1.7536202,109.7581804,1.7223198,109.78572,om_1.7223_109.7857,4.6349104855811065,1.7536202,109.7581804,1.800003,109.80002,cams_1.8000_109.8000,6.94433815237605
N004,7,5.047338885357793,1.8194398,109.7540246,True,True,True,True,True,True,PASS,1.8194398,109.7540246,1.7926185,109.72994,om_1.7926_109.7299,4.007458852127964,1.8194398,109.7540246,1.800003,109.80002,cams_1.8000_109.8000,5.550022699365961
N008,8,5.262200281162554,1.7463695,109.7643438,True,True,True,True,True,True,PASS,1.7463695,109.7643438,1.7223198,109.78572,om_1.7223_109.7857,3.5771501095804776,1.7463695,109.7643438,1.7000046,109.80002,cams_1.7000_109.8000,6.504051284378532
N009,9,7.35605270931734,1.7314417,109.7716076,True,True,True,True,True,True,PASS,1.7314417,109.7716076,1.7223198,109.78572,om_1.7223_109.7857,1.867905351561644,1.7314417,109.7716076,1.7000046,109.80002,cams_1.7000_109.8000,4.710830524133863
N010,10,9.53088325819207,1.7152344,109.7793587,True,True,True,True,True,True,PASS,1.7152344,109.7793587,1.7223198,109.78572,om_1.7223_109.7857,1.05859016537117,1.7152344,109.7793587,1.7000046,109.80002,cams_1.7000_109.8000,2.8533122331013647
