scenario,split,horizon,node_hours,unique_hours,unique_dates,independent_events,number_of_nodes
S1_dry,test,1,5492,168,13,17,51
S2_rain,test,1,8149,214,13,13,51
S3_widespread_rain,test,1,8035,160,13,14,51
S4_post_rain_1_3h,test,1,2268,123,13,24,51
S5_post_rain_4_6h,test,1,1230,69,11,13,51
S6_elevated_pm2_5,test,1,2574,120,13,14,51
S7_elevated_aod,test,1,3548,106,9,11,51
S8_rain_elevated_atmospheric_pollution,test,1,1917,95,12,16,51
S1_dry,test,3,5322,165,13,17,51
S2_rain,test,3,8217,214,13,13,51
S3_widespread_rain,test,3,8127,162,13,14,51
S4_post_rain_1_3h,test,3,2201,121,13,24,51
S5_post_rain_4_6h,test,3,1140,66,10,12,51
S6_elevated_pm2_5,test,3,2390,118,13,14,51
S7_elevated_aod,test,3,3517,104,9,11,51
S8_rain_elevated_atmospheric_pollution,test,3,1974,95,12,16,51
S1_dry,test,6,5123,159,13,17,51
S2_rain,test,6,8264,213,13,13,51
S3_widespread_rain,test,6,8235,164,13,14,51
S4_post_rain_1_3h,test,6,2050,115,13,24,51
S5_post_rain_4_6h,test,6,1098,63,10,11,51
S6_elevated_pm2_5,test,6,2386,117,12,13,51
S7_elevated_aod,test,6,3492,102,9,10,51
S8_rain_elevated_atmospheric_pollution,test,6,2081,95,12,15,51
