variant,model,horizon,split,seed_count,sample_count_per_seed,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,delta_MAE_vs_traffic_only_mean,relative_change_vs_traffic_only_percent_mean
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,1,test,5,13641,1.0715055506331297,0.0042396842125651,2.499892839869163,0.0058751918815433,1.401443361226752,0.0041905202725519,0.9758284823212422,0.0001135880321492,0.07206173117150368,7.210890513502809
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,3,test,5,13539,1.2224900988728056,0.0054316010987179,2.731194092413728,0.0064939743267218,1.6461555522765732,0.0060683481094376,0.9710685976765678,0.0001376989690344,0.04745758490169512,4.039290757760785
R0_current_rainfall_only,R0_current_rainfall_only_xgboost,6,test,5,13387,1.278783175903785,0.0063787869439301,2.792005078482469,0.0200915242476857,1.7218871061781205,0.0107210637441128,0.9697198108425938,0.0004348682788151,0.06220340534515206,5.112863658257082
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,1,test,5,13641,1.068812277071713,0.006858792902787,2.494479052337349,0.0065258844724194,1.3981831381927698,0.0088918111024643,0.9759330355864904,0.000125757406511,0.06936845761008704,6.941108127964744
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,3,test,5,13539,1.226402168847769,0.0086321800305019,2.7370403474632883,0.0072181119338664,1.6521126049644643,0.0105899956713462,0.970944576691874,0.0001533194414961,0.051369654876658635,4.371407680724905
R1_current_plus_rain_flag,R1_current_plus_rain_flag_xgboost,6,test,5,13387,1.280390133915549,0.0082600750837157,2.788079349354754,0.0176935395989752,1.7239150760702504,0.0111116993772106,0.9698051805885036,0.000383342504346,0.06381036335691588,5.24636246959748
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,1,test,5,13641,1.1030162014259903,0.0106212697879241,2.509399397961304,0.0105628010516409,1.4353689128304914,0.0120651737049666,0.975644056933036,0.0002053752417986,0.1035723819643644,10.36260302544773
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,3,test,5,13539,1.2601553392888092,0.0027144324067024,2.7520492656355198,0.0070244686823473,1.6819976291820715,0.0045137818262127,0.9706250549085548,0.0001501692427864,0.08512282531769855,7.244623671244192
R2_current_flag_plus_lag,R2_current_flag_plus_lag_xgboost,6,test,5,13387,1.3278923408529386,0.0049312800493468,2.823466426881665,0.0116330091323165,1.7715284871736547,0.0060918274495903,0.9690344114612272,0.0002553859105271,0.11131257029430548,9.150545818660348
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,1,test,5,13641,1.1372374417373252,0.0229087045912042,2.532833521748671,0.019437100085701,1.4746040103000937,0.027488771821576,0.9751862177644114,0.0003805789279124,0.13779362227569894,13.78643007694814
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,3,test,5,13539,1.3130005262131486,0.0099021574281848,2.771776923706652,0.0119986014636053,1.745259891000672,0.0131526390026642,0.9702021141783548,0.0002579590754665,0.13796801224203814,11.742034823055143
R3_current_flag_lag_cumulative,R3_current_flag_lag_cumulative_xgboost,6,test,5,13387,1.4079154453632357,0.0101127938143144,2.89342540811419,0.0173005963059239,1.8613423138315768,0.0115331667419918,0.9674804005408406,0.0003883196013328,0.19133567480460245,15.728816808486812
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,1,test,5,13641,1.130075015679158,0.0133713886076376,2.5246646980394902,0.0115262991384102,1.466123870190437,0.0152348966070813,0.9753467674713944,0.0002251466070081,0.13063119621753194,13.070686808613178
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,3,test,5,13539,1.313725181035049,0.0050921244421967,2.7719274600417325,0.0066049061137872,1.745395960139755,0.0058835885420883,0.9701991888073948,0.0001420479386585,0.13869266706393843,11.80313366424317
R4_current_flag_lag_cumulative_post_rain,R4_current_flag_lag_cumulative_post_rain_xgboost,6,test,5,13387,1.4131873368664816,0.0154096643712054,2.8995555032105798,0.02656188289661,1.8673838187595704,0.0197522278614683,0.9673412022830254,0.0005966504152331,0.19660756630784854,16.161786833710305
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,1,test,5,13641,1.1462492828261008,0.0129516641120372,2.532318104550804,0.0113289976644771,1.4840885012172709,0.0154509287216567,0.9751970870520132,0.0002215499634279,0.14680546336447486,14.687241045909474
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,3,test,5,13539,1.3192799537666766,0.0101821060279805,2.7759742930122946,0.0129047606031858,1.752156979516577,0.0139580602885107,0.9701117298530488,0.0002783025022996,0.14424743979556626,12.276197268767685
R5_full_rainfall,R5_full_rainfall_xgboost_frozen_anchor,6,test,5,13387,1.4186564724490638,0.0176010097232095,2.900265566831558,0.0193630338656132,1.87050594956838,0.0229434387622149,0.9673262332936732,0.0004359292850427,0.20207670189043064,16.610511472529588
