feature,dtype,group,role,included_as_predictor,missing_count,imputation_rule,data_source
node_id,object,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
timestamp_local,datetime64[us],identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
split,object,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
uq_partition,string,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
current_speed_input,float64,traffic,predictor,True,1,causal LOCF,Floating-car traffic data
free_flow_speed_input,float64,traffic,predictor,True,1,causal LOCF,Floating-car traffic data
current_travel_time_input,float64,traffic,predictor,True,1,causal LOCF,Floating-car traffic data
tti_input,float64,traffic,predictor,True,1,causal LOCF,Floating-car traffic data
speed_ratio_input,float64,traffic,predictor,True,1,causal LOCF,Floating-car traffic data
speed_drop_input,float64,traffic,predictor,True,1,causal LOCF,Floating-car traffic data
travel_time_delay_input,float64,traffic,predictor,True,1,causal LOCF,Floating-car traffic data
speed_deficit_ratio_input,float64,traffic,predictor,True,1,causal LOCF,Floating-car traffic data
missing_mask,int64,reliability,predictor,True,0,training-only median if required,Derived causally from floating-car observations
gap_length_steps,int64,reliability,predictor,True,0,training-only median if required,Derived causally from floating-car observations
coverage_ratio_6h,float64,reliability,predictor,True,0,training-only median if required,Derived causally from floating-car observations
coverage_ratio_24h,float64,reliability,predictor,True,0,training-only median if required,Derived causally from floating-car observations
volatility_tti_3h,float64,reliability,predictor,True,0,training-only median if required,Derived causally from floating-car observations
volatility_tti_6h,float64,reliability,predictor,True,0,training-only median if required,Derived causally from floating-car observations
confidence_input,float64,reliability,predictor,True,0,training-only median if required,Derived causally from floating-car observations
reliability_score,float64,reliability,predictor,True,0,training-only median if required,Derived causally from floating-car observations
hour_sin,float64,calendar,predictor,True,0,training-only median if required,Calendar/holiday context
hour_cos,float64,calendar,predictor,True,0,training-only median if required,Calendar/holiday context
dayofweek_sin,float64,calendar,predictor,True,0,training-only median if required,Calendar/holiday context
dayofweek_cos,float64,calendar,predictor,True,0,training-only median if required,Calendar/holiday context
is_weekend,int64,calendar,predictor,True,0,training-only median if required,Calendar/holiday context
is_public_holiday,bool,calendar,predictor,True,0,training-only median if required,Calendar/holiday context
is_school_holiday,bool,calendar,predictor,True,0,training-only median if required,Calendar/holiday context
is_holiday_eve,bool,calendar,predictor,True,0,training-only median if required,Calendar/holiday context
is_day_after_holiday,bool,calendar,predictor,True,0,training-only median if required,Calendar/holiday context
precipitation,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_flag,bool,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_lag_1h,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_lag_3h,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_lag_6h,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_sum_3h,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_sum_6h,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_sum_12h,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_sum_24h,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_max_3h,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
rain_max_6h,float64,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
post_rain_1_3h,bool,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
post_rain_4_6h,bool,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
post_rain_7_12h,bool,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
wet_grid_fraction,float64,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
wet_node_fraction,float64,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
corridor_mean_rainfall,float64,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
corridor_max_rainfall,float64,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
corridor_cumulative_rainfall,float64,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
hours_since_corridor_rain,int64,identifier_target_or_protocol,metadata_or_target,False,0,not applicable,Frozen protocol metadata or target
rain_missing_flag,bool,rainfall,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
temperature_2m,float64,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
relative_humidity_2m,int64,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
dew_point_2m,float64,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
surface_pressure,float64,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
wind_speed_10m,float64,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
wind_gusts_10m,float64,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
wind_u,float64,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
wind_v,float64,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
wind_calm_flag,bool,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
wind_gust_ratio,float64,meteorology,predictor,True,110,training-only median if required,Open-Meteo Historical Weather API
wind_gust_ratio_missing_flag,bool,meteorology,predictor,True,0,training-only median if required,Open-Meteo Historical Weather API
