eligible_h1,eligible_h3,eligible_h6,end_time,horizon,independent_events,node_count,node_hours,number_of_nodes,record_type,scenario,split,start_time,unique_dates,unique_hours
13641.0,13539.0,13387.0,2026-02-28 23:00:00,,,51.0,,,split,,test,2026-02-16 16:00:00,,296
68963.0,68870.0,68717.0,2026-02-04 06:00:00,,,51.0,,,split,,train,2025-12-08 13:00:00,,1386
14337.0,14235.0,14084.0,2026-02-16 15:00:00,,,51.0,,,split,,validation,2026-02-04 07:00:00,,297
,,,,1.0,17.0,,5492.0,51.0,scenario,S1_dry,test,,13.0,168
,,,,1.0,13.0,,8149.0,51.0,scenario,S2_rain,test,,13.0,214
,,,,1.0,14.0,,8035.0,51.0,scenario,S3_widespread_rain,test,,13.0,160
,,,,1.0,24.0,,2268.0,51.0,scenario,S4_post_rain_1_3h,test,,13.0,123
,,,,1.0,13.0,,1230.0,51.0,scenario,S5_post_rain_4_6h,test,,11.0,69
,,,,1.0,14.0,,2574.0,51.0,scenario,S6_elevated_pm2_5,test,,13.0,120
,,,,1.0,11.0,,3548.0,51.0,scenario,S7_elevated_aod,test,,9.0,106
,,,,1.0,16.0,,1917.0,51.0,scenario,S8_rain_elevated_atmospheric_pollution,test,,12.0,95
,,,,3.0,17.0,,5322.0,51.0,scenario,S1_dry,test,,13.0,165
,,,,3.0,13.0,,8217.0,51.0,scenario,S2_rain,test,,13.0,214
,,,,3.0,14.0,,8127.0,51.0,scenario,S3_widespread_rain,test,,13.0,162
,,,,3.0,24.0,,2201.0,51.0,scenario,S4_post_rain_1_3h,test,,13.0,121
,,,,3.0,12.0,,1140.0,51.0,scenario,S5_post_rain_4_6h,test,,10.0,66
,,,,3.0,14.0,,2390.0,51.0,scenario,S6_elevated_pm2_5,test,,13.0,118
,,,,3.0,11.0,,3517.0,51.0,scenario,S7_elevated_aod,test,,9.0,104
,,,,3.0,16.0,,1974.0,51.0,scenario,S8_rain_elevated_atmospheric_pollution,test,,12.0,95
,,,,6.0,17.0,,5123.0,51.0,scenario,S1_dry,test,,13.0,159
,,,,6.0,13.0,,8264.0,51.0,scenario,S2_rain,test,,13.0,213
,,,,6.0,14.0,,8235.0,51.0,scenario,S3_widespread_rain,test,,13.0,164
,,,,6.0,24.0,,2050.0,51.0,scenario,S4_post_rain_1_3h,test,,13.0,115
,,,,6.0,11.0,,1098.0,51.0,scenario,S5_post_rain_4_6h,test,,10.0,63
,,,,6.0,13.0,,2386.0,51.0,scenario,S6_elevated_pm2_5,test,,12.0,117
,,,,6.0,10.0,,3492.0,51.0,scenario,S7_elevated_aod,test,,9.0,102
,,,,6.0,15.0,,2081.0,51.0,scenario,S8_rain_elevated_atmospheric_pollution,test,,12.0,95
