experiment,model,horizon,split,seed_count,sample_count_per_seed,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,MAE_rank,display_label,relative_MAE_change_vs_E1_pct,E5_vs_E1_annotation
E1_traffic_only,E1_traffic_only_xgboost,1,test,5,13641,0.999443819461626,0.0025867091530302,2.4467392285999745,0.0051169520037156,1.3175941170010574,0.0025993917229505,0.9768454627921332,9.678161089017043e-05,1.0,Traffic-only,0.0,
E2_rainfall,E2_rainfall_aware_xgboost,1,test,5,13641,1.1462492828261008,0.0129516641120372,2.532318104550804,0.0113289976644771,1.4840885012172709,0.0154509287216567,0.9751970870520132,0.0002215499634279,3.0,+ Rainfall,14.688715914372766,
E3_meteorology,E3_meteorology_aware_xgboost,1,test,5,13641,1.031562440412309,0.0032143283049511,2.4789738071725425,0.0046704819077214,1.356245333855831,0.0036725818357711,0.9762313604453436,8.961751158423466e-05,2.0,+ Meteorology,3.213649464357528,
E4_atmospheric,E4_atmospheric_context_xgboost,1,test,5,13641,1.1864205470263536,0.0103221174778792,2.509636434360254,0.0105831883873486,1.518106222994381,0.0097468767029868,0.9756394541507328,0.0002056969986134,5.0,+ Atmospheric,18.708077825269566,
E5_full_fusion,E5_full_fusion_xgboost,1,test,5,13641,1.1682331893969744,0.0150969010350189,2.5154006524833203,0.0072544342202476,1.505091225774375,0.0157079451653162,0.9755276066999696,0.0001411326999241,4.0,Full fusion,16.888329953980886,+16.9%
E1_traffic_only,E1_traffic_only_xgboost,3,test,5,13539,1.1750325139711104,0.0024572489243733,2.711122036069916,0.0066882062780058,1.5935195747997284,0.0030451833453151,0.9714922697914632,0.0001407600414694,1.0,Traffic-only,0.0,
E2_rainfall,E2_rainfall_aware_xgboost,3,test,5,13539,1.3192799537666766,0.0101821060279805,2.7759742930122946,0.0129047606031858,1.752156979516577,0.0139580602885107,0.9701117298530488,0.0002783025022996,3.0,+ Rainfall,12.276038158984313,
E3_meteorology,E3_meteorology_aware_xgboost,3,test,5,13539,1.234444804273416,0.0018044674138611,2.731960570100557,0.0017800168127573,1.6553487277049777,0.0026517594661009,0.971052477970768,3.772165586118539e-05,2.0,+ Meteorology,5.05622521895307,
E4_atmospheric,E4_atmospheric_context_xgboost,3,test,5,13539,1.387293616693851,0.0084508787911012,2.799782521537087,0.0166759466468497,1.8045143853133645,0.0101234257772974,0.9695965188085836,0.0003620648423796,4.0,+ Atmospheric,18.064274834862932,
E5_full_fusion,E5_full_fusion_xgboost,3,test,5,13539,1.4082432861839045,0.0146930929236624,2.8274355682032626,0.0067975360283472,1.837653874468553,0.0153682658916556,0.9689937079207084,0.0001490191840654,5.0,Full fusion,19.847176094271706,+19.8%
E1_traffic_only,E1_traffic_only_xgboost,6,test,5,13387,1.2165797705586334,0.0047728181616153,2.752888784454187,0.0153628585153542,1.651903017640126,0.0084176500698078,0.9705628108832548,0.0003283052079018,1.0,Traffic-only,0.0,
E2_rainfall,E2_rainfall_aware_xgboost,6,test,5,13387,1.4186564724490638,0.0176010097232095,2.900265566831558,0.0193630338656132,1.87050594956838,0.0229434387622149,0.9673262332936732,0.0004359292850427,3.0,+ Rainfall,16.610230317872215,
E3_meteorology,E3_meteorology_aware_xgboost,6,test,5,13387,1.3326388245776326,0.00760331128588,2.8289409057731687,0.0115564911591814,1.7739407583644762,0.0095783240424373,0.9689142225231032,0.000253953752671,2.0,+ Meteorology,9.539781675451234,
E4_atmospheric,E4_atmospheric_context_xgboost,6,test,5,13387,1.4486597596445852,0.0092491528174355,2.87545052832611,0.0107266154671645,1.893248344576694,0.0113121750107418,0.9678837507456812,0.0002394038963806,4.0,+ Atmospheric,19.076430062566665,
E5_full_fusion,E5_full_fusion_xgboost,6,test,5,13387,1.5000351409786732,0.0189439646981731,2.888528944606416,0.0188555116524141,1.946561599153167,0.0190518407232549,0.9675901936000832,0.0004233275206819,5.0,Full fusion,23.299365753047308,+23.3%
