panel,horizon,row_order,row_label,scenario,scenario_label,reliability_group,reliability_definition,column_order,experiment,configuration,sample_count_mean,baseline_sample_count,MAE_traffic_only,MAE_mean,delta_MAE,delta_convention,seed_count,common_vmin,common_vcenter,common_vmax
(a)  1-h forecast,1,0,Dry — High,S1_dry,Dry,High,frozen training-defined classification,0,E3_meteorology,Meteorology,2669.0,2669.0,0.85080267881296,0.8313522687606838,-0.019450410052276212,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,0,Dry — High,S1_dry,Dry,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,2669.0,2669.0,0.85080267881296,1.100077505672679,0.24927482685971902,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,0,Dry — High,S1_dry,Dry,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,2669.0,2669.0,0.85080267881296,0.947178815982457,0.096376137169497,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,1,Dry — Medium,S1_dry,Dry,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,731.0,731.0,0.9450051658619932,0.9404352597759782,-0.004569906086015041,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,1,Dry — Medium,S1_dry,Dry,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,731.0,731.0,0.9450051658619932,1.0787178408322244,0.1337126749702312,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,1,Dry — Medium,S1_dry,Dry,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,731.0,731.0,0.9450051658619932,0.981281167102958,0.03627600124096475,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,2,Dry — Low,S1_dry,Dry,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,2092.0,2092.0,1.760079080497785,1.8116148447215443,0.05153576422375927,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,2,Dry — Low,S1_dry,Dry,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,2092.0,2092.0,1.760079080497785,1.903151417690299,0.143072337192514,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,2,Dry — Low,S1_dry,Dry,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,2092.0,2092.0,1.760079080497785,1.8532636358481145,0.09318455535032943,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,3,Rain — High,S2_rain,Rain,High,frozen training-defined classification,0,E3_meteorology,Meteorology,3650.0,3650.0,0.5809333059232529,0.6236028484187713,0.042669542495518464,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,3,Rain — High,S2_rain,Rain,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,3650.0,3650.0,0.5809333059232529,0.7954718663463854,0.21453856042313257,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,3,Rain — High,S2_rain,Rain,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,3650.0,3650.0,0.5809333059232529,0.8056783764982878,0.2247450705750349,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,4,Rain — Medium,S2_rain,Rain,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,1814.0,1814.0,0.7186225666801791,0.8020218888366543,0.08339932215647516,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,4,Rain — Medium,S2_rain,Rain,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,1814.0,1814.0,0.7186225666801791,0.8819041406140087,0.16328157393382958,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,4,Rain — Medium,S2_rain,Rain,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,1814.0,1814.0,0.7186225666801791,0.9525919152217416,0.23396934854156248,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,5,Rain — Low,S2_rain,Rain,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,2685.0,2685.0,1.328025577765381,1.357277285366899,0.029251707601517962,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,5,Rain — Low,S2_rain,Rain,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,2685.0,2685.0,1.328025577765381,1.480325470633717,0.1522998928683359,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,5,Rain — Low,S2_rain,Rain,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,2685.0,2685.0,1.328025577765381,1.5436785135677629,0.21565293580238176,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,6,Elevated AOD — High,S7_elevated_aod,Elevated AOD,High,frozen training-defined classification,0,E3_meteorology,Meteorology,1564.0,1564.0,0.8980971067254604,0.8376174562524141,-0.060479650473046265,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,6,Elevated AOD — High,S7_elevated_aod,Elevated AOD,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,1564.0,1564.0,0.8980971067254604,1.0570175409926783,0.1589204342672179,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(a)  1-h forecast,1,6,Elevated AOD — High,S7_elevated_aod,Elevated AOD,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,1564.0,1564.0,0.8980971067254604,0.9509230586878784,0.052825951962418016,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
