file,bytes,sha256,purpose
Figure7_environmental_regime_prediction_uncertainty.png,521023,ca7d5383f252ac5f822b5453a83f46f99e2328ff68c8a76bcea4ae66489e59dd,submission-ready 600-dpi two-panel PNG
Figure7_environmental_regime_prediction_uncertainty_preview.png,131459,1883079d12e2a130d90b8d56a0705e25f519ceba68aff243ba0b04f904cffc61,quick visual-inspection PNG
Figure7_environmental_regime_prediction_uncertainty.pdf,59685,9b3ad863751d545d2bcd6456399f32af441d30b703f161d763712faca24e7369,vector PDF
Figure7_environmental_regime_prediction_uncertainty.svg,54577,633536c9b9f6a00023d9e6b12bcbecf4261166cb14357ee0c43127180d5b2521,editable vector SVG
Figure7_heatmap_cell_audit.csv,6270,a09a8abdbd63d92e21a01722c94e1653ec8f1f88b6e919217f74b7bf5ae2ed22,exact PICP/MPIW plotted-cell audit
Figure7_supplementary_PINAW_Pinball.csv,4236,67170a5dc8254bc14277baa84bff4b32d99c344fa45fffdf46c81bd92a99dc7b,supplementary PINAW and Pinball Loss values
Figure7_validation.json,2238,6efe54873536c4a70ae2a9b1a8942c34064d090f9121702e056b7c028c631ed1,machine-readable source and scale validation
Figure7_caption.md,869,34eec284012d0d87a680dcea11a23b8d5286958e3d896749e6205ca8a90e1cc6,manuscript-ready caption
Figure7_three_pass_QC.md,1126,827641bffeef4be7f7792c8b530a7fa5c840a3f589a2a1bbad499c630690dec5,three-pass quality-control record
README_Figure7.md,960,abdec61dd291bbe65603752b72d800efa24a225fb0f712d2c05d5a7781e556e6,deliverable guide
generate_figure7.py,20910,40451af1b2459c18697f063d233424161188a58967bea5d59a7807d6b54bb43b,reproducible generator
